,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
388,PRESERVED_SPECIMEN,Acalypha ferdinandi,1523100,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
391,PRESERVED_SPECIMEN,Acalypha ferdinandi,1523101,GBIF,,Manuel Vargas,,9.723611,-84.378056,"Falda W Cerro Cangreja, Santa Gertrudis. Cabeceras Rio Negro.",1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Juan Francisco Morales Quirós ; Luis González
906,PRESERVED_SPECIMEN,Acalypha ferdinandi,1509742,GBIF,,Manuel Vargas,,9.794444,-84.466667,"Llano Caite, 2.5 km S de San Rafael.",1996.0,1,1,1,,WGS84,2019,Quirico Jiménez
1264,PRESERVED_SPECIMEN,Acalypha ferdinandi,1555966,GBIF,,Manuel Vargas,,9.898611,-84.383611,San Martin de Puriscal; Vara Blanca. Bosque primario falda N Cerro Cangreja,1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1704,PRESERVED_SPECIMEN,Acalypha ferdinandi,1562399,GBIF,,Manuel Vargas,,9.838889,-84.195833,"Palmichal; bosque secundario en el rio Tabarcia, de la chanchera aguas arriba.",1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1970,PRESERVED_SPECIMEN,Acalypha ferdinandi,1571074,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1994.0,1,1,1,,WGS84,2019,Jose González
3264,PRESERVED_SPECIMEN,Acalypha ferdinandi,1583013,GBIF,,Manuel Vargas,,9.711111,-84.216111,Hacienda Tiquires. Fila Zoncuano.,1995.0,1,1,1,,WGS84,2019,Jose González
3384,PRESERVED_SPECIMEN,Acalypha ferdinandi,1585889,GBIF,,Manuel Vargas,,10.833333,-85.616667,Estacion Santa Rosa.,1992.0,1,1,1,,WGS84,2019,Marielos Reyes
3527,PRESERVED_SPECIMEN,Acalypha ferdinandi,2824574,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Luis Diego Vargas
3528,PRESERVED_SPECIMEN,Acalypha ferdinandi,2824572,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Luis Diego Vargas
3529,PRESERVED_SPECIMEN,Acalypha ferdinandi,2824573,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Luis Diego Vargas
3530,PRESERVED_SPECIMEN,Acalypha ferdinandi,2824571,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Luis Diego Vargas
5081,PRESERVED_SPECIMEN,Acalypha ferdinandi,2925786,GBIF,,Manuel Vargas,,9.706667,-84.393056,Santa Rosa de Puriscal. Bosque primario en las margenes del rio Negro.,1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
5188,PRESERVED_SPECIMEN,Acalypha ferdinandi,2930644,GBIF,,Manuel Vargas,,9.780555999999999,-84.6,Sector Quebrada Bonita. Sitio Quebrada Bonita.,1989.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga
5190,PRESERVED_SPECIMEN,Acalypha ferdinandi,2930705,GBIF,,Manuel Vargas,,9.772222,-84.533333,Sitio Rio Sur.,1990.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga
5440,PRESERVED_SPECIMEN,Acalypha ferdinandi,2913967,GBIF,,Manuel Vargas,,9.7,-84.391667,"Forests along Rio Negro, ca. 1.5 km E of Santa Rosa de Puriscal.",1987.0,1,1,1,,WGS84,2019,Michael H. Grayum
7211,PRESERVED_SPECIMEN,Acalypha ferdinandi,3525149,GBIF,,Manuel Vargas,,9.733333,-84.236111,"Fila del Narajal.  Falda sur.  San Lorenzo, sendero a Tiquiritos.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
7212,PRESERVED_SPECIMEN,Acalypha ferdinandi,3525150,GBIF,,Manuel Vargas,,9.733333,-84.236111,"Fila del Narajal.  Falda sur.  San Lorenzo, sendero a Tiquiritos.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
7213,PRESERVED_SPECIMEN,Acalypha ferdinandi,3525148,GBIF,,Manuel Vargas,,9.733333,-84.236111,"Fila del Narajal.  Falda sur.  San Lorenzo, sendero a Tiquiritos.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
7228,PRESERVED_SPECIMEN,Acalypha ferdinandi,3531639,GBIF,,Manuel Vargas,,9.897222,-84.177778,"Salitral de Santa Ana, calle Matinilla",2001.0,1,1,1,,WGS84,2019,Barry Hammel
7652,PRESERVED_SPECIMEN,Acalypha ferdinandi,3835672,GBIF,,Manuel Vargas,,10.141667,-84.336111,"Camino a los Bajos del Toro, cerca de La Luisa, Finca Margarita Forestales.",2003.0,1,1,1,,WGS84,2019,Jose González; Ricardo Kriebel ; Daniel Solano
7654,PRESERVED_SPECIMEN,Acalypha ferdinandi,3835673,GBIF,,Manuel Vargas,,10.141667,-84.336111,"Camino a los Bajos del Toro, cerca de La Luisa, Finca Margarita Forestales.",2003.0,1,1,1,,WGS84,2019,Jose González; Ricardo Kriebel ; Daniel Solano
7749,PRESERVED_SPECIMEN,Acalypha ferdinandi,3879515,GBIF,,Manuel Vargas,,9.686111,-84.358333,"Chires, Concepción, orillas del camino.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
7750,PRESERVED_SPECIMEN,Acalypha ferdinandi,3879514,GBIF,,Manuel Vargas,,9.686111,-84.358333,"Chires, Concepción, orillas del camino.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
7756,PRESERVED_SPECIMEN,Acalypha ferdinandi,3882118,GBIF,,Manuel Vargas,,9.686111,-84.358333,"Chires, Concepción, orillas del camino.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
7757,PRESERVED_SPECIMEN,Acalypha ferdinandi,3882119,GBIF,,Manuel Vargas,,9.686111,-84.358333,"Chires, Concepción, orillas del camino.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
7758,PRESERVED_SPECIMEN,Acalypha ferdinandi,3882117,GBIF,,Manuel Vargas,,9.686111,-84.358333,"Chires, Concepción, orillas del camino.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
7787,PRESERVED_SPECIMEN,Acalypha ferdinandi,3888177,GBIF,,Manuel Vargas,,9.686111,-84.358333,"Chires, Concepción, orillas del camino.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
8112,PRESERVED_SPECIMEN,Acalypha ferdinandi,3906818,GBIF,,Manuel Vargas,,9.783333,-84.6,P.N. Carara. Alrededores de la Estación.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jimena Larraguivel
8113,PRESERVED_SPECIMEN,Acalypha ferdinandi,3906814,GBIF,,Manuel Vargas,,9.783333,-84.6,P.N. Carara. Alrededores de la Estación.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jimena Larraguivel
8193,PRESERVED_SPECIMEN,Acalypha ferdinandi,3908566,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8194,PRESERVED_SPECIMEN,Acalypha ferdinandi,3908564,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8195,PRESERVED_SPECIMEN,Acalypha ferdinandi,3908557,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8196,PRESERVED_SPECIMEN,Acalypha ferdinandi,3908565,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8199,PRESERVED_SPECIMEN,Acalypha ferdinandi,3908556,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8448,PRESERVED_SPECIMEN,Acalypha ferdinandi,3916608,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2005.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría ; Daniel Solano
8449,PRESERVED_SPECIMEN,Acalypha ferdinandi,3916606,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2005.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría ; Daniel Solano
8450,PRESERVED_SPECIMEN,Acalypha ferdinandi,3916611,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2005.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría ; Daniel Solano
8451,PRESERVED_SPECIMEN,Acalypha ferdinandi,3916607,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2005.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría ; Daniel Solano
8452,PRESERVED_SPECIMEN,Acalypha ferdinandi,3916612,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2005.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría ; Daniel Solano
8453,PRESERVED_SPECIMEN,Acalypha ferdinandi,3916613,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2005.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría ; Daniel Solano
8454,PRESERVED_SPECIMEN,Acalypha ferdinandi,3916614,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2005.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez ; Daniel Santamaría ; Daniel Solano
8496,PRESERVED_SPECIMEN,Acalypha ferdinandi,3966633,GBIF,,Manuel Vargas,,9.81771,-84.481004,"Turrubares, Cerro Pelón.",2004.0,1,1,1,,WGS84,2019,Armando Soto; Alexánder Francisco Rodríguez González ; Armando Estrada ; Rafael Chacón
8497,PRESERVED_SPECIMEN,Acalypha ferdinandi,3966634,GBIF,,Manuel Vargas,,9.81771,-84.481004,"Turrubares, Cerro Pelón.",2004.0,1,1,1,,WGS84,2019,Armando Soto; Alexánder Francisco Rodríguez González ; Armando Estrada ; Rafael Chacón
8499,PRESERVED_SPECIMEN,Acalypha ferdinandi,3966632,GBIF,,Manuel Vargas,,9.81771,-84.481004,"Turrubares, Cerro Pelón.",2004.0,1,1,1,,WGS84,2019,Armando Soto; Alexánder Francisco Rodríguez González ; Armando Estrada ; Rafael Chacón
8572,PRESERVED_SPECIMEN,Acalypha ferdinandi,3939872,GBIF,,Manuel Vargas,,9.824167,-84.457222,"San Rafael, 4 km antes de llegar al pueblo.",2004.0,1,1,1,,WGS84,2019,Armando Soto; Daniel Santamaría
8629,PRESERVED_SPECIMEN,Acalypha ferdinandi,3941063,GBIF,,Manuel Vargas,,9.729444,-84.24055600000001,"Naranjal, Acosta.",2005.0,1,1,1,,WGS84,2019,Armando Soto; Juan Francisco Morales Quirós
8797,PRESERVED_SPECIMEN,Acalypha ferdinandi,3952333,GBIF,,Manuel Vargas,,9.838583,-84.505944,"San Pablo, Turrubares.",2004.0,1,1,1,,WGS84,2019,Daniel Santamaría
8798,PRESERVED_SPECIMEN,Acalypha ferdinandi,3952334,GBIF,,Manuel Vargas,,9.838583,-84.505944,"San Pablo, Turrubares.",2004.0,1,1,1,,WGS84,2019,Daniel Santamaría
8799,PRESERVED_SPECIMEN,Acalypha ferdinandi,3952332,GBIF,,Manuel Vargas,,9.838583,-84.505944,"San Pablo, Turrubares.",2004.0,1,1,1,,WGS84,2019,Daniel Santamaría
9129,PRESERVED_SPECIMEN,Acalypha ferdinandi,4030854,GBIF,,Manuel Vargas,,9.938889,-84.19444399999999,Centro de Conservación Santa Ana.,2004.0,1,1,1,,WGS84,2019,Daniel Solano
9130,PRESERVED_SPECIMEN,Acalypha ferdinandi,4030855,GBIF,,Manuel Vargas,,9.938889,-84.19444399999999,Centro de Conservación Santa Ana.,2004.0,1,1,1,,WGS84,2019,Daniel Solano
9131,PRESERVED_SPECIMEN,Acalypha ferdinandi,4030856,GBIF,,Manuel Vargas,,9.938889,-84.19444399999999,Centro de Conservación Santa Ana.,2004.0,1,1,1,,WGS84,2019,Daniel Solano
9333,PRESERVED_SPECIMEN,Acalypha ferdinandi,4043512,GBIF,,Manuel Vargas,,9.817222000000001,-84.609444,Carara.,2004.0,1,1,1,,WGS84,2019,Daniel Solano
9336,PRESERVED_SPECIMEN,Acalypha ferdinandi,4043515,GBIF,,Manuel Vargas,,9.817222000000001,-84.609444,Carara.,2004.0,1,1,1,,WGS84,2019,Daniel Solano
9337,PRESERVED_SPECIMEN,Acalypha ferdinandi,4043514,GBIF,,Manuel Vargas,,9.817222000000001,-84.609444,Carara.,2004.0,1,1,1,,WGS84,2019,Daniel Solano
9338,PRESERVED_SPECIMEN,Acalypha ferdinandi,4043513,GBIF,,Manuel Vargas,,9.817222000000001,-84.609444,Carara.,2004.0,1,1,1,,WGS84,2019,Daniel Solano
9754,PRESERVED_SPECIMEN,Acalypha ferdinandi,4088446,GBIF,,Manuel Vargas,,9.824167,-84.457222,"San Rafael, 4 km antes de llegar al pueblo.",2004.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Armando Soto ; Silvia Lobo ; Armando Ruiz
9755,PRESERVED_SPECIMEN,Acalypha ferdinandi,4088447,GBIF,,Manuel Vargas,,9.824167,-84.457222,"San Rafael, 4 km antes de llegar al pueblo.",2004.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Armando Soto ; Silvia Lobo ; Armando Ruiz
10556,PRESERVED_SPECIMEN,Acalypha ferdinandi,4115594,GBIF,,Manuel Vargas,,10.452778,-84.658333,R. B. Arenal Mundo Aventura.,2004.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
10557,PRESERVED_SPECIMEN,Acalypha ferdinandi,4115590,GBIF,,Manuel Vargas,,10.452778,-84.658333,R. B. Arenal Mundo Aventura.,2004.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
10560,PRESERVED_SPECIMEN,Acalypha ferdinandi,4115592,GBIF,,Manuel Vargas,,10.452778,-84.658333,R. B. Arenal Mundo Aventura.,2004.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
10561,PRESERVED_SPECIMEN,Acalypha ferdinandi,4115595,GBIF,,Manuel Vargas,,10.452778,-84.658333,R. B. Arenal Mundo Aventura.,2004.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
10562,PRESERVED_SPECIMEN,Acalypha ferdinandi,4115591,GBIF,,Manuel Vargas,,10.452778,-84.658333,R. B. Arenal Mundo Aventura.,2004.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
10563,PRESERVED_SPECIMEN,Acalypha ferdinandi,4115593,GBIF,,Manuel Vargas,,10.452778,-84.658333,R. B. Arenal Mundo Aventura.,2004.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
11147,PRESERVED_SPECIMEN,Acalypha ferdinandi,4192744,GBIF,,Manuel Vargas,,9.776389,-84.606944,"Tarcoles. Dentro del bosque, por el sendero Quebrada Bonita. Antes de llegar a la quebrada.",2004.0,1,1,1,,WGS84,2019,L. Acosta; Luis Diego Vargas
11148,PRESERVED_SPECIMEN,Acalypha ferdinandi,4192745,GBIF,,Manuel Vargas,,9.776389,-84.606944,"Tarcoles. Dentro del bosque, por el sendero Quebrada Bonita. Antes de llegar a la quebrada.",2004.0,1,1,1,,WGS84,2019,L. Acosta; Luis Diego Vargas
11149,PRESERVED_SPECIMEN,Acalypha ferdinandi,4192743,GBIF,,Manuel Vargas,,9.776389,-84.606944,"Tarcoles. Dentro del bosque, por el sendero Quebrada Bonita. Antes de llegar a la quebrada.",2004.0,1,1,1,,WGS84,2019,L. Acosta; Luis Diego Vargas
11415,PRESERVED_SPECIMEN,Acalypha ferdinandi,4206345,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2008.0,1,1,1,,WGS84,2019,Ricardo Kriebel
11416,PRESERVED_SPECIMEN,Acalypha ferdinandi,4206344,GBIF,,Manuel Vargas,,9.904089,-84.30142,"San José, El Rodeo, Río Jaris.",2008.0,1,1,1,,WGS84,2019,Ricardo Kriebel
