,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
257,PRESERVED_SPECIMEN,Aiouea brenesii,1518328,GBIF,,Manuel Vargas,,9.795833,-84.18722199999999,"Alto La Escalera, a lo largo del camino entre San Ignacio y Guaitil.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós
259,PRESERVED_SPECIMEN,Aiouea brenesii,1518326,GBIF,,Manuel Vargas,,9.795833,-84.18722199999999,"Alto La Escalera, a lo largo del camino entre San Ignacio y Guaitil.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós
262,PRESERVED_SPECIMEN,Aiouea brenesii,1518327,GBIF,,Manuel Vargas,,9.795833,-84.18722199999999,"Alto La Escalera, a lo largo del camino entre San Ignacio y Guaitil.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós
264,PRESERVED_SPECIMEN,Aiouea brenesii,1518330,GBIF,,Manuel Vargas,,9.795833,-84.18722199999999,"Alto La Escalera, a lo largo del camino entre San Ignacio y Guaitil.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós
270,PRESERVED_SPECIMEN,Aiouea brenesii,1518329,GBIF,,Manuel Vargas,,9.795833,-84.18722199999999,"Alto La Escalera, a lo largo del camino entre San Ignacio y Guaitil.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós
798,PRESERVED_SPECIMEN,Aiouea brenesii,1531556,GBIF,,Manuel Vargas,,10.777778,-85.351389,Sendero a las Pailas Frias.,1997.0,1,1,1,,WGS84,2019,Victor Ramírez; Miguel Rojas
799,PRESERVED_SPECIMEN,Aiouea brenesii,1531557,GBIF,,Manuel Vargas,,10.777778,-85.351389,Sendero a las Pailas Frias.,1997.0,1,1,1,,WGS84,2019,Victor Ramírez; Miguel Rojas
800,PRESERVED_SPECIMEN,Aiouea brenesii,1531558,GBIF,,Manuel Vargas,,10.777778,-85.351389,Sendero a las Pailas Frias.,1997.0,1,1,1,,WGS84,2019,Victor Ramírez; Miguel Rojas
801,PRESERVED_SPECIMEN,Aiouea brenesii,1531555,GBIF,,Manuel Vargas,,10.777778,-85.351389,Sendero a las Pailas Frias.,1997.0,1,1,1,,WGS84,2019,Victor Ramírez; Miguel Rojas
1576,PRESERVED_SPECIMEN,Aiouea brenesii,1561567,GBIF,,Manuel Vargas,,10.266667,-84.833334,"Monteverde, 10 km SO, on road to Interamerican Highway, ridge between Rio Guacimal and Rio Lagarto drainage.",1990.0,1,1,1,,WGS84,2019,William Haber
1866,PRESERVED_SPECIMEN,Aiouea brenesii,1567773,GBIF,,Manuel Vargas,,10.275833,-84.795833,San Luis; 2 km del cruce a Santa Elena; bosque secundario.,1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1906,PRESERVED_SPECIMEN,Aiouea brenesii,1569197,GBIF,,Manuel Vargas,,9.822222,-84.184722,"Agua Blanca, Alto El Guabal; bosque secundario en el cruce por quebrada Mina",1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2131,PRESERVED_SPECIMEN,Aiouea brenesii,1577929,GBIF,,Manuel Vargas,,10.252778,-84.826389,"San Luis; por el camino Las Minas, La Guaria, Guacimal.",1994.0,1,1,1,,WGS84,2019,Zobeida Fuentes
2319,PRESERVED_SPECIMEN,Aiouea brenesii,1588569,GBIF,,Manuel Vargas,,10.268056,-84.82777800000001,"San Luis de Monteverde, parches residuales en las margenes del Rio San Luis.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2535,PRESERVED_SPECIMEN,Aiouea brenesii,1596175,GBIF,,Manuel Vargas,,10.35,-84.916667,"La Sierra, Candelaria. Division de los Rios Canuas y Abangares.",1993.0,1,1,1,,WGS84,2019,Erick Bello
3009,PRESERVED_SPECIMEN,Aiouea brenesii,1605653,GBIF,,Manuel Vargas,,9.45,-82.991667,"Alto Uren, Quebrada antes de la casa de Don Gabriel.",1994.0,1,1,1,,WGS84,2019,Gerardina Gallardo
3148,PRESERVED_SPECIMEN,Aiouea brenesii,1580592,GBIF,,Manuel Vargas,,10.133333,-85.633333,"Vista de Mar, al sur de Santa Cruz. Al otro lado del camino a las torres del ICE.",1992.0,1,1,1,,WGS84,2019,Carlos Guindon
3253,PRESERVED_SPECIMEN,Aiouea brenesii,1582712,GBIF,,Manuel Vargas,,10.166667,-84.5,"Piedades Norte, Division entre el Rio La Paz y Rio La Balsa. Reserva Tropical Obersdofr",1993.0,1,1,1,,WGS84,2019,Erick Bello
3754,PRESERVED_SPECIMEN,Aiouea brenesii,2844481,GBIF,,Manuel Vargas,,10.763889,-85.318056,P.N. Rincón de la Vieja. Sector Santa María. Quebrada Azufrales.,1997.0,1,1,1,,WGS84,2019,Sandy Salas
3755,PRESERVED_SPECIMEN,Aiouea brenesii,2844480,GBIF,,Manuel Vargas,,10.763889,-85.318056,P.N. Rincón de la Vieja. Sector Santa María. Quebrada Azufrales.,1997.0,1,1,1,,WGS84,2019,Sandy Salas
4538,PRESERVED_SPECIMEN,Aiouea brenesii,2836074,GBIF,,Manuel Vargas,,10.710556,-85.34083299999999,"Finca Las Delicias, sobre carretera a Rincon de la Vieja, junto a Rio Liberia. 10 Km antes de la administracion.",1984.0,1,1,1,,WGS84,2019,Terence Dale Pennington; Pablo E. Sánchez Vindas ; Nelson A. Zamora Villalobos
4706,PRESERVED_SPECIMEN,Aiouea brenesii,2839305,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
4707,PRESERVED_SPECIMEN,Aiouea brenesii,2839306,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas
4734,PRESERVED_SPECIMEN,Aiouea brenesii,2842853,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Maria Isabel Ibarra
4737,PRESERVED_SPECIMEN,Aiouea brenesii,2842854,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Maria Isabel Ibarra
4738,PRESERVED_SPECIMEN,Aiouea brenesii,2842855,GBIF,,Manuel Vargas,,9.92,-84.259722,"Hacienda El Rodeo, por el camino del Bajo Morales a la U. para la Paz.",1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Maria Isabel Ibarra
