,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
13299,PRESERVED_SPECIMEN,Albizia duckeana,244837,GBIF,15529,Manuel Vargas,,-9.623056,-65.1,"UHE Jirau, Ramal Primavera - BR 364 - rio Madeira. km 8,5.",2010.0,1,1,1,,WGS84,2019,Mike Hopkins
13300,PRESERVED_SPECIMEN,Albizia duckeana,244936,GBIF,15666,Manuel Vargas,,-9.646944,-64.93,"UHE Jirau, Margem direita do rio Mutum Paraná.",2010.0,1,1,1,,WGS84,2019,Mike Hopkins
27141,PRESERVED_SPECIMEN,Albizia duckeana,K000579412,GBIF,1751,Manuel Vargas,,-9.47,-55.82,"Parque Estadual Cristalino. Serra à sudeste da pousada, à oeste da estrada de terra.GPS :EF2 039",2007.0,1,1,1,,WGS84,2019,"Piva, J.H.; Henicka, G.S.; Sasaki, D."
27148,PRESERVED_SPECIMEN,Albizia duckeana,K000876034,GBIF,5049,Manuel Vargas,,-10.15,-63.0,"Lat/Long: 10[deg] 9' S, 63[deg] 64' W; BR 364, estrada Cuiabá-Porto Velho, Km 542, linha C-85, travessão B-40 .",1984.0,1,1,1,,WGS84,2019,"Guedes, J.; Cid, C.A.; Lima, J.; Coêlho, J."
28064,PRESERVED_SPECIMEN,Albizia duckeana,3227,GBIF,1566,Manuel Vargas,,-9.646944,-64.95,Rio Mutum Paraná.,2010.0,1,1,1,,WGS84,2019,"Pereira-Silva, G."
28065,PRESERVED_SPECIMEN,Albizia duckeana,3660,GBIF,15529,Manuel Vargas,,-8.754481,-63.870307999999994,Rio Madeira.,2010.0,1,1,1,,WGS84,2019,"Pereira-Silva, G."
35190,PRESERVED_SPECIMEN,Albizia duckeana,BM000616106,GBIF,1880,Manuel Vargas,,15.05,-84.833333,,1994.0,1,1,1,,WGS84,2019,Paul Raymond House
46655,PRESERVED_SPECIMEN,Albizia duckeana,1747557,GBIF,283,Manuel Vargas,,-2.429224,-59.888583,"Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, then 23 km east on ZF3, Fazenda Colosso. Reserva 1202.",1995.0,1,1,1,,WGS84,2019,C. Dick
54850,PRESERVED_SPECIMEN,Albizia duckeana,206984,GBIF,1751,Manuel Vargas,,-9.2809,-55.4905,"Parque Estadual do Cristalino, Parque Estadual Cristalino. Serra à sudeste da pousada, à oeste da estrada de terra.",2007.0,1,1,1,,WGS84,2019,"Sasaki, D; Henicka, GS; Piva, JH"
56395,PRESERVED_SPECIMEN,Albizia duckeana,01300586,GBIF,974B,Manuel Vargas,,7.37,-59.7,"Kariako, Barama River, North-West District",1996.0,1,1,1,,WGS84,2019,T. R. van Andel
