,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
897,PRESERVED_SPECIMEN,Alfaroa manningii,1509201,GBIF,,Manuel Vargas,,10.211111,-84.60555699999999,Los Angeles. 1 km al noroeste de la Estacion.,1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
1116,PRESERVED_SPECIMEN,Alfaroa manningii,1515328,GBIF,,Manuel Vargas,,10.780555999999999,-85.298611,"Sector Santa Maria, Sendero La Plantacion, cabeceras Quebrada Zopilote.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1363,PRESERVED_SPECIMEN,Alfaroa manningii,1558113,GBIF,,Manuel Vargas,,9.816667,-83.425,Along road over ridge between Platanillo and Moravia de Chirripo.,1990.0,1,1,1,,WGS84,2019,Michael H. Grayum
1573,PRESERVED_SPECIMEN,Alfaroa manningii,1561521,GBIF,,Manuel Vargas,,10.333333,-84.716667,Valle Penas Blancas.,1987.0,1,1,1,,WGS84,2019,William Haber
2097,PRESERVED_SPECIMEN,Alfaroa manningii,1575797,GBIF,,Manuel Vargas,,10.993056,-85.432778,"Estacion Pitilla, Sta. Cecilia 9 km S.",1992.0,1,1,1,,WGS84,2019,Calixto Moraga
2388,PRESERVED_SPECIMEN,Alfaroa manningii,1592343,GBIF,,Manuel Vargas,,10.928611,-85.46944599999999,Estacion Cacao; Cerro Cacao.,1995.0,1,1,1,,WGS84,2019,Roberto Espinoza
2499,PRESERVED_SPECIMEN,Alfaroa manningii,1596091,GBIF,,Manuel Vargas,,10.316667,-84.716668,Rio Penas Blancas. Finca de Eladio Cruz.,1989.0,1,1,1,,WGS84,2019,Erick Bello
2505,PRESERVED_SPECIMEN,Alfaroa manningii,1596093,GBIF,,Manuel Vargas,,10.927222,-85.493889,"Estacion Cacao, bosque primario.",1990.0,1,1,1,,WGS84,2019,Roberto Delgado
2859,PRESERVED_SPECIMEN,Alfaroa manningii,1602029,GBIF,,Manuel Vargas,,11.033333,-85.408334,Estacion Pitilla. Sendero El Mismo y Fila Orosilito,1991.0,1,1,1,,WGS84,2019,Petrona Ríos Castro
3209,PRESERVED_SPECIMEN,Alfaroa manningii,1581643,GBIF,,Manuel Vargas,,10.990556,-85.427778,"La Cruz, Santa Cecilia Hda. El Oro 500 m.",1992.0,1,1,1,,WGS84,2019,Roberto Espinoza
4497,PRESERVED_SPECIMEN,Alfaroa manningii,2835101,GBIF,,Manuel Vargas,,9.991667,-83.377778,"Brisas de Pacuarito. Sendero principal, colecta junto al Río Dantas.",1999.0,1,1,1,,WGS84,2019,Edgar Mora; Didier Rubí
4498,PRESERVED_SPECIMEN,Alfaroa manningii,2835098,GBIF,,Manuel Vargas,,9.991667,-83.377778,"Brisas de Pacuarito. Sendero principal, colecta junto al Río Dantas.",1999.0,1,1,1,,WGS84,2019,Edgar Mora; Didier Rubí
