,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1151,PRESERVED_SPECIMEN,Ardisia blepharodes,1516738,GBIF,,Manuel Vargas,,9.783333,-83.8,"Pasture and forested slope N of Quebrada Casa Blanca, Tapanti.",1985.0,1,1,1,,WGS84,2019,Michael H. Grayum
1153,PRESERVED_SPECIMEN,Ardisia blepharodes,1516737,GBIF,,Manuel Vargas,,9.783333,-83.8,"Pasture and forested slope N of Quebrada Casa Blanca, Tapanti.",1984.0,1,1,1,,WGS84,2019,Michael H. Grayum
2722,PRESERVED_SPECIMEN,Ardisia blepharodes,1598458,GBIF,,Manuel Vargas,,9.419444,-83.05,"Alto Lari, 50 m N de union Rios Dapari (Pare) y Lari. Entre Surayo y Dapari.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4341,PRESERVED_SPECIMEN,Ardisia blepharodes,2830272,GBIF,,Manuel Vargas,,9.806119,-83.447348,"Aserradero el Seis, Grano de Oro, Turrialba",1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
10167,PRESERVED_SPECIMEN,Ardisia blepharodes,4122737,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
10168,PRESERVED_SPECIMEN,Ardisia blepharodes,4122739,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
10169,PRESERVED_SPECIMEN,Ardisia blepharodes,4122736,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
10170,PRESERVED_SPECIMEN,Ardisia blepharodes,4122740,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
10171,PRESERVED_SPECIMEN,Ardisia blepharodes,4122738,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
10214,PRESERVED_SPECIMEN,Ardisia blepharodes,4123893,GBIF,,Manuel Vargas,,9.815669999999999,-83.16371,Fila Matama. P. I. La Amistad. Sitio La Ventana.,2007.0,1,1,1,,WGS84,2019,Daniel Solano; Alexánder Francisco Rodríguez González ; Billen Gamboa R. ; Daniel Santamaría ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
