,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
350,PRESERVED_SPECIMEN,Ardisia capitellata,1521579,GBIF,,Manuel Vargas,,9.124422000000001,-83.074861,"Puesto Tres Colinas, Orillas del Rio Guineal.",1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
352,PRESERVED_SPECIMEN,Ardisia capitellata,1521578,GBIF,,Manuel Vargas,,9.124422000000001,-83.074861,"Puesto Tres Colinas, Orillas del Rio Guineal.",1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
353,PRESERVED_SPECIMEN,Ardisia capitellata,1521577,GBIF,,Manuel Vargas,,9.124422000000001,-83.074861,"Puesto Tres Colinas, Orillas del Rio Guineal.",1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
422,PRESERVED_SPECIMEN,Ardisia capitellata,1523839,GBIF,,Manuel Vargas,,9.124422000000001,-83.074861,"Puesto Tres Colinas, Orillas del Rio Guineal.",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
424,PRESERVED_SPECIMEN,Ardisia capitellata,1523838,GBIF,,Manuel Vargas,,9.124422000000001,-83.074861,"Puesto Tres Colinas, Orillas del Rio Guineal.",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
1081,PRESERVED_SPECIMEN,Ardisia capitellata,1513820,GBIF,,Manuel Vargas,,8.791667,-82.966667,"Along trail between Las Cruces Botanical Garden and Rio Jaba, ca. 3.5 km SE of San Vito de Coto Brus.",1985.0,1,1,1,,WGS84,2019,Michael H. Grayum
1156,PRESERVED_SPECIMEN,Ardisia capitellata,1516739,GBIF,,Manuel Vargas,,8.952162,-82.838258,"A.C.L.A.P, Coto Brus, Estación Biológica Las Alturas",1994.0,1,1,1,,WGS84,2019,John Kress
1159,PRESERVED_SPECIMEN,Ardisia capitellata,1516736,GBIF,,Manuel Vargas,,8.952162,-82.838258,"A.C.L.A.P, Coto Brus, Estación Biológica Las Alturas",1974.0,1,1,1,,WGS84,2019,Paulus J. M. Maas
1161,PRESERVED_SPECIMEN,Ardisia capitellata,1516753,GBIF,,Manuel Vargas,,9.033333,-82.983333,"Area around Rio Canasta, 9.5 airline km NW of Agua Caliente, between Cerro Frantzius and Cerro Pittier.",1984.0,1,1,1,,WGS84,2019,Gerrit Davidse; Gerardo Herrera ; Michael H. Grayum
2106,PRESERVED_SPECIMEN,Ardisia capitellata,1576316,GBIF,,Manuel Vargas,,8.95,-82.766667,Foothills of the Cordillera de Talamanca lower montane forest in the area of Sitio Coton (Cotonsito) along the road.,1983.0,1,1,1,,WGS84,2019,Gerrit Davidse
2725,PRESERVED_SPECIMEN,Ardisia capitellata,1598501,GBIF,,Manuel Vargas,,8.952778,-82.836111,Estacion Biologica Las Alturas. Sendero Paralelo.,1992.0,1,1,1,,WGS84,2019,Alvaro Fernandez
3044,PRESERVED_SPECIMEN,Ardisia capitellata,1607043,GBIF,,Manuel Vargas,,9.025,-82.961113,Estacion Pittier. Sendero Gemelo. Colectado en potrero.,1995.0,1,1,1,,WGS84,2019,Billen Gamboa R.
3054,PRESERVED_SPECIMEN,Ardisia capitellata,1607048,GBIF,,Manuel Vargas,,9.025,-82.961112,Estacion Pittier. Rio Gemelo.,1995.0,1,1,1,,WGS84,2019,Luis Angulo
3055,PRESERVED_SPECIMEN,Ardisia capitellata,1607060,GBIF,,Manuel Vargas,,9.025,-82.961113,"Estacion Pittier, potreros cerca de la estacion.",1995.0,1,1,1,,WGS84,2019,Ronald Villalobos
3056,PRESERVED_SPECIMEN,Ardisia capitellata,1607059,GBIF,,Manuel Vargas,,9.025,-82.961114,Estacion Pittier. Sendero a Rio Canasta. Bosque Secundario.,1995.0,1,1,1,,WGS84,2019,Ronald Villalobos
3404,PRESERVED_SPECIMEN,Ardisia capitellata,1586503,GBIF,,Manuel Vargas,,9.025,-82.961113,Cerro Bioley.,1994.0,1,1,1,,WGS84,2019,Javier Quesada
3659,PRESERVED_SPECIMEN,Ardisia capitellata,2816724,GBIF,,Manuel Vargas,,8.942209,-82.835552,"A.C.L.A.P, Coto Brus, Estación Biol Las Alturas",1997.0,1,1,1,,WGS84,2019,Billen Gamboa R.
3660,PRESERVED_SPECIMEN,Ardisia capitellata,2816726,GBIF,,Manuel Vargas,,8.942209,-82.835552,"A.C.L.A.P, Coto Brus, Estación Biol Las Alturas",1997.0,1,1,1,,WGS84,2019,Billen Gamboa R.
3661,PRESERVED_SPECIMEN,Ardisia capitellata,2816725,GBIF,,Manuel Vargas,,8.942209,-82.835552,"A.C.L.A.P, Coto Brus, Estación Biol Las Alturas",1997.0,1,1,1,,WGS84,2019,Billen Gamboa R.
3861,PRESERVED_SPECIMEN,Ardisia capitellata,2846737,GBIF,,Manuel Vargas,,9.031144,-82.99179000000001,"Buenos Aires, A.C.L.A, P.I.L.A, Send a Casa Coca",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro; Milady Alfaro
3862,PRESERVED_SPECIMEN,Ardisia capitellata,2846738,GBIF,,Manuel Vargas,,9.031144,-82.99179000000001,"Buenos Aires, A.C.L.A, P.I.L.A, Send a Casa Coca",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro; Milady Alfaro
3863,PRESERVED_SPECIMEN,Ardisia capitellata,2846739,GBIF,,Manuel Vargas,,9.031144,-82.99179000000001,"Buenos Aires, A.C.L.A, P.I.L.A, Send a Casa Coca",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro; Milady Alfaro
3875,PRESERVED_SPECIMEN,Ardisia capitellata,2847028,GBIF,,Manuel Vargas,,8.979319,-82.851837,"Fila Cedro, Coto Brus",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
