,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2727,PRESERVED_SPECIMEN,Ardisia cartagoana,1598475,GBIF,,Manuel Vargas,,9.819444,-83.458333,Grano de Oro. Moravia de Chirripo.,1993.0,1,1,1,,WGS84,2019,Priscilla Campos
2730,PRESERVED_SPECIMEN,Ardisia cartagoana,1598474,GBIF,,Manuel Vargas,,9.819444,-83.458333,Grano de Oro. Moravia de Chirripo.,1992.0,1,1,1,,WGS84,2019,Priscilla Campos
2890,PRESERVED_SPECIMEN,Ardisia cartagoana,1603159,GBIF,,Manuel Vargas,,9.75,-83.31666700000001,N flank of Fila de Matama in headwaters of Rio Boyei.,1995.0,1,1,1,,WGS84,2019,Michael H. Grayum
4308,PRESERVED_SPECIMEN,Ardisia cartagoana,2828440,GBIF,,Manuel Vargas,,9.891671,-83.64999,Cartago. Turrialba centro,1976.0,1,1,1,,WGS84,2019,Thomas Bernard Croat
10374,PRESERVED_SPECIMEN,Ardisia cartagoana,4126875,GBIF,,Manuel Vargas,,9.622819,-83.278758,Alrededores Laguna Sacabico.,2007.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Oscar Chacón Chavarría ; William Gamboa
10375,PRESERVED_SPECIMEN,Ardisia cartagoana,4126874,GBIF,,Manuel Vargas,,9.622819,-83.278758,Alrededores Laguna Sacabico.,2007.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Oscar Chacón Chavarría ; William Gamboa
10376,PRESERVED_SPECIMEN,Ardisia cartagoana,4126877,GBIF,,Manuel Vargas,,9.622819,-83.278758,Alrededores Laguna Sacabico.,2007.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Oscar Chacón Chavarría ; William Gamboa
10377,PRESERVED_SPECIMEN,Ardisia cartagoana,4126876,GBIF,,Manuel Vargas,,9.622819,-83.278758,Alrededores Laguna Sacabico.,2007.0,1,1,1,,WGS84,2019,Daniel Solano; Daniel Santamaría ; Oscar Chacón Chavarría ; William Gamboa
33623,PRESERVED_SPECIMEN,Ardisia cartagoana,,GBIF,36841,Manuel Vargas,,10.0114,-83.9519,,1976.0,1,1,1,,WGS84,2019,T. B. Croat
36617,PRESERVED_SPECIMEN,Ardisia cartagoana,893588,GBIF,Campos Sanabria 57,Manuel Vargas,,9.81,-83.45,"Valle del Reventazón, Grano de Oro, Moravia de Chirripó",1992.0,1,1,1,,WGS84,2019,Priscila Campos
36619,PRESERVED_SPECIMEN,Ardisia cartagoana,893629,GBIF,Campos Sanabria 76,Manuel Vargas,,8.81,-83.45,"Valle del Reventazón, Grano de Oro, Moravia de Chirripó",1993.0,1,1,1,,WGS84,2019,Priscila Campos
38534,PRESERVED_SPECIMEN,Ardisia cartagoana,100490663,GBIF,Solano Peralta 4522,Manuel Vargas,,9.622819,-83.27875999999999,Bratis. Punto 10. NE de Laguna Sacabico.,2007.0,1,1,1,,WGS84,2019,Daniel Solano
39648,PRESERVED_SPECIMEN,Ardisia cartagoana,G-G-196417/1,GBIF,,Manuel Vargas,,9.97028,-84.18806,Costa Rica,,1,1,1,,WGS84,2019,"Pittier, H. (Coll. G)"
45160,PRESERVED_SPECIMEN,Ardisia cartagoana,126923,GBIF,,Manuel Vargas,,9.819444,-83.458333,Valle del Reventazón. Grano de Oro. Moravia de Chirripó.,1992.0,1,1,1,,WGS84,2019,P. Campos
45162,PRESERVED_SPECIMEN,Ardisia cartagoana,126925,GBIF,,Manuel Vargas,,8.819444,-84.458333,Valle del Reventazón. Grano de Oro. Moravia de Chirripó.,1993.0,1,1,1,,WGS84,2019,P. Campos
47812,PRESERVED_SPECIMEN,Ardisia cartagoana,100694852,GBIF,Grayum 11046,Manuel Vargas,,9.75,-83.16666,Cordillera de Talamanca.  N flank of Fila de Matama in headwaters of Río Boyei,1995.0,1,1,1,,WGS84,2019,Michael H. Grayum
50879,PRESERVED_SPECIMEN,Ardisia cartagoana,1472322,GBIF,Croat 36841,Manuel Vargas,,9.9,-83.62,"Along road between Juan Viñas and Turrialba, 7 km west of Turrialba, along ditch.",1976.0,1,1,1,,WGS84,2019,Thomas B. Croat
