,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1154,PRESERVED_SPECIMEN,Ardisia dunlapiana,1516734,GBIF,,Manuel Vargas,,8.705556,-83.525,Rincon de Osa. Agua Buena.,1993.0,1,1,1,,WGS84,2019,Karsten Thomsen
2724,PRESERVED_SPECIMEN,Ardisia dunlapiana,1598457,GBIF,,Manuel Vargas,,8.7,-83.594445,Rancho Quemado. Tierra de Conservacion.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2740,PRESERVED_SPECIMEN,Ardisia dunlapiana,1598540,GBIF,,Manuel Vargas,,8.660833,-83.713889,Playa Campanario o San Josecito. Sierpe. Primary forest.,1991.0,1,1,1,,WGS84,2019,Patrick Harmon
2741,PRESERVED_SPECIMEN,Ardisia dunlapiana,1598532,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,"Rancho Quemado, ca. 15 km W of Rincon; in bottom of S end of valley along Rio Riyito.",1988.0,1,1,1,,WGS84,2019,Barry Hammel
2754,PRESERVED_SPECIMEN,Ardisia dunlapiana,1598581,GBIF,,Manuel Vargas,,8.684722,-83.563889,Rancho Quemado. Eston Forestal. Finca Eloy Cubero.,1991.0,1,1,1,,WGS84,2019,Juan Marin
2756,PRESERVED_SPECIMEN,Ardisia dunlapiana,1598577,GBIF,,Manuel Vargas,,8.466667,-83.583334,"Sirena. Los Patos Forest, 1-50 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
2761,PRESERVED_SPECIMEN,Ardisia dunlapiana,1598616,GBIF,,Manuel Vargas,,8.766667,-83.25,"Estacion Esquinas, sendero a la Calathea",1993.0,1,1,1,,WGS84,2019,Marianella Segura
3042,PRESERVED_SPECIMEN,Ardisia dunlapiana,1607019,GBIF,,Manuel Vargas,,8.817222000000001,-83.189722,Fila Cruces Cabeceras del Rio Piedras Blancas.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3048,PRESERVED_SPECIMEN,Ardisia dunlapiana,1607032,GBIF,,Manuel Vargas,,8.766667,-83.250001,Alrededores de la Estacion Esquinas.,1993.0,1,1,1,,WGS84,2019,Marianella Segura
3049,PRESERVED_SPECIMEN,Ardisia dunlapiana,1607033,GBIF,,Manuel Vargas,,8.766667,-83.250001,Estacion Esquinas; Seccion Esquinas.,1993.0,1,1,1,,WGS84,2019,Marianella Segura
4029,PRESERVED_SPECIMEN,Ardisia dunlapiana,2849932,GBIF,,Manuel Vargas,,8.683333,-83.216667,"Fila Gamba, 3 Km NE camino entre Golfito y Villa Briceno.",1997.0,1,1,1,,WGS84,2019,Werner Huber; A. Weissenhofer
