,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1167,PRESERVED_SPECIMEN,Ardisia fendleri,1516725,GBIF,,Manuel Vargas,,9.066667,-83.083333,"Foothillis of the Cordillera de Talamanca, just below Helechales. tropical moist transition forest;patches between pastures.",1984.0,1,1,1,,WGS84,2019,Gerrit Davidse
15297,PRESERVED_SPECIMEN,Ardisia fendleri,2930314,GBIF,Proctor 27313,Manuel Vargas,,12.191667,-84.18333299999999,5 km NE of Rama; primary rainforest,1966.0,1,1,1,,WGS84,2019,George R. Proctor|Gayle C. Jones|Lynden Facey
15588,PRESERVED_SPECIMEN,Ardisia fendleri,3012163,GBIF,Folsom 9620,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,James P. Folsom
15974,PRESERVED_SPECIMEN,Ardisia fendleri,3173018,GBIF,Martínez Salas 2173,Manuel Vargas,,10.741667,-83.875,"Camino entre El Castillito y Caño de Oro, rumbo a Cerro El Gigante; selva alta perennifolia",1982.0,1,1,1,,WGS84,2019,Esteban M. Martínez S.
16781,PRESERVED_SPECIMEN,Ardisia fendleri,3462983,GBIF,McPherson 20244,Manuel Vargas,,8.822778,-80.658889,Teck Cominco Petaquilla mining concession. Forest along ridge road. Collected with M. Merello.,2008.0,1,1,1,,WGS84,2019,Gordon McPherson
16782,PRESERVED_SPECIMEN,Ardisia fendleri,3463100,GBIF,McPherson 20343,Manuel Vargas,,8.98333,-80.67944,Teck Cominco Petaquilla mining concession. Forest along Rio Caimito.,2008.0,1,1,1,,WGS84,2019,Gordon McPherson
16893,PRESERVED_SPECIMEN,Ardisia fendleri,3478151,GBIF,Aizprúa B4422,Manuel Vargas,,7.728056,-80.841667,"Reserva Forstal El Montuoso. Sendero de la toma de agua, intersección con el camino hacia Sonadora.",2005.0,1,1,1,,WGS84,2019,Rafael Aizprúa|I. Alvarez
17105,PRESERVED_SPECIMEN,Ardisia fendleri,400037,GBIF,Chacón Gamboa 639,Manuel Vargas,,10.329167,-84.080556,"Parque Nacional Braulio Carrillo, Estación El Ceibo, bosque entre la Quebrada El Mojón y la margen izquierda del Río Peje",1989.0,1,1,1,,WGS84,2019,Abelardo Chacón|Edgar Corrales
17130,PRESERVED_SPECIMEN,Ardisia fendleri,400633,GBIF,Grijalva Pineda 3769,Manuel Vargas,,12.3,-85.116667,4 km al NW de Santo Domingo; bosque húmedo tropical,1984.0,1,1,1,,WGS84,2019,Alfredo Grijalva P.|D. Soza
17132,PRESERVED_SPECIMEN,Ardisia fendleri,400650,GBIF,McPherson 6917,Manuel Vargas,,8.666667,-79.833333,W of Interamerican Highway near Capira (c. 60 km W of Panamá City) on road to Cerro Campana.,1985.0,1,1,1,,WGS84,2019,Gordon McPherson
17140,PRESERVED_SPECIMEN,Ardisia fendleri,400841,GBIF,Gómez-Laurito 11891,Manuel Vargas,,8.788889,-82.975,"Jardín Bot. R. & C. Wilson Coto Brus, San Vito, Las Cruces. Sendero al río, bosque aledaño al Río Jaba.",1990.0,1,1,1,,WGS84,2019,Jorge Gómez-Laurito|Quírico Jiménez|Isidro A. Chacón G.|Luis Diego Gómez P.
