,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1084,PRESERVED_SPECIMEN,Ardisia liesneri,1513859,GBIF,,Manuel Vargas,,8.683333,-83.541667,"Rancho Quemado; ridge between Rio Riyito (valley of Laguna Chocuaco) and Quebrada Banegas, S of Cerro Rancho Quemado (ca. 7 km W of Rincon de Osa).",1986.0,1,1,1,,WGS84,2019,Michael H. Grayum
1152,PRESERVED_SPECIMEN,Ardisia liesneri,1516731,GBIF,,Manuel Vargas,,8.7,-83.5,"Aguabuena, 3 Km W of Rincon. One-hectare permanent sample plot 800 m N of the house of Henry Monge in well-drained.",1993.0,1,1,1,,WGS84,2019,Karsten Thomsen
1155,PRESERVED_SPECIMEN,Ardisia liesneri,1516730,GBIF,,Manuel Vargas,,8.716667,-83.516667,"Aguabuena, 3.5 Km W of Rincon. Four- hectare permanent sample plot 1 km N of BOSCOSA station in well-drained undulating terrain with slopes of 15-35",1992.0,1,1,1,,WGS84,2019,Karsten Thomsen
2133,PRESERVED_SPECIMEN,Ardisia liesneri,1577989,GBIF,,Manuel Vargas,,8.660833,-83.713889,Playa Campanario o San Josecito. Sierpe. Primary forest.,1991.0,1,1,1,,WGS84,2019,Patrick Harmon
2721,PRESERVED_SPECIMEN,Ardisia liesneri,1598456,GBIF,,Manuel Vargas,,8.605278,-83.498889,Dos Brazos de Cerro de Oro. Confluencia del Rio Pavon y Rio Rincon.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2735,PRESERVED_SPECIMEN,Ardisia liesneri,1598459,GBIF,,Manuel Vargas,,8.722222,-83.44166700000001,Los Mogos; Bahia Chal.,1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2738,PRESERVED_SPECIMEN,Ardisia liesneri,1598531,GBIF,,Manuel Vargas,,8.55,-83.583333,"Rancho Quemado, ca. 15 km W of Rincon; on ridge at NW end of valley, near Fila Ganado.",1988.0,1,1,1,,WGS84,2019,Barry Hammel
2745,PRESERVED_SPECIMEN,Ardisia liesneri,1598564,GBIF,,Manuel Vargas,,8.566667,-83.516667,Sendero Los Patos.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2746,PRESERVED_SPECIMEN,Ardisia liesneri,1598534,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,"En el valle de Rancho Quemado, ca. 15 km al oeste de Rincon; en el sur del valle por la Quebrada Quebradon y Rio Riyito.",1990.0,1,1,1,,WGS84,2019,Barry Hammel
2748,PRESERVED_SPECIMEN,Ardisia liesneri,1598535,GBIF,,Manuel Vargas,,8.686111,-83.55555600000001,"Rancho Quemado, ca. 15 km W de Rincon; en fila justamente antes de llegar al valle de Rancho Quemado.",1992.0,1,1,1,,WGS84,2019,Barry Hammel
2750,PRESERVED_SPECIMEN,Ardisia liesneri,1598586,GBIF,,Manuel Vargas,,8.716667,-83.580556,Rancho Quemado; fila Rancho Quemado.,1993.0,1,1,1,,WGS84,2019,Ada Luz Marin
2752,PRESERVED_SPECIMEN,Ardisia liesneri,1598530,GBIF,,Manuel Vargas,,8.616667,-83.466667,"Trocha La Tarde. 10 Km SO de Rincon, aguas arriba Rio Rincon. Bosque primario",1988.0,1,1,1,,WGS84,2019,Barry Hammel
2753,PRESERVED_SPECIMEN,Ardisia liesneri,1598582,GBIF,,Manuel Vargas,,8.694444,-83.559722,Cerro Rancho Quemado. Rincon,1991.0,1,1,1,,WGS84,2019,Juan Marin
2755,PRESERVED_SPECIMEN,Ardisia liesneri,1598576,GBIF,,Manuel Vargas,,8.466667,-83.583334,"Sirena. Los Patos Forest, 1-50 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
2758,PRESERVED_SPECIMEN,Ardisia liesneri,1598621,GBIF,,Manuel Vargas,,8.616667,-83.733333,Estacion San Pedrillo. Alrededores del limite,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2760,PRESERVED_SPECIMEN,Ardisia liesneri,1598560,GBIF,,Manuel Vargas,,8.616667,-83.733334,Estacion San Pedrillo. Sendero que va al limite,1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4089,PRESERVED_SPECIMEN,Ardisia liesneri,2851541,GBIF,,Manuel Vargas,,8.536614,-83.425512,P.N. Corcovado. Estación Agujas.,1997.0,1,1,1,,WGS84,2019,Manuel Lobo
4090,PRESERVED_SPECIMEN,Ardisia liesneri,2851542,GBIF,,Manuel Vargas,,8.536614,-83.425512,P.N. Corcovado. Estación Agujas.,1997.0,1,1,1,,WGS84,2019,Manuel Lobo
