,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
50,PRESERVED_SPECIMEN,Bactris glandulosa,376519,GBIF,2037,Manuel Vargas,,8.616667,-80.116667,"El Valle de Antón, El Monasterio, cerca a cerro Gaital.",1995.0,1,1,1,,WGS84,2019,A. Henderson
107,PRESERVED_SPECIMEN,Bactris glandulosa,462128,GBIF,2778,Manuel Vargas,,4.565,-75.815278,"Colombia. Quindío. Municipio de Montenegro. Vereda El Gigante, finca Guadualito. alt. 1200 m.",2001.0,1,1,1,,WGS84,2019,R. Bernal
303,PRESERVED_SPECIMEN,Bactris glandulosa,1518890,GBIF,,Manuel Vargas,,9.716667,-84.25,"1 km E of Ciudad Colon. In rocky stream, disturbed semi-deciduous seasonal humid forest.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
304,PRESERVED_SPECIMEN,Bactris glandulosa,1518889,GBIF,,Manuel Vargas,,9.716667,-84.25,"1 km E of Ciudad Colon. In rocky stream, disturbed semi-deciduous seasonal humid forest.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1307,PRESERVED_SPECIMEN,Bactris glandulosa,1556937,GBIF,,Manuel Vargas,,9.891667,-83.65,"Forested slope leading down to Rio Reventazon, behind main building of CATIE, Turrialba.",1989.0,1,1,1,,WGS84,2019,Michael H. Grayum
1311,PRESERVED_SPECIMEN,Bactris glandulosa,1557000,GBIF,,Manuel Vargas,,8.784722,-82.966667,"Disturbed forest between Las Cruces Botanical Garden and Rio Jaba, ca. 4 km SE of San Vito de Coto Brus.",1986.0,1,1,1,,WGS84,2019,Michael H. Grayum
1325,PRESERVED_SPECIMEN,Bactris glandulosa,1557401,GBIF,,Manuel Vargas,,8.658333,-83.2,E slopes of southern end of Fila Gamba (Rio Canaza drainage).,1988.0,1,1,1,,WGS84,2019,Michael H. Grayum
1339,PRESERVED_SPECIMEN,Bactris glandulosa,1557697,GBIF,,Manuel Vargas,,9.783333,-84.533333,"Puesto Carara, along Rio Carara, between guardpost and Rio del Sur.",1993.0,1,1,1,,WGS84,2019,Michael H. Grayum
1381,PRESERVED_SPECIMEN,Bactris glandulosa,1558929,GBIF,,Manuel Vargas,,8.466667,-83.583334,"Sirena. Los Patos Forest, 1-50 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
1819,PRESERVED_SPECIMEN,Bactris glandulosa,1566537,GBIF,,Manuel Vargas,,9.195833,-83.770833,Comunidad de Playa Hermosa. 800 m de la entrada. Dominical.,1992.0,1,1,1,,WGS84,2019,Alvaro Fernandez
