,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
886,PRESERVED_SPECIMEN,Berberis volcania,1508434,GBIF,,Manuel Vargas,,9.478333000000001,-83.48527800000001,"Laguna Ditkebi, cabeceras Rio Ditkebi, paramos y areas inundadas.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
910,PRESERVED_SPECIMEN,Berberis volcania,1509788,GBIF,,Manuel Vargas,,9.466111,-83.494444,Paramo en el Sendero al Valle de los Conejos.,1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
1108,PRESERVED_SPECIMEN,Berberis volcania,1515101,GBIF,,Manuel Vargas,,9.466667,-83.49583299999999,Sendero Valle Los Conejos y Cerro Chirripo.,1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.
1737,PRESERVED_SPECIMEN,Berberis volcania,1564041,GBIF,,Manuel Vargas,,9.4225,-83.507778,Sabana Leones.,1988.0,1,1,1,,WGS84,2019,Rafael Robles
4708,PRESERVED_SPECIMEN,Berberis volcania,2842098,GBIF,,Manuel Vargas,,9.555556,-83.758333,Cerro Buenavista. Paramo y bosque secundario.,1998.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Alexánder Francisco Rodríguez González ; Victor Ramírez ; Evelio Alfaro
4709,PRESERVED_SPECIMEN,Berberis volcania,2842099,GBIF,,Manuel Vargas,,9.555556,-83.758333,Cerro Buenavista. Paramo y bosque secundario.,1998.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Alexánder Francisco Rodríguez González ; Victor Ramírez ; Evelio Alfaro
4710,PRESERVED_SPECIMEN,Berberis volcania,2842097,GBIF,,Manuel Vargas,,9.555556,-83.758333,Cerro Buenavista. Paramo y bosque secundario.,1998.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Alexánder Francisco Rodríguez González ; Victor Ramírez ; Evelio Alfaro
6742,PRESERVED_SPECIMEN,Berberis volcania,3438067,GBIF,,Manuel Vargas,,9.456944,-83.51055600000001,Alrededor del puesto.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto ; L. Acosta
6744,PRESERVED_SPECIMEN,Berberis volcania,3438064,GBIF,,Manuel Vargas,,9.456944,-83.51055600000001,Alrededor del puesto.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto ; L. Acosta
6745,PRESERVED_SPECIMEN,Berberis volcania,3438065,GBIF,,Manuel Vargas,,9.456944,-83.51055600000001,Alrededor del puesto.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto ; L. Acosta
6746,PRESERVED_SPECIMEN,Berberis volcania,3438066,GBIF,,Manuel Vargas,,9.456944,-83.51055600000001,Alrededor del puesto.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto ; L. Acosta
7622,PRESERVED_SPECIMEN,Berberis volcania,3816493,GBIF,,Manuel Vargas,,9.432777999999999,-83.491111,Robledad en el Bosque Las Parcelas.,2002.0,1,1,1,,WGS84,2019,Luis González; Evelio Alfaro ; Alfonso Garita
7623,PRESERVED_SPECIMEN,Berberis volcania,3816491,GBIF,,Manuel Vargas,,9.432777999999999,-83.491111,Robledad en el Bosque Las Parcelas.,2002.0,1,1,1,,WGS84,2019,Luis González; Evelio Alfaro ; Alfonso Garita
7624,PRESERVED_SPECIMEN,Berberis volcania,3816492,GBIF,,Manuel Vargas,,9.432777999999999,-83.491111,Robledad en el Bosque Las Parcelas.,2002.0,1,1,1,,WGS84,2019,Luis González; Evelio Alfaro ; Alfonso Garita
7842,PRESERVED_SPECIMEN,Berberis volcania,3894127,GBIF,,Manuel Vargas,,9.566675,-83.750003,Cerro de la Muerte camino a las torres.,2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7843,PRESERVED_SPECIMEN,Berberis volcania,3894128,GBIF,,Manuel Vargas,,9.566675,-83.750003,Cerro de la Muerte camino a las torres.,2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7844,PRESERVED_SPECIMEN,Berberis volcania,3894129,GBIF,,Manuel Vargas,,9.566675,-83.750003,Cerro de la Muerte camino a las torres.,2002.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
11115,PRESERVED_SPECIMEN,Berberis volcania,4191051,GBIF,,Manuel Vargas,,9.555,-83.761111,Dota. Copey. Sendero hacia las Torres. A orilla del camino.,2000.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Gerardo Soto ; Victor Ramírez ; Mario Hernández Peña
11116,PRESERVED_SPECIMEN,Berberis volcania,4191052,GBIF,,Manuel Vargas,,9.555,-83.761111,Dota. Copey. Sendero hacia las Torres. A orilla del camino.,2000.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Gerardo Soto ; Victor Ramírez ; Mario Hernández Peña
11968,PRESERVED_SPECIMEN,Berberis volcania,4296130,GBIF,,Manuel Vargas,,9.573472,-83.757,"Aproximadamente km 85, ruta Interamericana, cerro Asunción.",2011.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
11969,PRESERVED_SPECIMEN,Berberis volcania,4296132,GBIF,,Manuel Vargas,,9.573472,-83.757,"Aproximadamente km 85, ruta Interamericana, cerro Asunción.",2011.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
11970,PRESERVED_SPECIMEN,Berberis volcania,4296131,GBIF,,Manuel Vargas,,9.573472,-83.757,"Aproximadamente km 85, ruta Interamericana, cerro Asunción.",2011.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
11971,PRESERVED_SPECIMEN,Berberis volcania,4296133,GBIF,,Manuel Vargas,,9.573472,-83.757,"Aproximadamente km 85, ruta Interamericana, cerro Asunción.",2011.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
14795,PRESERVED_SPECIMEN,Berberis volcania,2797929,GBIF,Vargas Salazar 7,Manuel Vargas,,9.55555,-83.75833,R.F. Los Santos. Cuenca del Savegre. Cerro Buenavista. Alrededores de las torres.,1998.0,1,1,1,,WGS84,2019,Luis Diego Vargas|Alexánder Rodríguez|Víctor H. Ramírez|Evelio Alfaro
14928,PRESERVED_SPECIMEN,Berberis volcania,2846568,GBIF,Véliz Pérez 95.4655,Manuel Vargas,,15.48055,-91.50805,"Todos Santos, Los Llanos de San Miguel Xemal",1995.0,1,1,1,,WGS84,2019,Mario Véliz
14929,PRESERVED_SPECIMEN,Berberis volcania,2846610,GBIF,Véliz Pérez 98.6146,Manuel Vargas,,15.51694,-91.51111,"Todos Santos, cerca de la Torre",1998.0,1,1,1,,WGS84,2019,Mario Véliz
14930,PRESERVED_SPECIMEN,Berberis volcania,2847180,GBIF,Véliz Pérez 95.4814,Manuel Vargas,,15.45416,-91.49194,"Todos Santos, cerca de Agua Alegre",1995.0,1,1,1,,WGS84,2019,Mario Véliz
14948,PRESERVED_SPECIMEN,Berberis volcania,2869381,GBIF,Véliz Pérez MV8461,Manuel Vargas,,14.471379999999998,-90.73916,Volcán de Agua,2000.0,1,1,1,,WGS84,2019,Mario Véliz|Rodolfo Luarca|M. Vásquez
15076,PRESERVED_SPECIMEN,Berberis volcania,2891867,GBIF,Véliz Pérez MV15651,Manuel Vargas,,15.4475,-91.47916,Chiabal,2005.0,1,1,1,,WGS84,2019,Mario Véliz|R. Morales
18267,PRESERVED_SPECIMEN,Berberis volcania,747535,GBIF,Davidse 24954,Manuel Vargas,,9.55,-83.716667,"Direct line from Hotel La Georgina to Cerro Frío of the Cerro Buenavista complex (Cerro de la Muerte), area with television and radio towers.",1983.0,1,1,1,,WGS84,2019,Gerrit Davidse
18268,PRESERVED_SPECIMEN,Berberis volcania,747655,GBIF,Robles González 1779,Manuel Vargas,,9.5,-83.46666,"Parque Nacional Chirripó. Del Puesto Los Crestones, 2.5 Km al Sur, camino a ""La Sabana de los Leones"". Bosque de Quercus, afectado por el incendio de 1975.",1988.0,1,1,1,,WGS84,2019,Rafael Robles
21211,PRESERVED_SPECIMEN,Berberis volcania,19382,GBIF,,Manuel Vargas,,16.675,-92.575,"Rancho Nuevo, 9 miles San Cristóbal de las Casas, Mpio. San Cristóbal de las Casas",1965.0,1,1,1,,WGS84,2019,D. E. Breedlove
21547,PRESERVED_SPECIMEN,Berberis volcania,26326,GBIF,,Manuel Vargas,,16.799444,-92.661389,Laguna Petej,1995.0,1,1,1,,WGS84,2019,M. Martínez I.; O. Rosado E.
21549,PRESERVED_SPECIMEN,Berberis volcania,10947,GBIF,,Manuel Vargas,,16.799444,-92.661389,Laguna Petej,1988.0,1,1,1,,WGS84,2019,C. Sántiz R.
21968,PRESERVED_SPECIMEN,Berberis volcania,00247056,GBIF,,Manuel Vargas,,16.848540517137337,-92.62494151064095,"Chiotik, San Juán Chamula",1973.0,1,1,1,,WGS84,2019,D. E. Breedlove; F. S. Kawahara
21969,PRESERVED_SPECIMEN,Berberis volcania,00247057,GBIF,,Manuel Vargas,,16.728493200573197,-92.69944295250562,About 5 mi W of San Cristóbal de las Casas,1965.0,1,1,1,,WGS84,2019,D. E. Breedlove; F. S. Kawahara
21970,PRESERVED_SPECIMEN,Berberis volcania,00247055,GBIF,,Manuel Vargas,,16.79826201897678,-92.60715995302671,"Sak Tzu', San Juán Chamula",1988.0,1,1,1,,WGS84,2019,C. Santíz R.
24212,PRESERVED_SPECIMEN,Berberis volcania,45084,GBIF,,Manuel Vargas,,9.5,-83.51,"P. N. Chirripó Open paramo formation with stands of Chusquea bamboo 1-2.5 m tall on slopes and in the valley, short grasses and very short (30 cm). Shrubs on the exposed ridges. Valle de los Conejos (upper Río Talari) and trails to cerro Chirripó and the",1970.0,1,1,1,,WGS84,2019,"Burger, William"
24213,PRESERVED_SPECIMEN,Berberis volcania,55795,GBIF,,Manuel Vargas,,9.45,-83.51,P. N. Chirripó Open paramo formation with stands of Chusquea bamboo 1-2.5 m tall and areas of short burned forest and original forest 5-15 m tall in protected sites. Between 3250 and 3450 m along the trail to the Valle de Los Leones and in the lower part,1971.0,1,1,1,,WGS84,2019,"Burger, William"
24215,PRESERVED_SPECIMEN,Berberis volcania,99018,GBIF,,Manuel Vargas,,9.55,-83.72,R.F. Los Santos Direct line from Hotel La Georgina to Cerro Frío of the Cerro Buenavista complex (Cerro de la Muerte) area with television and radio towers.,1983.0,1,1,1,,WGS84,2019,"Davidse, Gerrit"
24278,PRESERVED_SPECIMEN,Berberis volcania,215615,GBIF,,Manuel Vargas,,9.46,-83.49,P. N. Chirripó Cordillera de Talamanca. Páramo en el sendero al Valle de los Conejos.,1996.0,1,1,1,,WGS84,2019,"Alfaro, Evelio"
24279,PRESERVED_SPECIMEN,Berberis volcania,215903,GBIF,,Manuel Vargas,,9.47,-83.48,"P. N. Chirripó Laguna Ditkebi. Cabeceras Río Ditkebi, páramos y áreas inundadas.",1996.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
24289,PRESERVED_SPECIMEN,Berberis volcania,230895,GBIF,,Manuel Vargas,,9.55,-83.75,R. F. Los Santos Cerro Buenavista.  Alrededores de las torres.,1998.0,1,1,1,,WGS84,2019,"Vargas, Luis Diego"
26951,HUMAN_OBSERVATION,Berberis volcania,8946849,GBIF,,Manuel Vargas,,16.664645999999998,-92.588948,,2015.0,1,1,1,,WGS84,2019,Neptalí Ramírez Marcial
29941,PRESERVED_SPECIMEN,Berberis volcania,267314,GBIF,187,Manuel Vargas,,16.778889000000003,-92.651944,Laguna Petej.,1995.0,1,1,1,,WGS84,2019,"Martinez I., M.; et al"
29947,PRESERVED_SPECIMEN,Berberis volcania,267317,GBIF,35,Manuel Vargas,,16.828332999999997,-92.715,Tsotom tetic.,1993.0,1,1,1,,WGS84,2019,"de J. Ruiz D., M.; et al"
33693,PRESERVED_SPECIMEN,Berberis volcania,,GBIF,50131,Manuel Vargas,,15.5589,-91.5006,"Sierra de los Cuchumatanes: summit, between Tojquiá and Caxín bluff",1942.0,1,1,1,,WGS84,2019,J. A. Steyermark
34154,PRESERVED_SPECIMEN,Berberis volcania,,GBIF,48266,Manuel Vargas,,15.4956,-91.4142,Sierra de los Cuchumatanes: near Tunimá,1942.0,1,1,1,,WGS84,2019,J. A. Steyermark
34257,PRESERVED_SPECIMEN,Berberis volcania,,GBIF,50169,Manuel Vargas,,15.5589,-91.5006,"Sierra de los Cuchumatanes: summit, between Tojquiá and Caxín bluff",1942.0,1,1,1,,WGS84,2019,J. A. Steyermark
35124,PRESERVED_SPECIMEN,Berberis volcania,BM000755542,GBIF,21967,Manuel Vargas,,15.519353,-91.544747,Nearest Named Place: Sierra Cuchumatanes,1962.0,1,1,1,,WGS84,2019,"Collaboration; L.O. Williams, A. Molina R. & T.P. Williams"
35137,PRESERVED_SPECIMEN,Berberis volcania,BM000755538,GBIF,,Manuel Vargas,,9.5,-83.516667,Valle de los Conejos (upper Río Talari) and trails to Cerro Chirripó and the Valle de Los Lagos,1970.0,1,1,1,,WGS84,2019,Collaboration; W.C. Burger & R.L. Liesner
35191,PRESERVED_SPECIMEN,Berberis volcania,BM000755539,GBIF,1171,Manuel Vargas,,9.463628,-83.496486,Limón; Nearest Named Place: Chirripo National Park,1983.0,1,1,1,,WGS84,2019,"Nancy C. Garwood, Mary Gibby, Rachel J. Hampshire & Chris J. Humphries"
39121,PRESERVED_SPECIMEN,Berberis volcania,100600906,GBIF,Morales Quirós 8571,Manuel Vargas,,9.566675,-83.750003,"R.F. Los Santos.  Cuenca del Savegre.  Cerro de la Muerte, Cerro Asunción.  O.T.S. course.",2002.0,1,1,1,,WGS84,2019,J. F. Morales
39164,PRESERVED_SPECIMEN,Berberis volcania,BM000755541,GBIF,90,Manuel Vargas,,9.5667,-83.75,Cartago; Cerro de la Muerte,1966.0,1,1,1,,WGS84,2019,"S. Mori, R. Anderson"
39190,PRESERVED_SPECIMEN,Berberis volcania,BM000755540,GBIF,16473,Manuel Vargas,,15.61,-91.544,"Nearest Named Place: Sierra Cuchumatanes, between Paquix and San Miguel",1966.0,1,1,1,,WGS84,2019,"Collaboration; A. Molina R., W.C. Burger, B. Wallenta"
39514,PRESERVED_SPECIMEN,Berberis volcania,141704,GBIF,8296,Manuel Vargas,,9.45,-83.516667,Between 3250 and 3450 meters along the trail to the Valle de los Leones and in the lower part of the Valle de los Conejos along the upper Rio Talari.,1971.0,1,1,1,,WGS84,2019,William C. Burger | Luis Gómez
43088,MATERIAL_SAMPLE,Berberis volcania,INB0001509788,GBIF,,Manuel Vargas,,9.27,-83.29,"La Amistad Pacifico, Perez Zeledon, Paramo en el Sendero al Valle de los Conejos.",1996.0,1,1,1,,WGS84,2019,"Alfaro, Evelio 411"
45347,PRESERVED_SPECIMEN,Berberis volcania,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.795,-92.666111,"Laguna Petej, mpio. Chamula",1988.0,1,1,1,,WGS84,2019,C. Santíz Ruíz
45349,PRESERVED_SPECIMEN,Berberis volcania,NO DISPONIBLE,GBIF,,Manuel Vargas,,17.5875,-96.525,"The right of hwy 175, just beyond first major switchbach on descendent from Mirador Cerro Humo, in quebrada of Cerro Pelón",1993.0,1,1,1,,WGS84,2019,B. Boyle; D. Massart
45396,PRESERVED_SPECIMEN,Berberis volcania,NO DISPONIBLE,GBIF,,Manuel Vargas,,14.375,-90.6,Volcán Pacaya,1972.0,1,1,1,,WGS84,2019,A. Molina R.; Albertina R. Molina
45397,PRESERVED_SPECIMEN,Berberis volcania,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.782778,-92.68305600000001,Buttresses of Chamula Church,1973.0,1,1,1,,WGS84,2019,Breedlove
45398,PRESERVED_SPECIMEN,Berberis volcania,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.763610999999997,-92.713611,Valley floor Zinacantan,1966.0,1,1,1,,WGS84,2019,R. M. Laughlin
45399,PRESERVED_SPECIMEN,Berberis volcania,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.685833,-92.52166700000001,"Southwest of Mexican Highway 190 near Rancho Nuevo, 9 miles southeast of San Cristóbal de las Casas",1965.0,1,1,1,,WGS84,2019,Breedlove
48318,PRESERVED_SPECIMEN,Berberis volcania,1100529,GBIF,Davidse 1552,Manuel Vargas,,9.474160000000001,-83.49444,"Cerro Chirripó, area between Refugio and lake at head of Río Ditkebi, páramo of Chusquea subtessellata and perennial bunch grasses and various shrubs",1969.0,1,1,1,,WGS84,2019,Gerrit Davidse|Richard W. Pohl
49056,PRESERVED_SPECIMEN,Berberis volcania,1256842,GBIF,Morales Quirós 5111,Manuel Vargas,,9.47,-83.48,"Parque Nacional Chirripó, Laguna Ditkebi, cabeceras Río Ditkebi, Páramos y areas inundadas.",1996.0,1,1,1,,WGS84,2019,J. F. Morales
49246,PRESERVED_SPECIMEN,Berberis volcania,1261128,GBIF,Gamboa Romero 479,Manuel Vargas,,9.46,-83.49,"Parque Nacional Chirripó, Cordillera de Talamanca, Sendero Valle Los Conejos y Cerro Chirripó.",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.|Evelio Alfaro|Annia Picado
