,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
401,PRESERVED_SPECIMEN,Blakea chlorantha,1523408,GBIF,,Manuel Vargas,,10.934649,-85.457633,"A.C.G, Liberia, Pque Nal Guanacaste, Volcán Cacao",1997.0,1,1,1,,WGS84,2019,Jose González; Manuel Angel Zumbado
402,PRESERVED_SPECIMEN,Blakea chlorantha,1523407,GBIF,,Manuel Vargas,,10.934649,-85.457633,"A.C.G, Liberia, Pque Nal Guanacaste, Volcán Cacao",1997.0,1,1,1,,WGS84,2019,Jose González; Manuel Angel Zumbado
403,PRESERVED_SPECIMEN,Blakea chlorantha,1523406,GBIF,,Manuel Vargas,,10.934649,-85.457633,"A.C.G, Liberia, Pque Nal Guanacaste, Volcán Cacao",1997.0,1,1,1,,WGS84,2019,Jose González; Manuel Angel Zumbado
987,PRESERVED_SPECIMEN,Blakea chlorantha,1512293,GBIF,,Manuel Vargas,,10.917222,-85.463889,"Volcan Cacao, sendero hasta la cima del volcan.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1294,PRESERVED_SPECIMEN,Blakea chlorantha,1556705,GBIF,,Manuel Vargas,,10.930556,-85.469444,"Volcan Cacao, Estacion Mengo, fila con vegetacion dominada por Drimys, Podocarpus, Clusia y Weinmannia.",1989.0,1,1,1,,WGS84,2019,Isidro Chacón
1315,PRESERVED_SPECIMEN,Blakea chlorantha,1557055,GBIF,,Manuel Vargas,,10.3,-84.783334,Ventana-Sendero Pantano-Valle.,1990.0,1,1,1,,WGS84,2019,Erick Bello
1675,PRESERVED_SPECIMEN,Blakea chlorantha,1562062,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1990.0,1,1,1,,WGS84,2019,Carlos Chavez
4992,PRESERVED_SPECIMEN,Blakea chlorantha,2922177,GBIF,,Manuel Vargas,,10.966667,-85.438889,"Estacion Pitilla, cuenca superior de Rio Orosi.",1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
5492,PRESERVED_SPECIMEN,Blakea chlorantha,2915939,GBIF,,Manuel Vargas,,10.283333,-84.766667,"Cerro Ojo de Agua, Monteverde. Bosque pluvial montano bajo.",1987.0,1,1,1,,WGS84,2019,William Haber
5509,PRESERVED_SPECIMEN,Blakea chlorantha,2916614,GBIF,,Manuel Vargas,,10.316667,-84.783333,"Rio Cano Negro, Monteverde. Cerro Negro y Cabeceras, Rio San Gerardo",1987.0,1,1,1,,WGS84,2019,William Haber
5510,PRESERVED_SPECIMEN,Blakea chlorantha,2916631,GBIF,,Manuel Vargas,,10.3,-84.783334,"Cerro Chomogo hasta El Valle, Division Continental.",1987.0,1,1,1,,WGS84,2019,William Haber
6704,PRESERVED_SPECIMEN,Blakea chlorantha,3436731,GBIF,,Manuel Vargas,,10.180556,-84.344444,Faldas del Cerro Chayote.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto
6705,PRESERVED_SPECIMEN,Blakea chlorantha,3436729,GBIF,,Manuel Vargas,,10.180556,-84.344444,Faldas del Cerro Chayote.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto
6706,PRESERVED_SPECIMEN,Blakea chlorantha,3436732,GBIF,,Manuel Vargas,,10.180556,-84.344444,Faldas del Cerro Chayote.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto
6707,PRESERVED_SPECIMEN,Blakea chlorantha,3436730,GBIF,,Manuel Vargas,,10.180556,-84.344444,Faldas del Cerro Chayote.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto
7824,PRESERVED_SPECIMEN,Blakea chlorantha,3892303,GBIF,,Manuel Vargas,,10.283333,-84.783333,"San Luis, Monteverde. Rio San Luis valley. Premontane wet forest.",2002.0,1,1,1,,WGS84,2019,Darin Penneys
8516,PRESERVED_SPECIMEN,Blakea chlorantha,3935983,GBIF,,Manuel Vargas,,10.93269,-85.45872,"P. N. Guanacaste, sector Cacao.",2005.0,1,1,1,,WGS84,2019,Brad Boyle
8517,PRESERVED_SPECIMEN,Blakea chlorantha,3935986,GBIF,,Manuel Vargas,,10.93269,-85.45872,"P. N. Guanacaste, sector Cacao.",2005.0,1,1,1,,WGS84,2019,Brad Boyle
8518,PRESERVED_SPECIMEN,Blakea chlorantha,3935984,GBIF,,Manuel Vargas,,10.93269,-85.45872,"P. N. Guanacaste, sector Cacao.",2005.0,1,1,1,,WGS84,2019,Brad Boyle
