,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1092,PRESERVED_SPECIMEN,Bourreria grandicalyx,1514145,GBIF,,Manuel Vargas,,8.722222,-83.44166700000001,Los Mogos; Bahia Chal.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2487,PRESERVED_SPECIMEN,Bourreria grandicalyx,1595745,GBIF,,Manuel Vargas,,8.583333,-83.5,"Aguas arriba de Rio Rincon, camino al Cerro de Oro.",1990.0,1,1,1,,WGS84,2019,Abelardo Chacon
2489,PRESERVED_SPECIMEN,Bourreria grandicalyx,1595768,GBIF,,Manuel Vargas,,8.684722,-83.563889,Rancho Quemado. Eston Forestal. Finca Eloy Cubero.,1991.0,1,1,1,,WGS84,2019,Juan Marin
2836,PRESERVED_SPECIMEN,Bourreria grandicalyx,1601947,GBIF,,Manuel Vargas,,8.7,-83.51666800000001,Aguabuena sur.,1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2842,PRESERVED_SPECIMEN,Bourreria grandicalyx,1601948,GBIF,,Manuel Vargas,,8.7,-83.51666800000001,"Aguabuena, alrededores.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
7682,PRESERVED_SPECIMEN,Bourreria grandicalyx,3866703,GBIF,,Manuel Vargas,,8.842778,-83.476111,Sendero por el acueducto de Sierpe.,2003.0,1,1,1,,WGS84,2019,Jose González
13444,UNKNOWN,Bourreria grandicalyx,1210304,GBIF,,Manuel Vargas,,8.583333,-83.5,"Parque Nacional Corcovado Aguas arriba de Río Rincón, camino al Cerro do Oro",1990.0,1,1,1,,WGS84,2019,Abelardo Chacón
17307,PRESERVED_SPECIMEN,Bourreria grandicalyx,436331,GBIF,Chacón Gamboa 950,Manuel Vargas,,8.58,-83.5,"Parque Nacional Corcovado Aguas arriba de Río Rincón, camino al Cerro de Oro.",1990.0,1,1,1,,WGS84,2019,Abelardo Chacón
17316,PRESERVED_SPECIMEN,Bourreria grandicalyx,437619,GBIF,Marín Alpízar 120,Manuel Vargas,,8.68,-83.56,Rancho Quemado. Estón Forestal. Finca Eloy Cubero.,1991.0,1,1,1,,WGS84,2019,Juan Marín
17322,PRESERVED_SPECIMEN,Bourreria grandicalyx,438850,GBIF,Aguilar Fernández 1268,Manuel Vargas,,8.7,-83.516667,R.F. Golfo Dulce.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
22476,PRESERVED_SPECIMEN,Bourreria grandicalyx,175155,GBIF,,Manuel Vargas,,8.71,-83.51,"Upper Aguabuena, 4.5 km W of Rincón. Hilly terrain on the slope of 500 m high ridge. Recently cleared pasture on farm of Marvin Barrantes.",1993.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
