,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1768,PRESERVED_SPECIMEN,Brunellia standleyana,1564981,GBIF,,Manuel Vargas,,9.7,-83.783333,Along road from bridge over Rio Grande Orosi (near jct. with R. Villegas) to Rio Humo.,1994.0,1,1,1,,WGS84,2019,Michael H. Grayum
1771,PRESERVED_SPECIMEN,Brunellia standleyana,1565211,GBIF,,Manuel Vargas,,10.316667,-84.716668,Rio Penas Blancas. Finca de Eladio Cruz.,1989.0,1,1,1,,WGS84,2019,Erick Bello
2407,PRESERVED_SPECIMEN,Brunellia standleyana,1593418,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,1994.0,1,1,1,,WGS84,2019,Zobeida Fuentes
3087,PRESERVED_SPECIMEN,Brunellia standleyana,1578939,GBIF,,Manuel Vargas,,10.216667,-84.588889,Sendero Madre Piedra.,1993.0,1,1,1,,WGS84,2019,Kattia Martinez
6095,PRESERVED_SPECIMEN,Brunellia standleyana,3368226,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6096,PRESERVED_SPECIMEN,Brunellia standleyana,3368223,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6098,PRESERVED_SPECIMEN,Brunellia standleyana,3368224,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6101,PRESERVED_SPECIMEN,Brunellia standleyana,3368225,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
8622,PRESERVED_SPECIMEN,Brunellia standleyana,3941042,GBIF,,Manuel Vargas,,10.236667,-84.11416700000001,"Virgen del Socorro, Finca Oscar Murillo.",2005.0,1,1,1,,WGS84,2019,Armando Soto; Frank  Alonso González Brenes
8626,PRESERVED_SPECIMEN,Brunellia standleyana,3941041,GBIF,,Manuel Vargas,,10.236667,-84.11416700000001,"Virgen del Socorro, Finca Oscar Murillo.",2005.0,1,1,1,,WGS84,2019,Armando Soto; Frank  Alonso González Brenes
9094,PRESERVED_SPECIMEN,Brunellia standleyana,4026991,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Jose González
9141,PRESERVED_SPECIMEN,Brunellia standleyana,4001087,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
9142,PRESERVED_SPECIMEN,Brunellia standleyana,4001085,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
9143,PRESERVED_SPECIMEN,Brunellia standleyana,4001088,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
9144,PRESERVED_SPECIMEN,Brunellia standleyana,4001086,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
9145,PRESERVED_SPECIMEN,Brunellia standleyana,4001089,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
9146,PRESERVED_SPECIMEN,Brunellia standleyana,4001084,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
14793,PRESERVED_SPECIMEN,Brunellia standleyana,2797573,GBIF,Acosta Vargas 384,Manuel Vargas,,10.061110000000001,-83.98611,"Parque Nacional Braulio Carrillo, Cuenca del Sarapiquí, camino al Bajo de la Hondura",2000.0,1,1,1,,WGS84,2019,Luis Acosta|Víctor H. Ramírez
17981,PRESERVED_SPECIMEN,Brunellia standleyana,64186,GBIF,Bello Carranza 1527,Manuel Vargas,,10.31,-84.71,"Reserva Biológica Monteverde, Río Peñas Blancas. Finca de Eladio Cruz.",1989.0,1,1,1,,WGS84,2019,Erick Bello C.
17986,PRESERVED_SPECIMEN,Brunellia standleyana,64254,GBIF,Grayum 3750,Manuel Vargas,,9.7,-83.8,"Along road from ridge over Río Grande de Orosi (near junction with Río Villegas) to Río Humo, Cordillera de Talamanca",1984.0,1,1,1,,WGS84,2019,Michael H. Grayum|Brian Jacobs|Pamela J. Sleeper
17994,PRESERVED_SPECIMEN,Brunellia standleyana,64342,GBIF,Liesner 15625,Manuel Vargas,,10.15,-84.58,"15 km northwest of San Ramón by air, Cerro Azahar, headwaters of Río San Pedro",1983.0,1,1,1,,WGS84,2019,Ronald L. Liesner|Emmet J. Judziewicz|Jorge Gómez-Laurito|Blanca Pérez G.|Alonso Carvajal U.
17995,PRESERVED_SPECIMEN,Brunellia standleyana,64349,GBIF,Liesner 14705,Manuel Vargas,,10.21,-84.53,"17-20 km north-northwest of San Ramón by road on way to San Lorenzo, 4 to 7 km north of Balsa,",1983.0,1,1,1,,WGS84,2019,Ronald L. Liesner|Emmet J. Judziewicz
18866,PRESERVED_SPECIMEN,Brunellia standleyana,U.1236500,GBIF,,Manuel Vargas,,10.155,-84.575,"Prov. Alajuela. 15 km NW of San Ramon by air. Cerro Azahar, headwaters of Rio San Pedro.",1983.0,1,1,1,,WGS84,2019,Liesner RL; et al.
19266,PRESERVED_SPECIMEN,Brunellia standleyana,MG137997,GBIF,,Manuel Vargas,,10.216667,-84.533333,Provincia Alajeula,1983.0,1,1,1,,WGS84,2019,"Liesner, R.L.; Judziewicz, E.J."
22452,PRESERVED_SPECIMEN,Brunellia standleyana,100314,GBIF,,Manuel Vargas,,10.21,-84.53,"17-20 km NNW of San Ramón by road on way to San Lorenzo, 4 to 7 km N of Balsa. Disturbed Primary forest. Ca. 750 m alt.",1983.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
22453,PRESERVED_SPECIMEN,Brunellia standleyana,100563,GBIF,,Manuel Vargas,,10.15,-84.56,"15 km NW of San Ramón by air. Cerro Azahar, headwaters of Río San Pedro.By road 9 km NW os San Ramón to Piedades Norte, then 3 more km NW to La PAz, then left on jeep road 1.7 cluster od houses, then left again on jeep road 3-5 km.",1983.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
22463,PRESERVED_SPECIMEN,Brunellia standleyana,154659,GBIF,,Manuel Vargas,,9.82,-83.76,P.N. Tapantí Sendero Pava.,1991.0,1,1,1,,WGS84,2019,"Delprete, Piero"
