,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
43361,PRESERVED_SPECIMEN,Bunchosia lanieri,100907090,GBIF,Standley 55815,Manuel Vargas,,15.711110999999999,-87.457778,"Lancetilla Valley, near Tela.",1927.0,1,1,1,,WGS84,2019,Paul C. Standley
43362,PRESERVED_SPECIMEN,Bunchosia lanieri,100907093,GBIF,Watson 34,Manuel Vargas,,15.733332999999998,-88.6,"Eastern portions of Vera Paz and Chiquimula, nera Yzabal (Izabal), camino real",1885.0,1,1,1,,WGS84,2019,Sereno Watson
43363,PRESERVED_SPECIMEN,Bunchosia lanieri,100907091,GBIF,Standley 54725,Manuel Vargas,,15.780555999999999,-87.4575,Vicinity of Tela,1927.0,1,1,1,,WGS84,2019,Paul C. Standley
43364,PRESERVED_SPECIMEN,Bunchosia lanieri,100907094,GBIF,Steyermark 39085,Manuel Vargas,,15.385832999999998,-89.023333,"Along trail beginning from mile 33.23 between Dartmouth and Morales towards Lago Izabal, Montaña del Mico",1940.0,1,1,1,,WGS84,2019,Julian A. Steyermark
43365,PRESERVED_SPECIMEN,Bunchosia lanieri,100907092,GBIF,Hazlett 3013,Manuel Vargas,,15.733332999999998,-87.45,Lancetilla Forest Reserve,1979.0,1,1,1,,WGS84,2019,Donald L. Hazlett
43366,PRESERVED_SPECIMEN,Bunchosia lanieri,100907095,GBIF,Standley 73146,Manuel Vargas,,15.726110999999998,-88.593889,Near Puerto Barrios,1939.0,1,1,1,,WGS84,2019,Paul C. Standley
47996,PRESERVED_SPECIMEN,Bunchosia lanieri,100803422,GBIF,Harmon 5192,Manuel Vargas,,15.769167000000001,-88.0375,Mixed tropical forest on low hills above beach. 1 km southwest of Omoa.,1970.0,1,1,1,,WGS84,2019,William E. Harmon|José A. Fuentes
50494,PRESERVED_SPECIMEN,Bunchosia lanieri,1398422,GBIF,Marshall 385,Manuel Vargas,,15.706389000000001,-88.649167,"Santo Tomás de Castilla, approx. 5 km from town, La Quebrada",1988.0,1,1,1,,WGS84,2019,N.T. Marshall|Juan José Castillo Mont|E.W. Marshall
50495,PRESERVED_SPECIMEN,Bunchosia lanieri,1398424,GBIF,Hazlett 2968,Manuel Vargas,,15.733332999999998,-87.45,Lancetilla Forest Reserve,1978.0,1,1,1,,WGS84,2019,Donald L. Hazlett
50496,PRESERVED_SPECIMEN,Bunchosia lanieri,1398552,GBIF,Schipp 1358,Manuel Vargas,,16.0,-89.116667,Temash river,1935.0,1,1,1,,WGS84,2019,William A. Schipp
53049,PRESERVED_SPECIMEN,Bunchosia lanieri,1999312,GBIF,Contreras 11174,Manuel Vargas,,15.523056,-89.335278,El Estor. In high forest,1972.0,1,1,1,,WGS84,2019,Elias Contreras
