,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1127,PRESERVED_SPECIMEN,Bunchosia mesoamericana,1515699,GBIF,,Manuel Vargas,,10.963333,-85.496944,Estacion Orosi. Camino a Areas de Petroglifos.,1996.0,1,1,1,,WGS84,2019,Alvaro Fernandez
2629,PRESERVED_SPECIMEN,Bunchosia mesoamericana,1596750,GBIF,,Manuel Vargas,,10.383333,-85.383333,Sendero Hato Viejo.,1992.0,1,1,1,,WGS84,2019,Ulises Chavarría
2656,PRESERVED_SPECIMEN,Bunchosia mesoamericana,1597324,GBIF,,Manuel Vargas,,10.833333,-85.616667,"Estacion Santa Rosa, area administrativa Del 3 al 29 de julio.",1992.0,1,1,1,,WGS84,2019,Roberto Espinoza
6669,PRESERVED_SPECIMEN,Bunchosia mesoamericana,3433776,GBIF,,Manuel Vargas,,10.334722,-85.259722,Sector Palo Verde y Lomas Barbudal.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Geovanny Sancho ; Gerardo Soto
6670,PRESERVED_SPECIMEN,Bunchosia mesoamericana,3433777,GBIF,,Manuel Vargas,,10.334722,-85.259722,Sector Palo Verde y Lomas Barbudal.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Geovanny Sancho ; Gerardo Soto
7809,PRESERVED_SPECIMEN,Bunchosia mesoamericana,3891790,GBIF,,Manuel Vargas,,10.886744,-85.886455,Península de Santa Elena,2004.0,1,1,1,,WGS84,2019,Michael H. Grayum
13017,PRESERVED_SPECIMEN,Bunchosia mesoamericana,3517879,GBIF,12162,Manuel Vargas,,10.88,-85.88,"La Cruz Canton. S slope of Fila La Guitarra above Sitio Santa Rosa (opposite Isla Pelada), Península de Santa Elena.",2004.0,1,1,1,,WGS84,2019,M. H. Grayum
13078,PRESERVED_SPECIMEN,Bunchosia mesoamericana,3517882,GBIF,12162,Manuel Vargas,,10.88,-85.88,"La Cruz Canton. S slope of Fila La Guitarra above Sitio Santa Rosa (opposite Isla Pelada), Península de Santa Elena.",2004.0,1,1,1,,WGS84,2019,M. H. Grayum
15880,PRESERVED_SPECIMEN,Bunchosia mesoamericana,3153624,GBIF,Acosta Vargas 2602,Manuel Vargas,,10.334722,-85.259722,"P.N. Palo Verde.  Cuenca del Tempisque.  Del puesto Catalina hasta Cerro Pelón, a orilla de sendero.",2000.0,1,1,1,,WGS84,2019,Luis Acosta
17400,PRESERVED_SPECIMEN,Bunchosia mesoamericana,448043,GBIF,Gentry 71473,Manuel Vargas,,10.533333,-85.3,"Paloverde, OTS Field Station, 8 km W of Bagaces. Transect 3.",1990.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Rodolfo Dirzo|Lindsay Woodruff|Brad Boyle
