,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1162,PRESERVED_SPECIMEN,Bunchosia ternata,1516743,GBIF,,Manuel Vargas,,10.3,-84.783333,Vicinity of Finca Penas Blancas. E slope of Cerro Centinelas.,1990.0,1,1,1,,WGS84,2019,William Anderson
2452,PRESERVED_SPECIMEN,Bunchosia ternata,1594628,GBIF,,Manuel Vargas,,9.755556,-83.783334,Sector Dos Amigos.,1995.0,1,1,1,,WGS84,2019,Gerardo Mora
2769,PRESERVED_SPECIMEN,Bunchosia ternata,1599364,GBIF,,Manuel Vargas,,9.716667,-83.780556,"Near and along crest of ridge S of Alto Patillos (and a continuation of the latter), ca. 6 km SE of Tanpanti.",1986.0,1,1,1,,WGS84,2019,Michael H. Grayum
2772,PRESERVED_SPECIMEN,Bunchosia ternata,1599369,GBIF,,Manuel Vargas,,10.216667,-84.083333,"San Rafael, Primary forest along Rio San Rafael, Atlantic slope of Volcan Barva.",1986.0,1,1,1,,WGS84,2019,Michael H. Grayum
2943,PRESERVED_SPECIMEN,Bunchosia ternata,1604194,GBIF,,Manuel Vargas,,9.35,-83.222222,Sendero de Quebrada Kuisa a Rio Lori. Entre Ujarras a San Jose Cabecar.,1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
5297,PRESERVED_SPECIMEN,Bunchosia ternata,2909153,GBIF,,Manuel Vargas,,10.184167,-84.1075,Sendero del Transecto. Flat area immediately to left of trail ca. 50 minutes walk below refugio at 2070 m. Primary Montane Wet Forest.,1992.0,1,1,1,,WGS84,2019,Brad Boyle
5312,PRESERVED_SPECIMEN,Bunchosia ternata,2909290,GBIF,,Manuel Vargas,,10.061944,-84.017222,Estacion Zurqui. Near top of trail above station. Primary Montane Wet Forest. Transect 1750-2,1992.0,1,1,1,,WGS84,2019,Brad Boyle
5327,PRESERVED_SPECIMEN,Bunchosia ternata,2909608,GBIF,,Manuel Vargas,,10.061111,-84.016667,"Zurqui Station. Just above Los Guarumos trail, nearly at high point. Primary wet montane forest.",1993.0,1,1,1,,WGS84,2019,Brad Boyle
6551,PRESERVED_SPECIMEN,Bunchosia ternata,3425560,GBIF,,Manuel Vargas,,9.702778,-83.788889,Sector Dos Amigos. Sendero Rancho Negro.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
7984,PRESERVED_SPECIMEN,Bunchosia ternata,3932966,GBIF,,Manuel Vargas,,9.54941,-83.79952,"San Gerardo de Dota, Reserva Forestal Los Santos.",2005.0,1,1,1,,WGS84,2019,Brad Boyle
7985,PRESERVED_SPECIMEN,Bunchosia ternata,3932965,GBIF,,Manuel Vargas,,9.54941,-83.79952,"San Gerardo de Dota, Reserva Forestal Los Santos.",2005.0,1,1,1,,WGS84,2019,Brad Boyle
7987,PRESERVED_SPECIMEN,Bunchosia ternata,3932964,GBIF,,Manuel Vargas,,9.54941,-83.79952,"San Gerardo de Dota, Reserva Forestal Los Santos.",2005.0,1,1,1,,WGS84,2019,Brad Boyle
7989,PRESERVED_SPECIMEN,Bunchosia ternata,3932967,GBIF,,Manuel Vargas,,9.54941,-83.79952,"San Gerardo de Dota, Reserva Forestal Los Santos.",2005.0,1,1,1,,WGS84,2019,Brad Boyle
8172,PRESERVED_SPECIMEN,Bunchosia ternata,3908248,GBIF,,Manuel Vargas,,9.755556,-83.783335,Estacion Tapanti.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jimena Larraguivel
9507,PRESERVED_SPECIMEN,Bunchosia ternata,4076323,GBIF,,Manuel Vargas,,9.381944,-83.236111,"Queb. Kuisa, de union R. Lori hasta el Sendero de Ujarras a San Jose Cabecar.",2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro
9508,PRESERVED_SPECIMEN,Bunchosia ternata,4076320,GBIF,,Manuel Vargas,,9.381944,-83.236111,"Queb. Kuisa, de union R. Lori hasta el Sendero de Ujarras a San Jose Cabecar.",2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro
9509,PRESERVED_SPECIMEN,Bunchosia ternata,4076324,GBIF,,Manuel Vargas,,9.381944,-83.236111,"Queb. Kuisa, de union R. Lori hasta el Sendero de Ujarras a San Jose Cabecar.",2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro
9511,PRESERVED_SPECIMEN,Bunchosia ternata,4076321,GBIF,,Manuel Vargas,,9.381944,-83.236111,"Queb. Kuisa, de union R. Lori hasta el Sendero de Ujarras a San Jose Cabecar.",2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro
9514,PRESERVED_SPECIMEN,Bunchosia ternata,4076322,GBIF,,Manuel Vargas,,9.381944,-83.236111,"Queb. Kuisa, de union R. Lori hasta el Sendero de Ujarras a San Jose Cabecar.",2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; A. K. Monro
9732,PRESERVED_SPECIMEN,Bunchosia ternata,4087652,GBIF,,Manuel Vargas,,9.417722,-83.200972,"Parque Internacional La Amistad, camp 3: river W of camp.Parque Internacional La Amistad, camp 3: wind/storm disturbed forest.",2007.0,1,1,1,,WGS84,2019,A. K. Monro; Daniel Santamaría
