,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1996,PRESERVED_SPECIMEN,Bursera glabra,1572412,GBIF,,Manuel Vargas,,10.35,-85.35,Sendero Guayacan. Cactus.,1994.0,1,1,1,,WGS84,2019,Ulises Chavarría
2819,PRESERVED_SPECIMEN,Bursera glabra,1601718,GBIF,,Manuel Vargas,,10.554167,-85.713889,"Sardinal, Playas del Coco, Cerro La Flor suroeste de El Coco.",1995.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
2826,PRESERVED_SPECIMEN,Bursera glabra,1601757,GBIF,,Manuel Vargas,,10.9,-85.730556,Murcielago; por el Rio Murcielago.,1994.0,1,1,1,,WGS84,2019,Barry Hammel
3285,PRESERVED_SPECIMEN,Bursera glabra,1583352,GBIF,,Manuel Vargas,,10.35,-85.35,"Estacion Palo Verde, Sendero Guayacan, rumbo a la Estacion de la OET.",1993.0,1,1,1,,WGS84,2019,Alvaro Fernandez
7639,PRESERVED_SPECIMEN,Bursera glabra,3833868,GBIF,,Manuel Vargas,,10.350966,-85.340024,Cerro Guayacán,2000.0,1,1,1,,WGS84,2019,L. Acosta; Gerardo Soto
7797,PRESERVED_SPECIMEN,Bursera glabra,3890123,GBIF,,Manuel Vargas,,10.858333,-85.916667,Islas Murcielago. Isla San Jose.,2003.0,1,1,1,,WGS84,2019,Michael H. Grayum
7798,PRESERVED_SPECIMEN,Bursera glabra,3890258,GBIF,,Manuel Vargas,,10.916667,-85.9,"Isla Los Negritos, off W coast of Península de Santa Elena.",2003.0,1,1,1,,WGS84,2019,Michael H. Grayum; Adrián Guadamuz ; J. Cortés
7807,PRESERVED_SPECIMEN,Bursera glabra,3891570,GBIF,,Manuel Vargas,,10.858333,-85.789167,"Along road in NE portion of Sitio Potrero Grande, between Río Potrero Grande and Río Boquerones, Península de Santa Elena.",2004.0,1,1,1,,WGS84,2019,Michael H. Grayum
8067,PRESERVED_SPECIMEN,Bursera glabra,3905772,GBIF,,Manuel Vargas,,10.265082000000001,-85.531323,"Guaitil, Santa Cruz.",2004.0,1,1,1,,WGS84,2019,Luis González; Alfonso Garita
8068,PRESERVED_SPECIMEN,Bursera glabra,3905773,GBIF,,Manuel Vargas,,10.265082000000001,-85.531323,"Guaitil, Santa Cruz.",2004.0,1,1,1,,WGS84,2019,Luis González; Alfonso Garita
8069,PRESERVED_SPECIMEN,Bursera glabra,3905771,GBIF,,Manuel Vargas,,10.265082000000001,-85.531323,"Guaitil, Santa Cruz.",2004.0,1,1,1,,WGS84,2019,Luis González; Alfonso Garita
8070,PRESERVED_SPECIMEN,Bursera glabra,3905770,GBIF,,Manuel Vargas,,10.265082000000001,-85.531323,"Guaitil, Santa Cruz.",2004.0,1,1,1,,WGS84,2019,Luis González; Alfonso Garita
8071,PRESERVED_SPECIMEN,Bursera glabra,3905769,GBIF,,Manuel Vargas,,10.265082000000001,-85.531323,"Guaitil, Santa Cruz.",2004.0,1,1,1,,WGS84,2019,Luis González; Alfonso Garita
8955,PRESERVED_SPECIMEN,Bursera glabra,3980862,GBIF,,Manuel Vargas,,10.858333,-85.833333,Guanacaste La Cruz  Playa Mariquita.,2004.0,1,1,1,,WGS84,2019,Michael H. Grayum
9149,PRESERVED_SPECIMEN,Bursera glabra,4001514,GBIF,,Manuel Vargas,,10.858333,-85.916667,Islas Murcielago. Isla San Jose.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Michael H. Grayum ; Gregorio Dauphin ; Maria M. Chavarría
9150,PRESERVED_SPECIMEN,Bursera glabra,4001513,GBIF,,Manuel Vargas,,10.858333,-85.916667,Islas Murcielago. Isla San Jose.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Michael H. Grayum ; Gregorio Dauphin ; Maria M. Chavarría
9153,PRESERVED_SPECIMEN,Bursera glabra,4001694,GBIF,,Manuel Vargas,,10.855899,-85.93334899999999,Isla Catalina.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
9154,PRESERVED_SPECIMEN,Bursera glabra,4001693,GBIF,,Manuel Vargas,,10.855899,-85.93334899999999,Isla Catalina.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
9155,PRESERVED_SPECIMEN,Bursera glabra,4001695,GBIF,,Manuel Vargas,,10.855899,-85.93334899999999,Isla Catalina.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
9157,PRESERVED_SPECIMEN,Bursera glabra,4001696,GBIF,,Manuel Vargas,,10.855899,-85.93334899999999,Isla Catalina.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
9176,PRESERVED_SPECIMEN,Bursera glabra,4002474,GBIF,,Manuel Vargas,,10.911111,-85.897222,Sector Playa El Gringo.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Gregorio Dauphin ; Roberto Espinoza
9178,PRESERVED_SPECIMEN,Bursera glabra,4002475,GBIF,,Manuel Vargas,,10.911111,-85.897222,Sector Playa El Gringo.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Gregorio Dauphin ; Roberto Espinoza
9371,PRESERVED_SPECIMEN,Bursera glabra,4052616,GBIF,,Manuel Vargas,,10.858333,-85.830556,"Sector Santa Elena, Playa Mariquita y Quebrada Mariquita.",2004.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
9372,PRESERVED_SPECIMEN,Bursera glabra,4052617,GBIF,,Manuel Vargas,,10.858333,-85.830556,"Sector Santa Elena, Playa Mariquita y Quebrada Mariquita.",2004.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
13030,PRESERVED_SPECIMEN,Bursera glabra,3624924,GBIF,47446,Manuel Vargas,,10.8,-75.25,Galerazamba: N tip of Bolivar. Thorn scrub forest. Transect #6.,1984.0,1,1,1,,WGS84,2019,A. H. Gentry & H. Cuadros
21416,PRESERVED_SPECIMEN,Bursera glabra,1225181,GBIF,,Manuel Vargas,,10.912222,-85.826667,"Eastern half of Isla San José, Islas Murciélago, of S coast of Península de Santa Elena",2003.0,1,1,1,,WGS84,2019,M. H. Grayum
22534,PRESERVED_SPECIMEN,Bursera glabra,180653,GBIF,,Manuel Vargas,,10.35,-85.35,"P.N. Palo Verde Valle del Tempisque. Estación Palo Verde, Sendero Guayacán rumbo a la Estación de la OET.",1993.0,1,1,1,,WGS84,2019,"Fernández, Álvaro"
22538,PRESERVED_SPECIMEN,Bursera glabra,183471,GBIF,,Manuel Vargas,,10.26,-85.54,Península de Nicoya. Faldas Cerro Peor es Nada.,1994.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
22545,PRESERVED_SPECIMEN,Bursera glabra,189626,GBIF,,Manuel Vargas,,10.35,-85.35,P.N. Palo Verde Valle del Tempisque. Sendero Guayacán. Cactus.,1994.0,1,1,1,,WGS84,2019,"Chavarría, Ulises"
22571,PRESERVED_SPECIMEN,Bursera glabra,237401,GBIF,,Manuel Vargas,,10.34,-85.34,P.N. Palo Verde Sendero hacia el Mirador. Bosque seco tropical.,2003.0,1,1,1,,WGS84,2019,"Moran, Robbin C."
26264,PRESERVED_SPECIMEN,Bursera glabra,184736,GBIF,2538,Manuel Vargas,,-2.1,-80.75,"Pequeña colina en Pacoa, 10 kilómetros al norte de San Pablo, cerca de 2 kilómetros desde la orilla.",1973.0,1,1,1,,WGS84,2019,L. Holm-Nielsen | S. Jeppesen | B. Lojtnant | B. Ollgaard
33574,PRESERVED_SPECIMEN,Bursera glabra,3206,GBIF,47446,Manuel Vargas,,10.8,-75.25,"Galerazamba, punta N de Bolívar, altitud cerca al nivel del mar",1984.0,1,1,1,,WGS84,2019,Alwyn Gentry; Hermes Cuadros
33889,PRESERVED_SPECIMEN,Bursera glabra,V0306443F,GBIF,1660,Manuel Vargas,,3.8811,-72.8667,,1928.0,1,1,1,,WGS84,2019,Bro. Elias
34090,PRESERVED_SPECIMEN,Bursera glabra,V0306439F,GBIF,53,Manuel Vargas,,3.8811,-72.8667,,1932.0,1,1,1,,WGS84,2019,A. Dugand G.
34275,PRESERVED_SPECIMEN,Bursera glabra,V0306440F,GBIF,,Manuel Vargas,,3.8811,-72.8667,,,1,1,1,,WGS84,2019,
34550,PRESERVED_SPECIMEN,Bursera glabra,V0306442F,GBIF,A.D.87,Manuel Vargas,,3.8811,-72.8667,,1932.0,1,1,1,,WGS84,2019,A. Dugand G.
34836,PRESERVED_SPECIMEN,Bursera glabra,1210593,GBIF,47446,Manuel Vargas,,10.8,-75.25,"Galerazamba, N tip of Bolivar. Altitude near sea level.",1984.0,1,1,1,,WGS84,2019,A. H. Gentry
36409,PRESERVED_SPECIMEN,Bursera glabra,888092,GBIF,Jiménez Madrigal 1679,Manuel Vargas,,10.265278,-85.540278,Península de Nicoya.  Faldas Cerro Peor es Nada.,1994.0,1,1,1,,WGS84,2019,Quírico Jiménez|J. Bravo|T. Maldonado|Rónald Chaves
36479,PRESERVED_SPECIMEN,Bursera glabra,890454,GBIF,Fernández Zúñiga 1143,Manuel Vargas,,10.35,-85.35,"P.N. Palo Verde; Valle del Tempisque. Estación Palo Verde, Sendero Guayacán, rumbo a la Estación de la OET.",1993.0,1,1,1,,WGS84,2019,Álvaro Fernández|C. Hood
36652,PRESERVED_SPECIMEN,Bursera glabra,894288,GBIF,Hammel 19592,Manuel Vargas,,10.9,-85.73,P.N. Santa Rosa; Península de Santa Elena. Murciélago; por el Río Murciélago.,1994.0,1,1,1,,WGS84,2019,Barry E. Hammel|Carolina Cano
37448,PRESERVED_SPECIMEN,Bursera glabra,U.1174260,GBIF,,Manuel Vargas,,10.8,-75.25,Galerazamba: N tip of Bolivar. Altitud near sea level. Transect #6.,1984.0,1,1,1,,WGS84,2019,Gentry AH; Cuadros H
37503,PRESERVED_SPECIMEN,Bursera glabra,1242014,GBIF,2286,Manuel Vargas,,10.5542,-85.7139,"Cantón de Carrillo.  Península de Nicoya.  Sardinal, Playas del Coco.  Cerro La Flor suroeste de El Coco.",1995.0,1,1,1,,WGS84,2019,N. A. Zamora Villalobos
38586,PRESERVED_SPECIMEN,Bursera glabra,100492218,GBIF,Morales Quirós 9541,Manuel Vargas,,10.855899,-85.93335,"Isla Catalina, desde la playa al cerro.",2003.0,1,1,1,,WGS84,2019,J. F. Morales
38605,PRESERVED_SPECIMEN,Bursera glabra,100492710,GBIF,González Arce 2986,Manuel Vargas,,10.265082000000001,-85.53132,"Guaitil, Sta Cruz.",2004.0,1,1,1,,WGS84,2019,Luis A. González
39197,PRESERVED_SPECIMEN,Bursera glabra,BM000798798,GBIF,S.N.,Manuel Vargas,,24.357535000000002,-77.194525,,,1,1,1,,WGS84,2019,Anon.
40945,PRESERVED_SPECIMEN,Bursera glabra,2346738,GBIF,Grayum 12421,Manuel Vargas,,10.85833,-85.83333,"Playa Mariquita and canyon draining thereto, Península de Santa Elena.",2004.0,1,1,1,,WGS84,2019,Michael H. Grayum
42083,PRESERVED_SPECIMEN,Bursera glabra,V0330726F,GBIF,,Manuel Vargas,,7.0758,-65.9119,,,1,1,1,,WGS84,2019,
42134,PRESERVED_SPECIMEN,Bursera glabra,V0306441F,GBIF,1034,Manuel Vargas,,3.8811,-72.8667,,1936.0,1,1,1,,WGS84,2019,A. Dugand G.
43130,MATERIAL_SAMPLE,Bursera glabra,BioBot01229,GBIF,,Manuel Vargas,,10.8,-85.641,"Area de Conservacion Guanacaste, Sector Santa Rosa, Camino A Playa Naranjo",2009.0,1,1,1,,WGS84,2019,Roberto Espinoza
43202,MATERIAL_SAMPLE,Bursera glabra,BioBot01228,GBIF,,Manuel Vargas,,10.8,-85.641,"Area de Conservacion Guanacaste, Sector Santa Rosa, Camino A Playa Naranjo",2009.0,1,1,1,,WGS84,2019,Roberto Espinoza
43214,MATERIAL_SAMPLE,Bursera glabra,BioBot01227,GBIF,,Manuel Vargas,,10.8,-85.641,"Area de Conservacion Guanacaste, Sector Santa Rosa, Camino A Playa Naranjo",2009.0,1,1,1,,WGS84,2019,Roberto Espinoza
43440,PRESERVED_SPECIMEN,Bursera glabra,4461664,GBIF,,Manuel Vargas,,10.761949000000001,-85.323338,"Liberia. Área de Conservación Guanacaste, Sector Península de Santa Elena, Sitio Playa Potrero Grande.",2015.0,1,1,1,,WGS84,2019,Roberto Espinoza; Ruth Franco
43441,PRESERVED_SPECIMEN,Bursera glabra,4461665,GBIF,,Manuel Vargas,,10.761949000000001,-85.323338,"Liberia. Área de Conservación Guanacaste, Sector Península de Santa Elena, Sitio Playa Potrero Grande.",2015.0,1,1,1,,WGS84,2019,Roberto Espinoza; Ruth Franco
43442,PRESERVED_SPECIMEN,Bursera glabra,4461663,GBIF,,Manuel Vargas,,10.761949000000001,-85.323338,"Liberia. Área de Conservación Guanacaste, Sector Península de Santa Elena, Sitio Playa Potrero Grande.",2015.0,1,1,1,,WGS84,2019,Roberto Espinoza; Ruth Franco
44898,PRESERVED_SPECIMEN,Bursera glabra,14075,GBIF,338,Manuel Vargas,,12.16261,-72.0944,Serranía Carpintero,1980.0,1,1,1,,WGS84,2019,Bunch P. | Arboleda O.
44899,PRESERVED_SPECIMEN,Bursera glabra,14066,GBIF,313,Manuel Vargas,,12.22413,-71.97565999999999,Bahía Portete,1980.0,1,1,1,,WGS84,2019,Bunch P. | Arboleda O.
46671,PRESERVED_SPECIMEN,Bursera glabra,1210586,GBIF,5264,Manuel Vargas,,8.45,-71.17,Road from Ejido (South of Merida) to El Morro.  Parque Nacional Sierra Nevada.  0.5 km above (N of) El Morro.,1988.0,1,1,1,,WGS84,2019,L. J. Dorr
46969,PRESERVED_SPECIMEN,Bursera glabra,1242015,GBIF,2286,Manuel Vargas,,10.5542,-85.7139,"Cantón de Carrillo.  Península de Nicoya.  Sardinal, Playas del Coco.  Cerro La Flor suroeste de El Coco.",1995.0,1,1,1,,WGS84,2019,N. A. Zamora Villalobos
