,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
291,PRESERVED_SPECIMEN,Bursera standleyana,1518779,GBIF,,Manuel Vargas,,9.680556,-84.395278,"Mastatal de Puriscal, bosque primario cerca del puente sobre el Rio Negro.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
293,PRESERVED_SPECIMEN,Bursera standleyana,1518780,GBIF,,Manuel Vargas,,9.680556,-84.395278,"Mastatal de Puriscal, bosque primario cerca del puente sobre el Rio Negro.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
294,PRESERVED_SPECIMEN,Bursera standleyana,1518781,GBIF,,Manuel Vargas,,9.680556,-84.395278,"Mastatal de Puriscal, bosque primario cerca del puente sobre el Rio Negro.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
300,PRESERVED_SPECIMEN,Bursera standleyana,1518782,GBIF,,Manuel Vargas,,9.680556,-84.395278,"Mastatal de Puriscal, bosque primario cerca del puente sobre el Rio Negro.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1416,PRESERVED_SPECIMEN,Bursera standleyana,1559584,GBIF,,Manuel Vargas,,8.697222,-83.580556,"Rancho Quemado, Peninsula de Osa.",1992.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1419,PRESERVED_SPECIMEN,Bursera standleyana,1559583,GBIF,,Manuel Vargas,,8.683333,-83.219444,"Golfito, por el camino a Rio Bonito.",1992.0,1,1,1,,WGS84,2019,Gerardo Herrera
1420,PRESERVED_SPECIMEN,Bursera standleyana,1559581,GBIF,,Manuel Vargas,,8.686111,-83.563889,"Rancho Quemado, Margen derecha del Rio Riyito.",1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
1421,PRESERVED_SPECIMEN,Bursera standleyana,1559582,GBIF,,Manuel Vargas,,9.697222,-84.391667,"Mastatal de Puriscal, bosque primario en las cabeceras del Rio Negro.",1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
3193,PRESERVED_SPECIMEN,Bursera standleyana,1581383,GBIF,,Manuel Vargas,,8.525,-83.427778,Estacion El Tigre. Alrededores entre 200 y 300 msnm,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
5015,PRESERVED_SPECIMEN,Bursera standleyana,2923493,GBIF,,Manuel Vargas,,8.683333,-83.56666700000001,Rancho Quemado.,1989.0,1,1,1,,WGS84,2019,Quirico Jiménez
5053,PRESERVED_SPECIMEN,Bursera standleyana,2924747,GBIF,,Manuel Vargas,,8.466667,-83.583338,"Sirena, Trail to El Tunel",1989.0,1,1,1,,WGS84,2019,C. Kernan
5093,PRESERVED_SPECIMEN,Bursera standleyana,2926044,GBIF,,Manuel Vargas,,9.697222,-84.395833,"Mastatal de Puriscal. Bosque primario y secundario, en parches remanentes.",1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7119,PRESERVED_SPECIMEN,Bursera standleyana,3519929,GBIF,,Manuel Vargas,,9.523611,-84.041667,"Tarraz, cerca San Isidro, sector NE, cabeceras Quebrada Gracias a Dios.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7120,PRESERVED_SPECIMEN,Bursera standleyana,3519933,GBIF,,Manuel Vargas,,9.523611,-84.041667,"Tarraz, cerca San Isidro, sector NE, cabeceras Quebrada Gracias a Dios.",2001.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
