,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1808,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1566329,GBIF,,Manuel Vargas,,10.153333,-83.945833,Sendero Botarrama. Bosque primario en las confluencias de varias quebradas innominadas tributarias de Quebrada Gonzalez.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1969,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1570981,GBIF,,Manuel Vargas,,10.283333,-84.033334,"Rara Avis, ca. 15 km al suroeste de Horquetas. Camino Platanilla, cerca de Rio Atelopus. Bosque Primario y Secundario.",1989.0,1,1,1,,WGS84,2019,Orlando Vargas
1971,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1571132,GBIF,,Manuel Vargas,,10.216667,-84.588889,"Road from Las Lagunas to Colonia Palmarena. Primary forest with Iriartea, Prestoea decurrens, Euterpe, and others.",1986.0,1,1,1,,WGS84,2019,Greg de Nevers
1991,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1572216,GBIF,,Manuel Vargas,,10.311111,-84.833889,"San Gerardo Abajo, Rio Cano Negro. Fincas Quesada y Arce.",1991.0,1,1,1,,WGS84,2019,Erick Bello
2112,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1576924,GBIF,,Manuel Vargas,,10.377778,-83.525,"Estacion Sierpe, Sendero a la laguna.",1990.0,1,1,1,,WGS84,2019,Jose Solano
3035,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1606724,GBIF,,Manuel Vargas,,10.366667,-84.783334,"Monteverde. San Gerardo Biological Station. Sendero Viejo, 500 m S of Station. Premontane rain forest.",1995.0,1,1,1,,WGS84,2019,Darin Penneys
3088,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1578952,GBIF,,Manuel Vargas,,10.316667,-84.716668,Estacion Eladio s.,1990.0,1,1,1,,WGS84,2019,Erick Bello
3089,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1578961,GBIF,,Manuel Vargas,,10.333333,-84.7,"Finca Fernando Villalobos. Quebrada Gata, Rio Penas Blancas.",1990.0,1,1,1,,WGS84,2019,Erick Bello
3319,PRESERVED_SPECIMEN,Chamaedorea deckeriana,1584022,GBIF,,Manuel Vargas,,10.155555999999999,-83.94166700000001,Estacion Quebrada Gonzalez; Sendero Botarama.,1994.0,1,1,1,,WGS84,2019,Barry Hammel
3453,PRESERVED_SPECIMEN,Chamaedorea deckeriana,2822911,GBIF,,Manuel Vargas,,10.163889,-83.938889,"Estacion Quebrada Gonzalez, Rio Sucio. Sendero Palmas.",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Luis Diego Vargas ; Mainor Andrade
3454,PRESERVED_SPECIMEN,Chamaedorea deckeriana,2822910,GBIF,,Manuel Vargas,,10.163889,-83.938889,"Estacion Quebrada Gonzalez, Rio Sucio. Sendero Palmas.",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez ; Luis Diego Vargas ; Mainor Andrade
3520,PRESERVED_SPECIMEN,Chamaedorea deckeriana,2824413,GBIF,,Manuel Vargas,,9.566667,-82.638889,San Miguel de Sixaola.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3521,PRESERVED_SPECIMEN,Chamaedorea deckeriana,2824421,GBIF,,Manuel Vargas,,9.566667,-82.638889,San Miguel de Sixaola.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
