,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1304,PRESERVED_SPECIMEN,Clidemia costaricensis,1556840,GBIF,,Manuel Vargas,,10.316667,-84.716668,"Rio Penas Blancas, Laguna de Minor Vargas.",1989.0,1,1,1,,WGS84,2019,Erick Bello
1673,PRESERVED_SPECIMEN,Clidemia costaricensis,1562087,GBIF,,Manuel Vargas,,10.35,-84.8,"San Gerardo, altos del Rio Cano Negro. Finca de Lolo Chuta.",1989.0,1,1,1,,WGS84,2019,Erick Bello
1677,PRESERVED_SPECIMEN,Clidemia costaricensis,1562086,GBIF,,Manuel Vargas,,10.3,-84.783334,Ventana-Sendero Pantano-Valle.,1990.0,1,1,1,,WGS84,2019,Erick Bello
2159,PRESERVED_SPECIMEN,Clidemia costaricensis,1535459,GBIF,,Manuel Vargas,,9.425989999999999,-83.58563000000001,Sendero a Chucuyo,1997.0,1,1,1,,WGS84,2019,Evelio Alfaro; Billen Gamboa R. ; Marianella Segura ; Annia Picado
2160,PRESERVED_SPECIMEN,Clidemia costaricensis,1535460,GBIF,,Manuel Vargas,,9.425989999999999,-83.58563000000001,Sendero a Chucuyo,1997.0,1,1,1,,WGS84,2019,Evelio Alfaro; Billen Gamboa R. ; Marianella Segura ; Annia Picado
2657,PRESERVED_SPECIMEN,Clidemia costaricensis,1597361,GBIF,,Manuel Vargas,,10.355556,-84.830556,Sendero Cano Negro,1994.0,1,1,1,,WGS84,2019,Zobeida Fuentes
2668,PRESERVED_SPECIMEN,Clidemia costaricensis,1597654,GBIF,,Manuel Vargas,,9.755556,-83.783334,Sendero Las Pavas. Estacion Tapanti.,1994.0,1,1,1,,WGS84,2019,Carolina Cano
3147,PRESERVED_SPECIMEN,Clidemia costaricensis,1580593,GBIF,,Manuel Vargas,,10.246111,-84.766667,"Cerro Ojo de Agua, Estacion Leonel Hernandez.",1993.0,1,1,1,,WGS84,2019,Erick Bello
3216,PRESERVED_SPECIMEN,Clidemia costaricensis,1581773,GBIF,,Manuel Vargas,,10.320833,-84.775,"Valle del Rio Penas Blancas, Quebrada El Valle",1993.0,1,1,1,,WGS84,2019,Erick Bello
3330,PRESERVED_SPECIMEN,Clidemia costaricensis,1584317,GBIF,,Manuel Vargas,,10.370833,-84.70277800000001,Valle del Rio Penas Blancas; Ref. Fernando Villalobos.,1993.0,1,1,1,,WGS84,2019,Erick Bello
4220,PRESERVED_SPECIMEN,Clidemia costaricensis,2827770,GBIF,,Manuel Vargas,,10.294444,-84.75,Reserva Forestal San Ramon. Trail 2 km up in the montains south of the fieldstation.,1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón
4221,PRESERVED_SPECIMEN,Clidemia costaricensis,2827771,GBIF,,Manuel Vargas,,10.294444,-84.75,Reserva Forestal San Ramon. Trail 2 km up in the montains south of the fieldstation.,1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón
4222,PRESERVED_SPECIMEN,Clidemia costaricensis,2827772,GBIF,,Manuel Vargas,,10.294444,-84.75,Reserva Forestal San Ramon. Trail 2 km up in the montains south of the fieldstation.,1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón
4478,PRESERVED_SPECIMEN,Clidemia costaricensis,2833747,GBIF,,Manuel Vargas,,10.588889,-84.93055600000001,"1-2 km west of Lago de Cote, 13 km north of Tilaran, continental divide on SE slope of Volcan Tenorio, Eco-Lodge cloud forest reserve.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Randy Evans ; Gerardo Rivera
4479,PRESERVED_SPECIMEN,Clidemia costaricensis,2833745,GBIF,,Manuel Vargas,,10.588889,-84.93055600000001,"1-2 km west of Lago de Cote, 13 km north of Tilaran, continental divide on SE slope of Volcan Tenorio, Eco-Lodge cloud forest reserve.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Randy Evans ; Gerardo Rivera
4481,PRESERVED_SPECIMEN,Clidemia costaricensis,2833746,GBIF,,Manuel Vargas,,10.588889,-84.93055600000001,"1-2 km west of Lago de Cote, 13 km north of Tilaran, continental divide on SE slope of Volcan Tenorio, Eco-Lodge cloud forest reserve.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Randy Evans ; Gerardo Rivera
4813,PRESERVED_SPECIMEN,Clidemia costaricensis,2918068,GBIF,,Manuel Vargas,,10.3,-84.800007,Chomogo Trail.,1991.0,1,1,1,,WGS84,2019,William Haber
5474,PRESERVED_SPECIMEN,Clidemia costaricensis,2915632,GBIF,,Manuel Vargas,,10.216667,-84.616667,Campamento Rio San Lorencito.,1989.0,1,1,1,,WGS84,2019,Jorge Gómez Laurito
5485,PRESERVED_SPECIMEN,Clidemia costaricensis,2915804,GBIF,,Manuel Vargas,,10.220833,-84.6,"Estacion Rio San Lorencito, sendero por la fila SO (derecha) del rio.",1990.0,1,1,1,,WGS84,2019,Jorge Gómez Laurito
5519,PRESERVED_SPECIMEN,Clidemia costaricensis,3090867,GBIF,,Manuel Vargas,,10.671389,-84.990278,Parque Nacional Volcán Tenorio Alto Masis.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves; Eleomar Muñoz
5522,PRESERVED_SPECIMEN,Clidemia costaricensis,3090868,GBIF,,Manuel Vargas,,10.671389,-84.990278,Parque Nacional Volcán Tenorio Alto Masis.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves; Eleomar Muñoz
6286,PRESERVED_SPECIMEN,Clidemia costaricensis,3390745,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
6287,PRESERVED_SPECIMEN,Clidemia costaricensis,3390748,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
6288,PRESERVED_SPECIMEN,Clidemia costaricensis,3390747,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
6289,PRESERVED_SPECIMEN,Clidemia costaricensis,3390746,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
7182,PRESERVED_SPECIMEN,Clidemia costaricensis,3524068,GBIF,,Manuel Vargas,,10.256944,-84.17222199999999,"Cariblanco, camino a Colonia Virgen del Socorro.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7189,PRESERVED_SPECIMEN,Clidemia costaricensis,3524066,GBIF,,Manuel Vargas,,10.256944,-84.17222199999999,"Cariblanco, camino a Colonia Virgen del Socorro.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7190,PRESERVED_SPECIMEN,Clidemia costaricensis,3524069,GBIF,,Manuel Vargas,,10.256944,-84.17222199999999,"Cariblanco, camino a Colonia Virgen del Socorro.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7191,PRESERVED_SPECIMEN,Clidemia costaricensis,3524067,GBIF,,Manuel Vargas,,10.256944,-84.17222199999999,"Cariblanco, camino a Colonia Virgen del Socorro.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7283,PRESERVED_SPECIMEN,Clidemia costaricensis,3561973,GBIF,,Manuel Vargas,,9.744444,-83.833333,"Orosi, Mirador Ecologico Monte Sky. Entre los Rios Lajas y Blanco.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7284,PRESERVED_SPECIMEN,Clidemia costaricensis,3561974,GBIF,,Manuel Vargas,,9.744444,-83.833333,"Orosi, Mirador Ecologico Monte Sky. Entre los Rios Lajas y Blanco.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7285,PRESERVED_SPECIMEN,Clidemia costaricensis,3561972,GBIF,,Manuel Vargas,,9.744444,-83.833333,"Orosi, Mirador Ecologico Monte Sky. Entre los Rios Lajas y Blanco.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7562,PRESERVED_SPECIMEN,Clidemia costaricensis,3798787,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7564,PRESERVED_SPECIMEN,Clidemia costaricensis,3798786,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7565,PRESERVED_SPECIMEN,Clidemia costaricensis,3798788,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
7830,PRESERVED_SPECIMEN,Clidemia costaricensis,3892306,GBIF,,Manuel Vargas,,10.3,-84.783333,"La Chiripa, 16 km NW of Monteverde on road from Sta. Elena to Tilaran.",2002.0,1,1,1,,WGS84,2019,Darin Penneys
7847,PRESERVED_SPECIMEN,Clidemia costaricensis,3894414,GBIF,,Manuel Vargas,,9.477778,-83.690278,Carretera Interamericana; Rio Quebradas; km 117; bosque primario por el camino.,2003.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
7848,PRESERVED_SPECIMEN,Clidemia costaricensis,3894413,GBIF,,Manuel Vargas,,9.477778,-83.690278,Carretera Interamericana; Rio Quebradas; km 117; bosque primario por el camino.,2003.0,1,1,1,,WGS84,2019,Barry Hammel; Isabel Pérez
7872,PRESERVED_SPECIMEN,Clidemia costaricensis,3874411,GBIF,,Manuel Vargas,,10.027778,-84.005556,"Potreros y bosque por quebradas al E de la carretera a Guapiles, ca. 2.5 km antes del peaje.",2003.0,1,1,1,,WGS84,2019,Daniel Solano
7873,PRESERVED_SPECIMEN,Clidemia costaricensis,3874412,GBIF,,Manuel Vargas,,10.027778,-84.005556,"Potreros y bosque por quebradas al E de la carretera a Guapiles, ca. 2.5 km antes del peaje.",2003.0,1,1,1,,WGS84,2019,Daniel Solano
8171,PRESERVED_SPECIMEN,Clidemia costaricensis,3908255,GBIF,,Manuel Vargas,,9.755556,-83.783333,Sendero Arboles Caidos.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Armando Soto ; Jun-Da Wen
8173,PRESERVED_SPECIMEN,Clidemia costaricensis,3908256,GBIF,,Manuel Vargas,,9.755556,-83.783333,Sendero Arboles Caidos.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Armando Soto ; Jun-Da Wen
8185,PRESERVED_SPECIMEN,Clidemia costaricensis,3908488,GBIF,,Manuel Vargas,,10.169839,-84.552351,"Finca La Paz, San Ramón.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8186,PRESERVED_SPECIMEN,Clidemia costaricensis,3908489,GBIF,,Manuel Vargas,,10.169839,-84.552351,"Finca La Paz, San Ramón.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8187,PRESERVED_SPECIMEN,Clidemia costaricensis,3908490,GBIF,,Manuel Vargas,,10.169839,-84.552351,"Finca La Paz, San Ramón.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8422,PRESERVED_SPECIMEN,Clidemia costaricensis,3913842,GBIF,,Manuel Vargas,,10.041667,-84.008333,"On highway through Braulio Carrillo, between San Jose and park entrance, ca. 5 km before high point on road.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8424,PRESERVED_SPECIMEN,Clidemia costaricensis,3913839,GBIF,,Manuel Vargas,,10.041667,-84.008333,"On highway through Braulio Carrillo, between San Jose and park entrance, ca. 5 km before high point on road.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8425,PRESERVED_SPECIMEN,Clidemia costaricensis,3913841,GBIF,,Manuel Vargas,,10.041667,-84.008333,"On highway through Braulio Carrillo, between San Jose and park entrance, ca. 5 km before high point on road.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8426,PRESERVED_SPECIMEN,Clidemia costaricensis,3913840,GBIF,,Manuel Vargas,,10.041667,-84.008333,"On highway through Braulio Carrillo, between San Jose and park entrance, ca. 5 km before high point on road.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
9538,PRESERVED_SPECIMEN,Clidemia costaricensis,4076932,GBIF,,Manuel Vargas,,9.383056,-83.21333299999999,Camp. 2: Río Coén,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría
9540,PRESERVED_SPECIMEN,Clidemia costaricensis,4076931,GBIF,,Manuel Vargas,,9.383056,-83.21333299999999,Camp. 2: Río Coén,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría
9576,PRESERVED_SPECIMEN,Clidemia costaricensis,4077596,GBIF,,Manuel Vargas,,10.699936,-85.011615,"Guatuso, Valle río Roble.",2004.0,1,1,1,,WGS84,2019,Jose Antonio Azofeifa Zuñiga
9588,PRESERVED_SPECIMEN,Clidemia costaricensis,4078240,GBIF,,Manuel Vargas,,10.087344,-83.902711,Transecto Irazú - Braulio Carrillo.,2004.0,1,1,1,,WGS84,2019,Evelio Alfaro; Jose González
9590,PRESERVED_SPECIMEN,Clidemia costaricensis,4078242,GBIF,,Manuel Vargas,,10.087344,-83.902711,Transecto Irazú - Braulio Carrillo.,2004.0,1,1,1,,WGS84,2019,Evelio Alfaro; Jose González
9593,PRESERVED_SPECIMEN,Clidemia costaricensis,4078241,GBIF,,Manuel Vargas,,10.087344,-83.902711,Transecto Irazú - Braulio Carrillo.,2004.0,1,1,1,,WGS84,2019,Evelio Alfaro; Jose González
9664,PRESERVED_SPECIMEN,Clidemia costaricensis,4083860,GBIF,,Manuel Vargas,,10.720833,-84.99583299999999,"El Pilon, Cerro La Carmela entre Rio Celeste y cabeceras del Rio Chimurria. Bijagua.",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel
9993,PRESERVED_SPECIMEN,Clidemia costaricensis,4070145,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
9994,PRESERVED_SPECIMEN,Clidemia costaricensis,4070146,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
9995,PRESERVED_SPECIMEN,Clidemia costaricensis,4070141,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
9996,PRESERVED_SPECIMEN,Clidemia costaricensis,4070143,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
9997,PRESERVED_SPECIMEN,Clidemia costaricensis,4070142,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
