,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1462,PRESERVED_SPECIMEN,Clusia torresii,1559891,GBIF,,Manuel Vargas,,10.333333,-84.81666700000001,2 km N Santa Elena on road to Las Nubes. 3 km NW Monteverde. Pacific slope near continental divide.,1989.0,1,1,1,,WGS84,2019,William Haber
1467,PRESERVED_SPECIMEN,Clusia torresii,1559889,GBIF,,Manuel Vargas,,10.333333,-84.81666700000001,2 km N Santa Elena on road to Las Nubes. 3 km NW Monteverde. Pacific slope near continental divide.,1989.0,1,1,1,,WGS84,2019,William Haber
1767,PRESERVED_SPECIMEN,Clusia torresii,1564973,GBIF,,Manuel Vargas,,10.611111,-84.99583299999999,Tierras Morenas; Rio San Lorenzo.,1993.0,1,1,1,,WGS84,2019,Gladys Rodriguez
1814,PRESERVED_SPECIMEN,Clusia torresii,1566453,GBIF,,Manuel Vargas,,10.272222,-84.825001,"Finca Buen Amigo, San Luis. Monteverde.",1993.0,1,1,1,,WGS84,2019,Zobeida Fuentes
2262,PRESERVED_SPECIMEN,Clusia torresii,1537713,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2263,PRESERVED_SPECIMEN,Clusia torresii,1537716,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2264,PRESERVED_SPECIMEN,Clusia torresii,1537714,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2265,PRESERVED_SPECIMEN,Clusia torresii,1537715,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2433,PRESERVED_SPECIMEN,Clusia torresii,1594341,GBIF,,Manuel Vargas,,10.366667,-84.783334,Monteverde. San Gerardo Biological Station. Sendero Viejo. 500 m S of Station. Premontate rain forest.,1995.0,1,1,1,,WGS84,2019,Darin Penneys
3182,PRESERVED_SPECIMEN,Clusia torresii,1581098,GBIF,,Manuel Vargas,,10.216667,-84.588889,Sendero Madre Piedra.,1993.0,1,1,1,,WGS84,2019,Kattia Martinez
3213,PRESERVED_SPECIMEN,Clusia torresii,1581661,GBIF,,Manuel Vargas,,10.233333,-84.716667,"Arancibia, Leonel Hernandez.",1989.0,1,1,1,,WGS84,2019,Erick Bello
