,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3583,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,2825989,GBIF,,Manuel Vargas,,9.584722,-84.173611,"Fila Chonta, Sector SE, Sitio El Colpotrino, Fila de la cima.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
3584,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,2825990,GBIF,,Manuel Vargas,,9.584722,-84.173611,"Fila Chonta, Sector SE, Sitio El Colpotrino, Fila de la cima.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
4381,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,2831439,GBIF,,Manuel Vargas,,9.580556,-84.18333299999999,"Fila Chonta, Sector SW, cabeceras Rio Damitas.",1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel ; Helen Kennedy
4382,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,2831440,GBIF,,Manuel Vargas,,9.580556,-84.18333299999999,"Fila Chonta, Sector SW, cabeceras Rio Damitas.",1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel ; Helen Kennedy
7273,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,3558775,GBIF,,Manuel Vargas,,9.583333,-84.166667,"Cerro Cura, La Virgen y Fila Chonta.",1998.0,1,1,1,,WGS84,2019,Barry Hammel; Juan Francisco Morales Quirós
13859,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,02319692,GBIF,6305,Manuel Vargas,,9.3,-79.27,Cerro Brewster,1985.0,1,1,1,,WGS84,2019,G. C. de Nevers
14558,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,2708819,GBIF,Morales Quirós 7003,Manuel Vargas,,9.58055,-84.18333,"Cuenca del Pirris-Damas. Fila Chonta, Sector SW, cabeceras Río Damitas",1999.0,1,1,1,,WGS84,2019,J. F. Morales|Barry E. Hammel|Helen Kennedy
15053,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,288882,GBIF,Chacón Gamboa 290,Manuel Vargas,,9.45,-83.0,"Parque Internac. La Amistad Fila Tsiurábeta, entre Ríos Urén y Lari.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacón
19901,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,3244670,GBIF,6035,Manuel Vargas,,8.75,-82.2333,Fortuna Dam area,1984.0,1,1,1,,WGS84,2019,H. Churchill & A. Churchill
21387,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,3244671,GBIF,6035,Manuel Vargas,,8.75,-82.2333,Fortuna Dam area,1984.0,1,1,1,,WGS84,2019,H. Churchill & A. Churchill
38215,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,100410435,GBIF,Galdames 6250,Manuel Vargas,,9.220278,-79.372222,Cerro Jefe.,2008.0,1,1,1,,WGS84,2019,Carmen Galdames|E. Espino|Rodolfo Flores
46815,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,02319694,GBIF,6250,Manuel Vargas,,9.2203,-79.3722,Cerro Jefe,2008.0,1,1,1,,WGS84,2019,C. Galdames
47095,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,3244668,GBIF,6035,Manuel Vargas,,8.75,-82.2333,Fortuna Dam area,1984.0,1,1,1,,WGS84,2019,H. Churchill & A. Churchill
48461,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,1167274,GBIF,Rueda 4537,Manuel Vargas,,10.76666,-83.88333,"Reserva Indio Maíz, Municipio de San Juan del Norte, cerro el Gigante.",1996.0,1,1,1,,WGS84,2019,R.M. Rueda|I. Coronado G.|N. Tercero
49896,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,1327999,GBIF,Rueda 9042,Manuel Vargas,,10.76666,-83.88333,"Reserva Indio-Maiz, Municipio de San Juan del Norte, cima del Cerro Gigante.",1998.0,1,1,1,,WGS84,2019,R.M. Rueda|I. Coronado G.|W. Velásquez|Y. Rubi
51931,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,1785088,GBIF,Gottsberger 12-112000,Manuel Vargas,,9.233880000000001,-79.375,Cerro Jefe,2000.0,1,1,1,,WGS84,2019,R. Gottsberger
56230,PRESERVED_SPECIMEN,Colpothrinax aphanopetala,3244669,GBIF,6035,Manuel Vargas,,8.75,-82.2333,Fortuna Dam area,1984.0,1,1,1,,WGS84,2019,H. Churchill & A. Churchill
