,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
823,PRESERVED_SPECIMEN,Conostegia bigibbosa,1533731,GBIF,,Manuel Vargas,,9.027104,-83.008169,"Est. Altamira, Buenos Aires PILA ACLA, Cerro Biolley",1997.0,1,1,1,,WGS84,2019,Javier Quesada
824,PRESERVED_SPECIMEN,Conostegia bigibbosa,1533732,GBIF,,Manuel Vargas,,9.027104,-83.008169,"Est. Altamira, Buenos Aires PILA ACLA, Cerro Biolley",1997.0,1,1,1,,WGS84,2019,Javier Quesada
825,PRESERVED_SPECIMEN,Conostegia bigibbosa,1533734,GBIF,,Manuel Vargas,,9.027104,-83.008169,"Est. Altamira, Buenos Aires PILA ACLA, Cerro Biolley",1997.0,1,1,1,,WGS84,2019,Javier Quesada
826,PRESERVED_SPECIMEN,Conostegia bigibbosa,1533733,GBIF,,Manuel Vargas,,9.027104,-83.008169,"Est. Altamira, Buenos Aires PILA ACLA, Cerro Biolley",1997.0,1,1,1,,WGS84,2019,Javier Quesada
915,PRESERVED_SPECIMEN,Conostegia bigibbosa,1509858,GBIF,,Manuel Vargas,,9.391667,-83.608333,"Las Nubes, Estacion Santa Elena. Potrero y bosque secundario.",1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
958,PRESERVED_SPECIMEN,Conostegia bigibbosa,1511388,GBIF,,Manuel Vargas,,9.026389,-83.0125,Estacion Altamira. A orilla del Rio Colorado. Del puesto del Guardaparque 150 m. rio abajo.,1996.0,1,1,1,,WGS84,2019,Ronald Villalobos
1043,PRESERVED_SPECIMEN,Conostegia bigibbosa,1513237,GBIF,,Manuel Vargas,,9.294722,-83.764167,"Fila Tinamastes, en la Fila del Farallon Remanentes de bosque y margenes de bosque.",1996.0,1,1,1,,WGS84,2019,Barry Hammel
2067,PRESERVED_SPECIMEN,Conostegia bigibbosa,1574337,GBIF,,Manuel Vargas,,9.583889,-84.068889,Bosques remanentes en falda W del Cerro El Pito.,1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
3392,PRESERVED_SPECIMEN,Conostegia bigibbosa,1586086,GBIF,,Manuel Vargas,,9.311944,-83.77194399999999,Fila Tinamastes; por la carretera entre Dominical y San Isidro; bosque humedo por una quebrada.,1994.0,1,1,1,,WGS84,2019,Barry Hammel
6616,PRESERVED_SPECIMEN,Conostegia bigibbosa,3428198,GBIF,,Manuel Vargas,,9.031997,-82.964502,Estación Pittier,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6621,PRESERVED_SPECIMEN,Conostegia bigibbosa,3428197,GBIF,,Manuel Vargas,,9.031997,-82.964502,Estación Pittier,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6628,PRESERVED_SPECIMEN,Conostegia bigibbosa,3428199,GBIF,,Manuel Vargas,,9.031997,-82.964502,Estación Pittier,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6868,PRESERVED_SPECIMEN,Conostegia bigibbosa,3445252,GBIF,,Manuel Vargas,,8.795077000000001,-82.95950500000001,Jardín Botanico Las Cruces,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
6873,PRESERVED_SPECIMEN,Conostegia bigibbosa,3445253,GBIF,,Manuel Vargas,,8.795077000000001,-82.95950500000001,Jardín Botanico Las Cruces,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
6990,PRESERVED_SPECIMEN,Conostegia bigibbosa,3488365,GBIF,,Manuel Vargas,,9.101389,-83.11361099999999,Buenos Aires. Potrero Grande.,2000.0,1,1,1,,WGS84,2019,Luis González; Nelson A. Zamora Villalobos ; Heiner Acevedo ; Reinaldo Aguilar
6994,PRESERVED_SPECIMEN,Conostegia bigibbosa,3488366,GBIF,,Manuel Vargas,,9.101389,-83.11361099999999,Buenos Aires. Potrero Grande.,2000.0,1,1,1,,WGS84,2019,Luis González; Nelson A. Zamora Villalobos ; Heiner Acevedo ; Reinaldo Aguilar
6995,PRESERVED_SPECIMEN,Conostegia bigibbosa,3488367,GBIF,,Manuel Vargas,,9.101389,-83.11361099999999,Buenos Aires. Potrero Grande.,2000.0,1,1,1,,WGS84,2019,Luis González; Nelson A. Zamora Villalobos ; Heiner Acevedo ; Reinaldo Aguilar
8762,PRESERVED_SPECIMEN,Conostegia bigibbosa,3951182,GBIF,,Manuel Vargas,,9.672222,-84.195833,"Quebrada Laja, ca. 2.5 km al noroeste de Altos El Aguacate",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Barry Hammel ; Juan Francisco Morales Quirós
9227,PRESERVED_SPECIMEN,Conostegia bigibbosa,4008657,GBIF,,Manuel Vargas,,9.481944,-84.016667,"Dota, Cerro Chingo, Camino a Cerro Nara.",2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
9228,PRESERVED_SPECIMEN,Conostegia bigibbosa,4008658,GBIF,,Manuel Vargas,,9.481944,-84.016667,"Dota, Cerro Chingo, Camino a Cerro Nara.",2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
9229,PRESERVED_SPECIMEN,Conostegia bigibbosa,4008656,GBIF,,Manuel Vargas,,9.481944,-84.016667,"Dota, Cerro Chingo, Camino a Cerro Nara.",2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
