,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1295,PRESERVED_SPECIMEN,Conostegia brenesiana,1556759,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1990.0,1,1,1,,WGS84,2019,Carlos Chavez
1296,PRESERVED_SPECIMEN,Conostegia brenesiana,1556757,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1990.0,1,1,1,,WGS84,2019,Carlos Chavez
1298,PRESERVED_SPECIMEN,Conostegia brenesiana,1556747,GBIF,,Manuel Vargas,,11.033333,-85.408334,"Estacion Pitilla, sobre la fila al Cerro Orosilito - Grupo de Estudiantes de Biodiversidad",1989.0,1,1,1,,WGS84,2019,Rafael Robles
1684,PRESERVED_SPECIMEN,Conostegia brenesiana,1562184,GBIF,,Manuel Vargas,,11.033333,-85.4,"Estacion Pitilla, alrededores. - M.M. Chavarria, B. Hammel & Q. Jimenez",1989.0,1,1,1,,WGS84,2019,II INBio
2377,PRESERVED_SPECIMEN,Conostegia brenesiana,1591863,GBIF,,Manuel Vargas,,10.928611,-85.469445,Estacion Cacao; Cerro Cacao.,1995.0,1,1,1,,WGS84,2019,Carolina Cano
2415,PRESERVED_SPECIMEN,Conostegia brenesiana,1593883,GBIF,,Manuel Vargas,,10.928611,-85.469445,Estacion Cacao; Sendero Maritza.,1995.0,1,1,1,,WGS84,2019,Luis Angulo
2698,PRESERVED_SPECIMEN,Conostegia brenesiana,1597976,GBIF,,Manuel Vargas,,10.215278,-84.590278,Sendero El Sahino.,1993.0,1,1,1,,WGS84,2019,Elba Lopez
2706,PRESERVED_SPECIMEN,Conostegia brenesiana,1598038,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Sendero El Nispero. Dos Rios.,1994.0,1,1,1,,WGS84,2019,Dunia Garcia
2897,PRESERVED_SPECIMEN,Conostegia brenesiana,1603372,GBIF,,Manuel Vargas,,10.733333,-85.05,"Bijagua, slope NW of Volcan Tenorio.",1994.0,1,1,1,,WGS84,2019,William Haber
2898,PRESERVED_SPECIMEN,Conostegia brenesiana,1603374,GBIF,,Manuel Vargas,,10.880556,-85.40139,Estacion San Ramon. Dos Rios.,1995.0,1,1,1,,WGS84,2019,Mario Chinchilla
2899,PRESERVED_SPECIMEN,Conostegia brenesiana,1603371,GBIF,,Manuel Vargas,,10.893889,-85.486389,Estacion Cacao; Cerro Cacao. Bosque primario.,1995.0,1,1,1,,WGS84,2019,Mario Chinchilla
2901,PRESERVED_SPECIMEN,Conostegia brenesiana,1603370,GBIF,,Manuel Vargas,,10.880556,-85.40139,Estacion San Ramon. Dos Rios.,1995.0,1,1,1,,WGS84,2019,Mario Chinchilla
2903,PRESERVED_SPECIMEN,Conostegia brenesiana,1603435,GBIF,,Manuel Vargas,,10.216667,-84.588889,Sendero Madre Piedra.,1993.0,1,1,1,,WGS84,2019,Kattia Martinez
