,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
610,PRESERVED_SPECIMEN,Conostegia dissitinervia,1527410,GBIF,,Manuel Vargas,,8.481076,-83.595012,Sendero Espaveles,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
614,PRESERVED_SPECIMEN,Conostegia dissitinervia,1527408,GBIF,,Manuel Vargas,,8.481076,-83.595012,Sendero Espaveles,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
615,PRESERVED_SPECIMEN,Conostegia dissitinervia,1527407,GBIF,,Manuel Vargas,,8.481076,-83.595012,Sendero Espaveles,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
616,PRESERVED_SPECIMEN,Conostegia dissitinervia,1527409,GBIF,,Manuel Vargas,,8.481076,-83.595012,Sendero Espaveles,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2307,PRESERVED_SPECIMEN,Conostegia dissitinervia,1588102,GBIF,,Manuel Vargas,,8.480556,-83.591667,"Sendero Ollas, sector a 10 msnm",1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2710,PRESERVED_SPECIMEN,Conostegia dissitinervia,1598041,GBIF,,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemado, near Rincon.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
3378,PRESERVED_SPECIMEN,Conostegia dissitinervia,1585822,GBIF,,Manuel Vargas,,8.565278,-83.388889,Puerto Jimenez.  Agujas.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
9257,PRESERVED_SPECIMEN,Conostegia dissitinervia,4011808,GBIF,,Manuel Vargas,,9.705556,-84.58694399999999,"Turrubares, San Juan de Mata, Lajas.",2001.0,1,1,1,,WGS84,2019,Armando Estrada; Armando Ruiz
9703,PRESERVED_SPECIMEN,Conostegia dissitinervia,4086738,GBIF,,Manuel Vargas,,8.40574,-83.342098,"R.V.S. Río Piro, Estación Tuva",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Reinaldo Aguilar ; Daniel Santamaría
9706,PRESERVED_SPECIMEN,Conostegia dissitinervia,4086736,GBIF,,Manuel Vargas,,8.40574,-83.342098,"R.V.S. Río Piro, Estación Tuva",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Reinaldo Aguilar ; Daniel Santamaría
9707,PRESERVED_SPECIMEN,Conostegia dissitinervia,4086739,GBIF,,Manuel Vargas,,8.40574,-83.342098,"R.V.S. Río Piro, Estación Tuva",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Reinaldo Aguilar ; Daniel Santamaría
9708,PRESERVED_SPECIMEN,Conostegia dissitinervia,4086740,GBIF,,Manuel Vargas,,8.40574,-83.342098,"R.V.S. Río Piro, Estación Tuva",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Reinaldo Aguilar ; Daniel Santamaría
9709,PRESERVED_SPECIMEN,Conostegia dissitinervia,4086737,GBIF,,Manuel Vargas,,8.40574,-83.342098,"R.V.S. Río Piro, Estación Tuva",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Reinaldo Aguilar ; Daniel Santamaría
11352,PRESERVED_SPECIMEN,Conostegia dissitinervia,4202307,GBIF,,Manuel Vargas,,8.623611,-83.476389,Osa. Rincón. Guadalupe La Tarde.,2009.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Reinaldo Aguilar
11355,PRESERVED_SPECIMEN,Conostegia dissitinervia,4202308,GBIF,,Manuel Vargas,,8.623611,-83.476389,Osa. Rincón. Guadalupe La Tarde.,2009.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Reinaldo Aguilar
11358,PRESERVED_SPECIMEN,Conostegia dissitinervia,4202306,GBIF,,Manuel Vargas,,8.623611,-83.476389,Osa. Rincón. Guadalupe La Tarde.,2009.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Reinaldo Aguilar
12409,PRESERVED_SPECIMEN,Conostegia dissitinervia,4374871,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
12410,PRESERVED_SPECIMEN,Conostegia dissitinervia,4374870,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
12418,PRESERVED_SPECIMEN,Conostegia dissitinervia,4374872,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
15576,PRESERVED_SPECIMEN,Conostegia dissitinervia,3010518,GBIF,Estrada Chavarría 3101,Manuel Vargas,,9.70555,-84.58694,San Juan De Mata. Area no protegida. Lajas.,2001.0,1,1,1,,WGS84,2019,Armando Estrada|et al.
16073,PRESERVED_SPECIMEN,Conostegia dissitinervia,321448,GBIF,Croat 59849,Manuel Vargas,,8.7,-83.51666,"Along abandoned ""high road"" W of Rincón de Osa.",1985.0,1,1,1,,WGS84,2019,Thomas B. Croat|Michael H. Grayum
