,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1124,PRESERVED_SPECIMEN,Conostegia grayumii,1515614,GBIF,,Manuel Vargas,,10.409722,-83.9,La Virgen.,1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1483,PRESERVED_SPECIMEN,Conostegia grayumii,1560033,GBIF,,Manuel Vargas,,10.405,-84.05833299999999,Estacion Magsasay.,1994.0,1,1,1,,WGS84,2019,Barry Hammel
2030,PRESERVED_SPECIMEN,Conostegia grayumii,1573132,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Estacion Biologica La Selva. Camino Central, at marker post 50 m.",1991.0,1,1,1,,WGS84,2019,Debon Graham
5687,PRESERVED_SPECIMEN,Conostegia grayumii,3099764,GBIF,,Manuel Vargas,,8.759387,-83.283128,"Estacion Esquinas, Peninsula de Osa",1998.0,1,1,1,,WGS84,2019,Eida Fletes
5688,PRESERVED_SPECIMEN,Conostegia grayumii,3099763,GBIF,,Manuel Vargas,,8.759387,-83.283128,"Estacion Esquinas, Peninsula de Osa",1998.0,1,1,1,,WGS84,2019,Eida Fletes
5690,PRESERVED_SPECIMEN,Conostegia grayumii,3099762,GBIF,,Manuel Vargas,,8.759387,-83.283128,"Estacion Esquinas, Peninsula de Osa",1998.0,1,1,1,,WGS84,2019,Eida Fletes
7007,PRESERVED_SPECIMEN,Conostegia grayumii,3491967,GBIF,,Manuel Vargas,,10.990278,-85.427778,"Estacion Pitilla, Senderos Los Memos.",2001.0,1,1,1,,WGS84,2019,Calixto Moraga; Petrona Ríos Castro
7008,PRESERVED_SPECIMEN,Conostegia grayumii,3491966,GBIF,,Manuel Vargas,,10.990278,-85.427778,"Estacion Pitilla, Senderos Los Memos.",2001.0,1,1,1,,WGS84,2019,Calixto Moraga; Petrona Ríos Castro
7009,PRESERVED_SPECIMEN,Conostegia grayumii,3491968,GBIF,,Manuel Vargas,,10.990278,-85.427778,"Estacion Pitilla, Senderos Los Memos.",2001.0,1,1,1,,WGS84,2019,Calixto Moraga; Petrona Ríos Castro
7014,PRESERVED_SPECIMEN,Conostegia grayumii,3492026,GBIF,,Manuel Vargas,,10.972222,-85.438889,"Estacion Pitilla, Sendero Orosilito.",2001.0,1,1,1,,WGS84,2019,Calixto Moraga; Petrona Ríos Castro
