,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2902,PRESERVED_SPECIMEN,Conostegia muriculata,1603388,GBIF,,Manuel Vargas,,9.802778,-82.997222,San Rafael de Pandora.,1995.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
16017,PRESERVED_SPECIMEN,Conostegia muriculata,318940,GBIF,Hammel 13663,Manuel Vargas,,8.675,-80.62916700000001,"El Copé. Forest on continental divide above town. [Coordinates on orginal label: 8º38'N, 80º38'W]",1985.0,1,1,1,,WGS84,2019,Barry E. Hammel
16385,PRESERVED_SPECIMEN,Conostegia muriculata,333601,GBIF,Grayum 5773,Manuel Vargas,,9.675,-83.033333,"Hitoy Cerere reserve, SW of Valle La Estrella. Along Río Cerere to ca. 1 km upstream from Quebrada Barrera.",1985.0,1,1,1,,WGS84,2019,Michael H. Grayum|Barry E. Hammel
16388,PRESERVED_SPECIMEN,Conostegia muriculata,333630,GBIF,McPherson 12836,Manuel Vargas,,8.907778,-82.151667,"Above Chiriquí Grande, 10 road-miles from continental divide and c. 2 miles along road to east. [Coordinates on orginal label: 8º55'N 82º10'W]",1988.0,1,1,1,,WGS84,2019,Gordon McPherson
19603,PRESERVED_SPECIMEN,Conostegia muriculata,01119758,GBIF,3122,Manuel Vargas,,8.55,-81.12,"Distrito de Santa Fé, Serranía de Tute.",1996.0,1,1,1,,WGS84,2019,C. Galdames
22798,PRESERVED_SPECIMEN,Conostegia muriculata,146344,GBIF,,Manuel Vargas,,8.91,-82.16,Bocas del Toro. Above Chiriquí Grande on a side road about 10 road miles below the Continental Divide about 2 1/2  miles east on that road. Disturbed rainforest.,1989.0,1,1,1,,WGS84,2019,"Almeda, Frank"
22799,PRESERVED_SPECIMEN,Conostegia muriculata,147909,GBIF,,Manuel Vargas,,9.66,-83.03,"R. B. Hitoy Cerere SW of Valle La Estrella, along río Cerere to ca. 1 km upstream from quebrada Barrera.",1985.0,1,1,1,,WGS84,2019,"Grayum, Michael"
22803,PRESERVED_SPECIMEN,Conostegia muriculata,160351,GBIF,,Manuel Vargas,,8.91,-82.16,"Bocas del Toro: above Chiriquí Grande, 10 road-miles from continental divide and ca. 2 miles along road to east.",1988.0,1,1,1,,WGS84,2019,"McPherson, Gordon"
22832,PRESERVED_SPECIMEN,Conostegia muriculata,223071,GBIF,,Manuel Vargas,,9.57,-82.63,"Sixaola, San Miguel, finca albergue ASACODE.",1996.0,1,1,1,,WGS84,2019,"Quesada, Alonso"
29906,PRESERVED_SPECIMEN,Conostegia muriculata,2094,GBIF,12836,Manuel Vargas,,8.916667,-82.166667,"Above Chiriqui Grande, 10 road-miles from continental divide and c. 2 miles along road to east.",1988.0,1,1,1,,WGS84,2019,"McPherson, G."
30128,PRESERVED_SPECIMEN,Conostegia muriculata,382398,GBIF,3122,Manuel Vargas,,8.55,-81.116667,"Distrito de Santa F,  Serraní de Tute",1996.0,1,1,1,,WGS84,2019,"Galdames, C.; Aranda, J.; Araúz, B."
30129,PRESERVED_SPECIMEN,Conostegia muriculata,382399,GBIF,857,Manuel Vargas,,9.802778,-82.997222,Faja Costeña de Limón.  San Rafael de Pandora.,1995.0,1,1,1,,WGS84,2019,"Rodríguez, Alex"
30130,PRESERVED_SPECIMEN,Conostegia muriculata,382400,GBIF,5773,Manuel Vargas,,9.675,-83.033333,"Hitoy Cerere reserve, SW of Valle La Estrella.  Along Río Cerere to ca. 1 km upstream from Quebrada Barrera.",1985.0,1,1,1,,WGS84,2019,"Grayum, Michael H.; Hammel, Barry"
30131,PRESERVED_SPECIMEN,Conostegia muriculata,136328,GBIF,13663,Manuel Vargas,,8.633333,-80.633333,El Copé.  Forest on continental dvd above town.,1985.0,1,1,1,,WGS84,2019,"Hammel, B."
30132,PRESERVED_SPECIMEN,Conostegia muriculata,136326,GBIF,6328,Manuel Vargas,,8.916667,-82.166667,Above Chiriquí Grande on a side raod about 10 road miles below the Continental Divide about 2 1/2 miles east on that road.,1989.0,1,1,1,,WGS84,2019,"Almeda, F.; de Nevers, G.; McPherson, G."
30133,PRESERVED_SPECIMEN,Conostegia muriculata,136329,GBIF,5-156,Manuel Vargas,,8.669444,-80.11694399999999,"El Jordanal, Río Indio Arriba",2001.0,1,1,1,,WGS84,2019,"Mendieta, Jorge"
40777,PRESERVED_SPECIMEN,Conostegia muriculata,2299796,GBIF,Galdames 31223,Manuel Vargas,,8.482222,-81.098055,Serranía de Tute.,1996.0,1,1,1,,WGS84,2019,Carmen Galdames|Jorge E. Aranda B.|Blanca Araúz
41514,PRESERVED_SPECIMEN,Conostegia muriculata,2523970,GBIF,Rodríguez González 857,Manuel Vargas,,9.802769999999999,-82.99722,Faja Costeña de Limón. San Rafael de Pandora.,1995.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
46365,PRESERVED_SPECIMEN,Conostegia muriculata,01119757,GBIF,356,Manuel Vargas,,9.575,-82.6389,Sixaola. San Miguel. Finca Albergue ASACODE,1996.0,1,1,1,,WGS84,2019,A. Quesada
46786,PRESERVED_SPECIMEN,Conostegia muriculata,01119759,GBIF,6328,Manuel Vargas,,8.92,-82.17,Above Chiriquí Grande on a side road about 10 road miles below the Continental Divide about 2.5 miles east on that road.,1989.0,1,1,1,,WGS84,2019,F. Almeda
49673,PRESERVED_SPECIMEN,Conostegia muriculata,1299625,GBIF,Antonio 1840,Manuel Vargas,,8.516110000000001,-81.08305,"Cerro Tute, trail past Agricultural School near Santa Fé. Slopes up to 4000 ft",1979.0,1,1,1,,WGS84,2019,Thomas M. Antonio
49674,PRESERVED_SPECIMEN,Conostegia muriculata,1299628,GBIF,Folsom 4938,Manuel Vargas,,8.683333,-80.6,"New Works, 7 km north of El Copé.",1977.0,1,1,1,,WGS84,2019,James P. Folsom
49675,PRESERVED_SPECIMEN,Conostegia muriculata,1299620,GBIF,Almeda 6328,Manuel Vargas,,8.91666,-82.16666,Above Chiriquí Grande on a side road about 10 road miles below the Continental Divide about 2.5 miles east on that road. Disturbed rainforest,1989.0,1,1,1,,WGS84,2019,Frank Almeda|Greg C. de Nevers|Gordon McPherson
