,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2225,PRESERVED_SPECIMEN,Conostegia osaensis,1536923,GBIF,,Manuel Vargas,,8.716667,-83.580556,Bahia Chal.  Entrada Chocuaco.,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2243,PRESERVED_SPECIMEN,Conostegia osaensis,1537546,GBIF,,Manuel Vargas,,8.716667,-83.580556,Bahia Chal.  Entrada Chocuaco.,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2244,PRESERVED_SPECIMEN,Conostegia osaensis,1537547,GBIF,,Manuel Vargas,,8.716667,-83.580556,Bahia Chal.  Entrada Chocuaco.,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2246,PRESERVED_SPECIMEN,Conostegia osaensis,1537548,GBIF,,Manuel Vargas,,8.716667,-83.580556,Bahia Chal.  Entrada Chocuaco.,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2247,PRESERVED_SPECIMEN,Conostegia osaensis,1537549,GBIF,,Manuel Vargas,,8.716667,-83.580556,Bahia Chal.  Entrada Chocuaco.,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2249,PRESERVED_SPECIMEN,Conostegia osaensis,1537550,GBIF,,Manuel Vargas,,8.716667,-83.580556,Bahia Chal.  Entrada Chocuaco.,1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
12207,PRESERVED_SPECIMEN,Conostegia osaensis,4317164,GBIF,,Manuel Vargas,,8.671667,-83.504722,R.F. Golfo Dulce.,2006.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
12208,PRESERVED_SPECIMEN,Conostegia osaensis,4317162,GBIF,,Manuel Vargas,,8.671667,-83.504722,R.F. Golfo Dulce.,2006.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Daniel Santamaría
12357,PRESERVED_SPECIMEN,Conostegia osaensis,4372614,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
12358,PRESERVED_SPECIMEN,Conostegia osaensis,4372613,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
12363,PRESERVED_SPECIMEN,Conostegia osaensis,4372612,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
13782,PRESERVED_SPECIMEN,Conostegia osaensis,1240140,GBIF,5145,Manuel Vargas,,8.7361,-83.4667,"Distrito: Sierpe.  Reserva Forestal Golfo Dulce; Mogos Bahia Chal (entrada de Chocuaco a 35kmt. de Chacarita) Finca de Carlos Rojas (entre los repastos, charrales y parches de bosque intervenido )",1997.0,1,1,1,,WGS84,2019,R. Aguilar
13801,PRESERVED_SPECIMEN,Conostegia osaensis,1240136,GBIF,10200,Manuel Vargas,,8.6717,-83.5047,"Reserva Forestal Golfo Dulce, Los Charcos de Osa. Sendero: Dendrobates. Rincón, cerca de Banegas Los Charcos. 1 km al Este del centtro de pueblo Banegas. Estación Biológica Los Charcos de Osa.",2006.0,1,1,1,,WGS84,2019,R. Aguilar
19166,PRESERVED_SPECIMEN,Conostegia osaensis,1127277,GBIF,5145,Manuel Vargas,,8.716667,-83.580556,"R.F. Golfo Dulce. Entrada a Chocuaco, por la casa de Moncho.",1997.0,1,1,1,,WGS84,2019,R. Aguilar
29972,PRESERVED_SPECIMEN,Conostegia osaensis,26205,GBIF,5145,Manuel Vargas,,8.716667,-83.580556,"Puntarenas: Canton de Osa, R.F. Golfo Dulce, Peninsula de Osa, Entrada a Chocuaco, por la casa de Moncho",1997.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
30196,PRESERVED_SPECIMEN,Conostegia osaensis,529191,GBIF,010200,Manuel Vargas,,8.671667,-83.504722,"Osa , Sierpe.  Reserva Forestal Golfo Dulce, Los Charcos de Osa, Sendero:  Dendrobates.  Rincón, cerca de Banegas Los Charcos, 1 km al E de centro del pueblo Baregas.  Estación Biológica Los Charcos de Osa",2006.0,1,1,1,,WGS84,2019,"Aguilar, R.; Santamaria, D."
34909,PRESERVED_SPECIMEN,Conostegia osaensis,1127262,GBIF,10200,Manuel Vargas,,8.671667,-83.504722,"R.F. Golfo Dulce. Los Charcos de Osa, Sendero Dendrobates. Rincón, cerca de Banegas, Los Charcos, 1 km al este del centro del pueblo Banegas. Estación Biológica Los Charcos.",2006.0,1,1,1,,WGS84,2019,R. Aguilar
37568,PRESERVED_SPECIMEN,Conostegia osaensis,1127263,GBIF,10228,Manuel Vargas,,8.671667,-83.504722,"R.F. Golfo Dulce. Los Charcos de Osa, Sendero Dendrobates. Rincón, cerca de Banegas, Los Charcos, 1 km al este del centro del pueblo Banegas. Estación Biológica Los Charcos.",2011.0,1,1,1,,WGS84,2019,R. Aguilar
39850,PRESERVED_SPECIMEN,Conostegia osaensis,MA-01-00735077,GBIF,148,Manuel Vargas,,9.9333,-84.1667,San José: Santa Ana. No protegida. Cuenca del Tárcoles. Cerca del Monasterio  Los Toledos,2002.0,1,1,1,,WGS84,2019,R. Kriebel
46677,PRESERVED_SPECIMEN,Conostegia osaensis,1127280,GBIF,6208,Manuel Vargas,,8.736111,-83.466667,"R.F. Golfo Dulce. Mogos, Bahía Chal, entrada a Chocuaco a 35 km de Chacarita, finca de Carlos Rojas.",2000.0,1,1,1,,WGS84,2019,R. Aguilar
