,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1293,PRESERVED_SPECIMEN,Copaifera camibar,1556683,GBIF,,Manuel Vargas,,8.734216,-83.47036700000001,Entrada a Chocuaco. Los Mogos.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1500,PRESERVED_SPECIMEN,Copaifera camibar,1560749,GBIF,,Manuel Vargas,,8.752778,-83.375,"Mogos, a 20 Km de Chacarita.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1501,PRESERVED_SPECIMEN,Copaifera camibar,1560750,GBIF,,Manuel Vargas,,8.727778,-83.480556,Carretera entre Mogos y Rincon,1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
1508,PRESERVED_SPECIMEN,Copaifera camibar,1560747,GBIF,,Manuel Vargas,,8.752778,-83.383333,Los Mogos.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1842,PRESERVED_SPECIMEN,Copaifera camibar,1567220,GBIF,,Manuel Vargas,,8.673611,-83.188889,"Sendero natural cerca del camino, a 3 Km del aeropuerto.",1992.0,1,1,1,,WGS84,2019,Alvaro Fernandez
2228,PRESERVED_SPECIMEN,Copaifera camibar,1537190,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2229,PRESERVED_SPECIMEN,Copaifera camibar,1537195,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2230,PRESERVED_SPECIMEN,Copaifera camibar,1537191,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2231,PRESERVED_SPECIMEN,Copaifera camibar,1537194,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2232,PRESERVED_SPECIMEN,Copaifera camibar,1537188,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2233,PRESERVED_SPECIMEN,Copaifera camibar,1537192,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2234,PRESERVED_SPECIMEN,Copaifera camibar,1537189,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2239,PRESERVED_SPECIMEN,Copaifera camibar,1537193,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2240,PRESERVED_SPECIMEN,Copaifera camibar,1537197,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
