,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1998,PRESERVED_SPECIMEN,Cordia croatii,1572409,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1990.0,1,1,1,,WGS84,2019,Carlos Chavez
2270,PRESERVED_SPECIMEN,Cordia croatii,1538073,GBIF,,Manuel Vargas,,8.897719,-82.758371,Mellizas. Finca Santa Marta. Pie Cerro Quijada del Diablo.,1997.0,1,1,1,,WGS84,2019,Enia Navarro
2271,PRESERVED_SPECIMEN,Cordia croatii,1538074,GBIF,,Manuel Vargas,,8.897719,-82.758371,Mellizas. Finca Santa Marta. Pie Cerro Quijada del Diablo.,1997.0,1,1,1,,WGS84,2019,Enia Navarro
2273,PRESERVED_SPECIMEN,Cordia croatii,1538075,GBIF,,Manuel Vargas,,8.897719,-82.758371,Mellizas. Finca Santa Marta. Pie Cerro Quijada del Diablo.,1997.0,1,1,1,,WGS84,2019,Enia Navarro
2275,PRESERVED_SPECIMEN,Cordia croatii,1538076,GBIF,,Manuel Vargas,,8.897719,-82.758371,Mellizas. Finca Santa Marta. Pie Cerro Quijada del Diablo.,1997.0,1,1,1,,WGS84,2019,Enia Navarro
2488,PRESERVED_SPECIMEN,Cordia croatii,1595754,GBIF,,Manuel Vargas,,10.35,-84.81666700000001,"Rio Negro, Tilaran. Finca Hermanos Bello.",1987.0,1,1,1,,WGS84,2019,William Haber
2964,PRESERVED_SPECIMEN,Cordia croatii,1604398,GBIF,,Manuel Vargas,,10.425278,-84.906389,"Quebrada Grande, La Chiripa, Division del Rio Chiquito y Rio Canas.",1993.0,1,1,1,,WGS84,2019,Erick Bello
2965,PRESERVED_SPECIMEN,Cordia croatii,1604421,GBIF,,Manuel Vargas,,10.320833,-84.775,"Valle del Rio Penas Blancas, Quebrada El Valle",1993.0,1,1,1,,WGS84,2019,Erick Bello
3869,PRESERVED_SPECIMEN,Cordia croatii,2846870,GBIF,,Manuel Vargas,,8.898627000000001,-82.759733,Z.P. Las Tablas. Sabalito. Faldas de Quijada del Diablo.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3870,PRESERVED_SPECIMEN,Cordia croatii,2846871,GBIF,,Manuel Vargas,,8.898627000000001,-82.759733,Z.P. Las Tablas. Sabalito. Faldas de Quijada del Diablo.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3873,PRESERVED_SPECIMEN,Cordia croatii,2846872,GBIF,,Manuel Vargas,,8.898627000000001,-82.759733,Z.P. Las Tablas. Sabalito. Faldas de Quijada del Diablo.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
4155,PRESERVED_SPECIMEN,Cordia croatii,2852669,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4156,PRESERVED_SPECIMEN,Cordia croatii,2852666,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4157,PRESERVED_SPECIMEN,Cordia croatii,2852668,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4158,PRESERVED_SPECIMEN,Cordia croatii,2852665,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4159,PRESERVED_SPECIMEN,Cordia croatii,2852667,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
5750,PRESERVED_SPECIMEN,Cordia croatii,3100991,GBIF,,Manuel Vargas,,10.712348,-85.1186,Z.P. Miravalles. Finca Río Naranjo.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
5751,PRESERVED_SPECIMEN,Cordia croatii,3100993,GBIF,,Manuel Vargas,,10.712348,-85.1186,Z.P. Miravalles. Finca Río Naranjo.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
5752,PRESERVED_SPECIMEN,Cordia croatii,3100992,GBIF,,Manuel Vargas,,10.712348,-85.1186,Z.P. Miravalles. Finca Río Naranjo.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
5753,PRESERVED_SPECIMEN,Cordia croatii,3100990,GBIF,,Manuel Vargas,,10.712348,-85.1186,Z.P. Miravalles. Finca Río Naranjo.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
5754,PRESERVED_SPECIMEN,Cordia croatii,3100994,GBIF,,Manuel Vargas,,10.712348,-85.1186,Z.P. Miravalles. Finca Río Naranjo.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
6617,PRESERVED_SPECIMEN,Cordia croatii,3428176,GBIF,,Manuel Vargas,,9.031997,-82.964502,Estación Pittier,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6618,PRESERVED_SPECIMEN,Cordia croatii,3428177,GBIF,,Manuel Vargas,,9.031997,-82.964502,Estación Pittier,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6619,PRESERVED_SPECIMEN,Cordia croatii,3428175,GBIF,,Manuel Vargas,,9.031997,-82.964502,Estación Pittier,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6622,PRESERVED_SPECIMEN,Cordia croatii,3428174,GBIF,,Manuel Vargas,,9.031997,-82.964502,Estación Pittier,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
7767,PRESERVED_SPECIMEN,Cordia croatii,3884855,GBIF,,Manuel Vargas,,9.8,-84.45277800000001,"Potenciana arriba, cerca del Cerro Turrubares.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
7768,PRESERVED_SPECIMEN,Cordia croatii,3884856,GBIF,,Manuel Vargas,,9.8,-84.45277800000001,"Potenciana arriba, cerca del Cerro Turrubares.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
7769,PRESERVED_SPECIMEN,Cordia croatii,3884857,GBIF,,Manuel Vargas,,9.8,-84.45277800000001,"Potenciana arriba, cerca del Cerro Turrubares.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
10858,PRESERVED_SPECIMEN,Cordia croatii,4142105,GBIF,,Manuel Vargas,,9.821472,-83.48700000000001,"Tayutic, Piedra Redonda.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Manuel Angel Zumbado ; Roberth González
10862,PRESERVED_SPECIMEN,Cordia croatii,4142102,GBIF,,Manuel Vargas,,9.821472,-83.48700000000001,"Tayutic, Piedra Redonda.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Manuel Angel Zumbado ; Roberth González
10863,PRESERVED_SPECIMEN,Cordia croatii,4142103,GBIF,,Manuel Vargas,,9.821472,-83.48700000000001,"Tayutic, Piedra Redonda.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Manuel Angel Zumbado ; Roberth González
10864,PRESERVED_SPECIMEN,Cordia croatii,4142106,GBIF,,Manuel Vargas,,9.821472,-83.48700000000001,"Tayutic, Piedra Redonda.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Manuel Angel Zumbado ; Roberth González
10865,PRESERVED_SPECIMEN,Cordia croatii,4142104,GBIF,,Manuel Vargas,,9.821472,-83.48700000000001,"Tayutic, Piedra Redonda.",2008.0,1,1,1,,WGS84,2019,Daniel Solano; Manuel Angel Zumbado ; Roberth González
12618,PRESERVED_SPECIMEN,Cordia croatii,4439583,GBIF,,Manuel Vargas,,10.978593,-85.43034300000001,P.N. Guanacaste. Estación Pitilla.,2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; M. Pengfei ; Roberto Espinoza ; Enia Navarro
12619,PRESERVED_SPECIMEN,Cordia croatii,4439582,GBIF,,Manuel Vargas,,10.978593,-85.43034300000001,P.N. Guanacaste. Estación Pitilla.,2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; M. Pengfei ; Roberto Espinoza ; Enia Navarro
12620,PRESERVED_SPECIMEN,Cordia croatii,4439581,GBIF,,Manuel Vargas,,10.978593,-85.43034300000001,P.N. Guanacaste. Estación Pitilla.,2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; M. Pengfei ; Roberto Espinoza ; Enia Navarro
15005,PRESERVED_SPECIMEN,Cordia croatii,2880190,GBIF,Bello Carranza 3381,Manuel Vargas,,10.33333,-84.83333,"Monteverde, San Luis valley on Pacific slope",1985.0,1,1,1,,WGS84,2019,Erick Bello C.
15091,PRESERVED_SPECIMEN,Cordia croatii,2895479,GBIF,Alfaro Vindas 2308,Manuel Vargas,,8.898610000000001,-82.75972,"Cuenca Terraba-Sierpe. Z.P. Tablas. En las Faldas de Quijada del Diablo, colectando en bosque y potrero",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
17308,PRESERVED_SPECIMEN,Cordia croatii,436646,GBIF,Haber 3381,Manuel Vargas,,10.333333,-84.833333,"Monteverde Reserve, Cerro Amigos in area of TV towers, cloud forest.",1985.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
17310,PRESERVED_SPECIMEN,Cordia croatii,436761,GBIF,Haber 7138,Manuel Vargas,,10.35,-84.81666,"Río Negro, Tilarán. Finca Hermanos Bello.",1987.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
17313,PRESERVED_SPECIMEN,Cordia croatii,437172,GBIF,Chávez Obando 173,Manuel Vargas,,10.990556,-85.427778,"Parque Nacional Guanacaste. La Cruz, 9 Km al sur de Santa Cecília, Estación Pitilla.",1990.0,1,1,1,,WGS84,2019,Carlos Chávez|Curso II de Parataxónomos
17323,PRESERVED_SPECIMEN,Cordia croatii,438867,GBIF,Aguilar Fernández 1012,Manuel Vargas,,9.430556,-83.05555600000001,"Bratsi. Alto Lari. Siguiendo la fila entre Río Dapari y Río Lari, bajando hasta el cauce del mismo.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar|Heidi H. Schmidt
17326,PRESERVED_SPECIMEN,Cordia croatii,439281,GBIF,Gentry 48851,Manuel Vargas,,10.8,-84.833333,"Monteverde, Reserva Forestal, lower montane rain forest.  Transect # 2.",1984.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|William A. Haber|OTS Class 84-3
17327,PRESERVED_SPECIMEN,Cordia croatii,439304,GBIF,McPherson 11976,Manuel Vargas,,8.75,-82.25,"Vicinity of Fortuna Dam, along trail below highway and across the valley of the Hornito; forest.",1988.0,1,1,1,,WGS84,2019,Gordon McPherson
17328,PRESERVED_SPECIMEN,Cordia croatii,439590,GBIF,McPherson 12302,Manuel Vargas,,8.75,-82.25,"Vicinity of Fortuna Dam, along trail across valley de Rio Hornito.",1988.0,1,1,1,,WGS84,2019,Gordon McPherson
18820,PRESERVED_SPECIMEN,Cordia croatii,L.2750480,GBIF,,Manuel Vargas,,10.333333,-84.833333,"Prov. Puntarenas; Monteverde, San Luis valley on Pacific slope.",1985.0,1,1,1,,WGS84,2019,Bello C.; E.
18822,PRESERVED_SPECIMEN,Cordia croatii,L.3740839,GBIF,,Manuel Vargas,,8.75,-82.25,"Chiriqui: Vicinity of Fortuna Dam, along trail across valley de Rio Hornito. 1100-1250m.",1988.0,1,1,1,,WGS84,2019,McPherson GD
22848,PRESERVED_SPECIMEN,Cordia croatii,156323,GBIF,,Manuel Vargas,,10.3,-84.8,R.B. Monteverde Nuboso Trail at marker 11,1990.0,1,1,1,,WGS84,2019,"Haber, William"
22859,PRESERVED_SPECIMEN,Cordia croatii,174279,GBIF,,Manuel Vargas,,10.29,-84.07,"P.N. Braulio Carrillo Puesto el Ceibo, on ridge crest 250 m E of Transect Trail, primary premontane wet forest.",1994.0,1,1,1,,WGS84,2019,"Boyle, Brad"
22862,PRESERVED_SPECIMEN,Cordia croatii,183204,GBIF,,Manuel Vargas,,10.92,-85.47,P.N. Guanacaste Estación Cacao.,1990.0,1,1,1,,WGS84,2019,"Chávez, Carlos"
22870,PRESERVED_SPECIMEN,Cordia croatii,210208,GBIF,,Manuel Vargas,,10.58,-84.6,"Hotel Eco Lodge, sendero Ilusión",1997.0,1,1,1,,WGS84,2019,"Rivera, Gerardo"
22873,PRESERVED_SPECIMEN,Cordia croatii,212632,GBIF,,Manuel Vargas,,10.78,-85.25,"P.N. Rincón de la Vieja Sendero Los Moras, camino a Colonia Blanca.",1990.0,1,1,1,,WGS84,2019,"Rivera, Gerardo"
22877,PRESERVED_SPECIMEN,Cordia croatii,226031,GBIF,,Manuel Vargas,,8.84,-83.09,R.I. Guaymí,2002.0,1,1,1,,WGS84,2019,"Frances, Anne"
33852,PRESERVED_SPECIMEN,Cordia croatii,V0076258F,GBIF,23059,Manuel Vargas,,8.1667,-81.25,,1973.0,1,1,1,,WGS84,2019,T. B. Croat
36872,PRESERVED_SPECIMEN,Cordia croatii,900060,GBIF,Bello Carranza 5110,Manuel Vargas,,10.42,-84.9,"R.B. Monteverde; Cord. de Tilarán, Quebrada Grande, La Chiripa, División del Río Chiquito y R. Cañas.",1993.0,1,1,1,,WGS84,2019,Erick Bello C.|William A. Haber
36879,PRESERVED_SPECIMEN,Cordia croatii,900200,GBIF,Bello Carranza 5214,Manuel Vargas,,10.320833,-84.775,"Reserva Biológica Monteverde, Cordillera de Tilarán, Valle del Río Peñas Blancas, Quebrada el Valle.",1993.0,1,1,1,,WGS84,2019,Erick Bello C.|Eladio Cruz L.
38723,PRESERVED_SPECIMEN,Cordia croatii,100501088,GBIF,Bustamante Bustamante 262,Manuel Vargas,,9.8,-84.45278,No protegida. Cuenca del Tárcoles. La Potenciana.,2001.0,1,1,1,,WGS84,2019,Julio Bustamante
38888,PRESERVED_SPECIMEN,Cordia croatii,100522022,GBIF,Solano Peralta 5309,Manuel Vargas,,9.821472,-83.48700000000001,R.I. Chirripó.  Cuenca del Pacuare.  Moravia de Chiripó (Grano de Oro).  Finca de Javier Rivera.  Trocha hacia El Seis.,2008.0,1,1,1,,WGS84,2019,Daniel Solano|Manuel Á. Zumbado|R. González
39031,PRESERVED_SPECIMEN,Cordia croatii,100565983,GBIF,Acosta Vargas 2275,Manuel Vargas,,9.031945,-82.964444,P.N. La Amistad. Cuenca Térraba-Sierpe. Sendero a la toma de agua de la planta eléctrica.,2000.0,1,1,1,,WGS84,2019,Luis Acosta|Víctor H. Ramírez
39117,PRESERVED_SPECIMEN,Cordia croatii,100599368,GBIF,Quesada Quesada 492,Manuel Vargas,,10.88291,-85.401652,C.B. Guanacaste-Rincón de la Vieja. Cuenca del Pizote. San Cristobal.,1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
39198,PRESERVED_SPECIMEN,Cordia croatii,BM000906009,GBIF,23059,Manuel Vargas,,8.507188000000001,-80.102665,,1973.0,1,1,1,,WGS84,2019,T.B. Croat
40193,PRESERVED_SPECIMEN,Cordia croatii,3634519,GBIF,7138,Manuel Vargas,,10.35,-84.82,"Río Negro, Tilarán Finca Hermanos Bello.",1987.0,1,1,1,,WGS84,2019,W. Haber & E. Bello C.
43189,MATERIAL_SAMPLE,Cordia croatii,BioBot06787,GBIF,,Manuel Vargas,,10.901,-85.27600000000001,"Area de Conservacion Guanacaste, Sector Rincon Rain Forest, Sendero Rincon",2012.0,1,1,1,,WGS84,2019,Jorge Hernandez
49677,PRESERVED_SPECIMEN,Cordia croatii,1299819,GBIF,Croat 23059,Manuel Vargas,,8.513056,-81.115,5 miles W of Santa Fé on road past Escuela Agricola Alto Piedra on Pacific side of divide.,1973.0,1,1,1,,WGS84,2019,Thomas B. Croat
50719,PRESERVED_SPECIMEN,Cordia croatii,1436583,GBIF,Hammel 5829,Manuel Vargas,,8.816667,-82.4,"Chiriquí and Bocas del Toro provinces, along trail from end of Río Palo Alto road to Chiriquí border with Bocas del Toro province near peak of Cerro Pate Macho.",1978.0,1,1,1,,WGS84,2019,Barry E. Hammel
50722,PRESERVED_SPECIMEN,Cordia croatii,1437813,GBIF,Dryer 1054,Manuel Vargas,,10.29,-84.78,Bosque primario cerca de Divis. Continental (Ventana),1976.0,1,1,1,,WGS84,2019,Valerie J. Dryer
