,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1413,PRESERVED_SPECIMEN,Cordia liesneri,1559353,GBIF,,Manuel Vargas,,8.752778,-83.377778,Los Mogos. 25 Km O de Chacarita hacia Rincon. Bosque primario.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1772,PRESERVED_SPECIMEN,Cordia liesneri,1565441,GBIF,,Manuel Vargas,,8.75,-83.266667,"Rio Esquinas. Zona rocosa junto a la Quebrada Arenas. Bosque primario y secundario, alterados.",1991.0,1,1,1,,WGS84,2019,Geovanny Cordero
3227,PRESERVED_SPECIMEN,Cordia liesneri,1582171,GBIF,,Manuel Vargas,,8.716667,-83.580556,Fila que va a Rancho Quemado.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3228,PRESERVED_SPECIMEN,Cordia liesneri,1582170,GBIF,,Manuel Vargas,,8.722222,-83.44166700000001,"Los Mogos; Bahia Chal, junto a la playa.",1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3297,PRESERVED_SPECIMEN,Cordia liesneri,1583601,GBIF,,Manuel Vargas,,8.566667,-83.516667,Estacion Los Patos.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4882,PRESERVED_SPECIMEN,Cordia liesneri,2919153,GBIF,,Manuel Vargas,,8.711111,-83.516667,En la fila al N del antiguo campo de aterrizaje a lo largo de Quebrada Aguabuena; Estacion Aguabuena de Boscosa,1990.0,1,1,1,,WGS84,2019,Barry Hammel
4883,PRESERVED_SPECIMEN,Cordia liesneri,2919179,GBIF,,Manuel Vargas,,8.766667,-83.366667,Entre Chacarita y Rincon; ca. 25 km de Chacarita; area de Alto Los Mogos.,1990.0,1,1,1,,WGS84,2019,Barry Hammel
4884,PRESERVED_SPECIMEN,Cordia liesneri,2919201,GBIF,,Manuel Vargas,,8.8,-83.283333,2-3 km NW de Chacarita. Bosques ppoco o nada alterados a la orilla de la Carretera Interamericana,1991.0,1,1,1,,WGS84,2019,Barry Hammel
5066,PRESERVED_SPECIMEN,Cordia liesneri,2925281,GBIF,,Manuel Vargas,,8.688889,-83.55833299999999,"Fila Banegas. Rancho Quemado, Sector Este.",1992.0,1,1,1,,WGS84,2019,Juan Marin
5221,PRESERVED_SPECIMEN,Cordia liesneri,2905795,GBIF,,Manuel Vargas,,8.758333,-83.375,"Los Mogos, a 20 Km de Chacarita.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
5424,PRESERVED_SPECIMEN,Cordia liesneri,2913149,GBIF,,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemado, near Rincon.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
7680,PRESERVED_SPECIMEN,Cordia liesneri,3865256,GBIF,,Manuel Vargas,,9.142778,-83.67611099999999,La Unión de Uvita; cima del Cerro Ballena.  Bosques bajo explotación.,2003.0,1,1,1,,WGS84,2019,Jose González
7681,PRESERVED_SPECIMEN,Cordia liesneri,3865257,GBIF,,Manuel Vargas,,9.142778,-83.67611099999999,La Unión de Uvita; cima del Cerro Ballena.  Bosques bajo explotación.,2003.0,1,1,1,,WGS84,2019,Jose González
9103,PRESERVED_SPECIMEN,Cordia liesneri,4027409,GBIF,,Manuel Vargas,,8.671667,-83.504722,R.F. Golfo Dulce.,2006.0,1,1,1,,WGS84,2019,Daniel Solano; Reinaldo Aguilar ; Hiroshe Tobe ; Jun Okada
9104,PRESERVED_SPECIMEN,Cordia liesneri,4027410,GBIF,,Manuel Vargas,,8.671667,-83.504722,R.F. Golfo Dulce.,2006.0,1,1,1,,WGS84,2019,Daniel Solano; Reinaldo Aguilar ; Hiroshe Tobe ; Jun Okada
9950,PRESERVED_SPECIMEN,Cordia liesneri,4068885,GBIF,,Manuel Vargas,,8.683333,-83.541667,"Banegas, camino a Rancho Quemado.",2006.0,1,1,1,,WGS84,2019,Daniel Santamaría
12362,PRESERVED_SPECIMEN,Cordia liesneri,4372647,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
12365,PRESERVED_SPECIMEN,Cordia liesneri,4372646,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
12370,PRESERVED_SPECIMEN,Cordia liesneri,4372645,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
17309,PRESERVED_SPECIMEN,Cordia liesneri,436716,GBIF,Croat 59759,Manuel Vargas,,8.683333,-83.541667,"Along road between Rincón de Osa and Rancho Quemado, ca. 10 km W of main Rincón-Pto. Jimenez Road.",1985.0,1,1,1,,WGS84,2019,Thomas B. Croat|Michael H. Grayum
17314,PRESERVED_SPECIMEN,Cordia liesneri,437230,GBIF,Cordero 212,Manuel Vargas,,8.75,-83.26,"Río Esquinas. Zona rocosa junto a la Quebrada Arenas. Bosque primario y secundario, alterados.",1991.0,1,1,1,,WGS84,2019,Geovanny Cordero
17317,PRESERVED_SPECIMEN,Cordia liesneri,437655,GBIF,Marín Alpízar 486,Manuel Vargas,,8.688889,-83.55833299999999,"Fila Banegas. Rancho Quemado, Sector Este. Sierpe.",1992.0,1,1,1,,WGS84,2019,Juan Marín
17324,PRESERVED_SPECIMEN,Cordia liesneri,438894,GBIF,Aguilar Fernández 887,Manuel Vargas,,8.75,-83.37,Reserva Forestal Golfo Dulce Mogos. A 20 Km de Chacarita.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
17325,PRESERVED_SPECIMEN,Cordia liesneri,438904,GBIF,Aguilar Fernández 603,Manuel Vargas,,8.77,-83.37,Reserva Forestal Golfo Dulce Cantón de Osa; 25 Km O de Chacarita por la carretera entre Rincón y Chacarita. Bosque primario.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar|Barry E. Hammel
22841,PRESERVED_SPECIMEN,Cordia liesneri,119666,GBIF,,Manuel Vargas,,8.68,-83.53,Along road between Rincón and Rancho Quemado.,1985.0,1,1,1,,WGS84,2019,"Croat, Thomas B."
22845,PRESERVED_SPECIMEN,Cordia liesneri,153799,GBIF,,Manuel Vargas,,8.8,-83.26,Bosque primario a orilla de la carretera interamericana 3 km de Chacarita.,1991.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
22846,PRESERVED_SPECIMEN,Cordia liesneri,153816,GBIF,,Manuel Vargas,,8.71,-83.51,"R.F. Golfo Dulce En la Fila al N del antiguo campop de aterrizaje a lo largo de Quebrada Aguabuena, estación Aguabuena de BOSCOSA.",1990.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
22847,PRESERVED_SPECIMEN,Cordia liesneri,153842,GBIF,,Manuel Vargas,,8.76,-83.36,"R.F. Golfo Dulce Entre Chacarita y Rincón, ca. 25 km de Chacarita, área de Los Mogos.",,1,1,1,,WGS84,2019,"Hammel, Barry E."
22850,PRESERVED_SPECIMEN,Cordia liesneri,160259,GBIF,,Manuel Vargas,,8.68,-83.55,"Fila Banegas, Rancho Quemado,sectore este.",1992.0,1,1,1,,WGS84,2019,"Marín, Juan"
22853,PRESERVED_SPECIMEN,Cordia liesneri,165472,GBIF,,Manuel Vargas,,8.75,-83.37,R.F. Golfo Dulce Mogos a 20 km de Chacarita.,1992.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
22854,PRESERVED_SPECIMEN,Cordia liesneri,168341,GBIF,,Manuel Vargas,,8.73,-83.6,"R.F. Golfo Dulce Boca ganado, Fila Ganado.",1993.0,1,1,1,,WGS84,2019,"Vargas, Gustavo"
22855,PRESERVED_SPECIMEN,Cordia liesneri,168440,GBIF,,Manuel Vargas,,8.73,-83.6,"R.F. Golfo Dulce Boca ganado, Fila Ganado.",1993.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
22856,PRESERVED_SPECIMEN,Cordia liesneri,169409,GBIF,,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemado, near Rincón .",1993.0,1,1,1,,WGS84,2019,"Gentry, Alwyn H."
22861,PRESERVED_SPECIMEN,Cordia liesneri,177188,GBIF,,Manuel Vargas,,8.71,-83.51,"Aguabuena, 3.5 km W of Rincón. Four hectare permanent sample plot 1 km N of BOSCOSA, station in well-drained undulating terrain with slopes of 15-35 º. Tall primary forest with many palms and large lianas.",1993.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
22865,PRESERVED_SPECIMEN,Cordia liesneri,185830,GBIF,,Manuel Vargas,,8.68,-83.21,"Sección bosque de los Austriacos, la Gamba.",1994.0,1,1,1,,WGS84,2019,"Huber, Werner"
