,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
901,PRESERVED_SPECIMEN,Coursetia elliptica,1509250,GBIF,,Manuel Vargas,,10.811111,-85.233333,"Aguas Claras, camino a las Colonias, Valle Verde.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1327,PRESERVED_SPECIMEN,Coursetia elliptica,1557390,GBIF,,Manuel Vargas,,10.35,-85.350001,Cerro Guayacan. Bosque secundario.,1991.0,1,1,1,,WGS84,2019,Ulises Chavarría
1541,PRESERVED_SPECIMEN,Coursetia elliptica,1561017,GBIF,,Manuel Vargas,,10.834722,-85.615278,Bosque primario y secundario en los alrededores del Centro Historico.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2044,PRESERVED_SPECIMEN,Coursetia elliptica,1573596,GBIF,,Manuel Vargas,,10.777778,-85.351389,Estacion Las Pailas. Sendero Santa Maria,1993.0,1,1,1,,WGS84,2019,Roberto Espinoza
2080,PRESERVED_SPECIMEN,Coursetia elliptica,1574815,GBIF,,Manuel Vargas,,10.763889,-85.313889,"Sendero al Volcan, 4 Km al O de la casa de la Administracion.",1991.0,1,1,1,,WGS84,2019,Gerardo Rivera
2288,PRESERVED_SPECIMEN,Coursetia elliptica,1587576,GBIF,,Manuel Vargas,,10.815278,-85.611389,Estacion Santa Rosa. Camino a Playa Naranjo.,1994.0,1,1,1,,WGS84,2019,Roberto Espinoza
2401,PRESERVED_SPECIMEN,Coursetia elliptica,1593279,GBIF,,Manuel Vargas,,10.895833,-85.893333,Fila Peninsula Santa Elena. Frente a Islas San Jose.,1994.0,1,1,1,,WGS84,2019,Roberto Espinoza
3695,PRESERVED_SPECIMEN,Coursetia elliptica,2817441,GBIF,,Manuel Vargas,,10.836111,-85.615278,Area administrativa,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
3696,PRESERVED_SPECIMEN,Coursetia elliptica,2817443,GBIF,,Manuel Vargas,,10.836111,-85.615278,Area administrativa,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
3697,PRESERVED_SPECIMEN,Coursetia elliptica,2817444,GBIF,,Manuel Vargas,,10.836111,-85.615278,Area administrativa,1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
