,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2789,PRESERVED_SPECIMEN,Croton corinthius,1601447,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
2790,PRESERVED_SPECIMEN,Croton corinthius,1601454,GBIF,,Manuel Vargas,,10.441667,-83.788889,Finca La Suerte.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
7625,PRESERVED_SPECIMEN,Croton corinthius,3826566,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
7626,PRESERVED_SPECIMEN,Croton corinthius,3826571,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
7627,PRESERVED_SPECIMEN,Croton corinthius,3826564,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
7628,PRESERVED_SPECIMEN,Croton corinthius,3826565,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
7629,PRESERVED_SPECIMEN,Croton corinthius,3826570,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
7630,PRESERVED_SPECIMEN,Croton corinthius,3826567,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
7631,PRESERVED_SPECIMEN,Croton corinthius,3826569,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
7632,PRESERVED_SPECIMEN,Croton corinthius,3826568,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
7633,PRESERVED_SPECIMEN,Croton corinthius,3826572,GBIF,,Manuel Vargas,,10.198611,-83.906944,"Guacimo. Centro Ecologico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,Jose González
12893,PRESERVED_SPECIMEN,Croton corinthius,V0477920F,GBIF,600,Manuel Vargas,,10.0114,-83.9519,,2006.0,1,1,1,,WGS84,2019,B. W. van Ee & M. van Ee
19861,PRESERVED_SPECIMEN,Croton corinthius,1660989,GBIF,,Manuel Vargas,,10.203917,-83.88780600000001,"about 100 m up-slope on E bank of Rio Corinto, approx. 1.5 km S of where Hwy. 32 crosses the river. Enter by trial accross hwy. from Restaraunt Crinto",2006.0,1,1,1,,WGS84,2019,"Benjamin Van Ee, Melissa Van Ee"
35951,PRESERVED_SPECIMEN,Croton corinthius,983154,GBIF,González Ramírez 725,Manuel Vargas,,10.198611,-83.906944,"Reserva Forestal Cordillera Volcánica Central. Cuenca del Sarapiquí. Guácimo. Centro Ecológico Morpho, sendero Corinto.",1995.0,1,1,1,,WGS84,2019,José Á. González R.
36650,PRESERVED_SPECIMEN,Croton corinthius,894252,GBIF,González Ramírez 196,Manuel Vargas,,10.19,-83.88,"Arbol pequeno, 9 m x 13 cm DAP, corteza lisa, grissacea; follaje aromatico al estrujario; con botones florales; algunos restos frutales en el suelo. Creciendo a orilla de sendero cercano al rio Corinto.",1992.0,1,1,1,,WGS84,2019,José Á. González R.|Luis J. Poveda Álvarez|A. Barquero
39851,PRESERVED_SPECIMEN,Croton corinthius,MA-01-00734745,GBIF,725,Manuel Vargas,,10.1986,-83.9069,"Limón: Pococí R.F. Cordillera Volcánica Central. Cuenca del Sarapiquí. Guacimo. Centro Ecológico Morpho, sendero Corinto",1995.0,1,1,1,,WGS84,2019,"González, J."
47960,PRESERVED_SPECIMEN,Croton corinthius,100778999,GBIF,van Ee 600,Manuel Vargas,,10.203917,-83.887805,"About 100m up-slope on E bank of Rio Corinto, approx. 1.5km S of where Hwy. 32 crosses the river. Enter by trail across hwy. from Restaurant Corinto.",2006.0,1,1,1,,WGS84,2019,Benjamin W. van Ee|Melissa A. van Ee
49092,PRESERVED_SPECIMEN,Croton corinthius,1257792,GBIF,Aguilar Fernández 4192,Manuel Vargas,,10.43,-83.78,Llanura de Santa Clara. Finca La Suerte.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar|Kelly Keefe
