,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1587,PRESERVED_SPECIMEN,Damburneya cufodontisii,1561593,GBIF,,Manuel Vargas,,9.55,-83.7,"6 km East of Siberia near Cerro de la Muerte on Carretera Interamericana, next to CATIE Reserve, finca Cuerici, montane rain forest on Pacific slope.",1992.0,1,1,1,,WGS84,2019,William Haber
1588,PRESERVED_SPECIMEN,Damburneya cufodontisii,1561594,GBIF,,Manuel Vargas,,9.860555999999999,-84.13,"Rio Poas, final de sendero.",1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1595,PRESERVED_SPECIMEN,Damburneya cufodontisii,1561596,GBIF,,Manuel Vargas,,9.849167,-84.14027800000001,Cedral. Cerros Rabo de Mico y Pico Alto. Bosque secundario.,1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1602,PRESERVED_SPECIMEN,Damburneya cufodontisii,1561595,GBIF,,Manuel Vargas,,9.849167,-84.14027800000001,Cedral. Bosque primario y secundario en la falda norte del cerro Rabo de Mico. Cuenca del rio Poas.,1991.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1775,PRESERVED_SPECIMEN,Damburneya cufodontisii,1565559,GBIF,,Manuel Vargas,,9.841667,-84.10972199999999,El Cedral; Alto Hierbabuena; bosque secundario y potreros en la falda S.E.,1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1786,PRESERVED_SPECIMEN,Damburneya cufodontisii,1565685,GBIF,,Manuel Vargas,,10.101666999999999,-84.101389,Alrededores de Rio Porrosati.,1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
1792,PRESERVED_SPECIMEN,Damburneya cufodontisii,1565828,GBIF,,Manuel Vargas,,10.126389,-84.116667,Sendero Cerro Guarari.,1989.0,1,1,1,,WGS84,2019,Gerardo Rivera
1794,PRESERVED_SPECIMEN,Damburneya cufodontisii,1565944,GBIF,,Manuel Vargas,,10.125,-84.133333,Costado sur Cerro Guarari.,1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
1795,PRESERVED_SPECIMEN,Damburneya cufodontisii,1565943,GBIF,,Manuel Vargas,,10.116667,-84.122222,"Orilla carretera, 100 m N de Soda La Campesina, 1 Km de Sacramento.",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
1796,PRESERVED_SPECIMEN,Damburneya cufodontisii,1565941,GBIF,,Manuel Vargas,,10.116667,-84.127778,"Camino a Carrizal, costado Sur del Cerro Guarani.",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
2254,PRESERVED_SPECIMEN,Damburneya cufodontisii,1537658,GBIF,,Manuel Vargas,,9.547222,-83.830556,"San Gerardo, finca Familia Viquez.",1996.0,1,1,1,,WGS84,2019,Henk van der Werff; Maarten Kappelle
2437,PRESERVED_SPECIMEN,Damburneya cufodontisii,1594414,GBIF,,Manuel Vargas,,9.726389,-83.963889,El Empalme.,1995.0,1,1,1,,WGS84,2019,Armando Estrada
2549,PRESERVED_SPECIMEN,Damburneya cufodontisii,1596380,GBIF,,Manuel Vargas,,10.133333,-84.105556,Volcan Barva.,1989.0,1,1,1,,WGS84,2019,Gerardo Rivera
2550,PRESERVED_SPECIMEN,Damburneya cufodontisii,1596382,GBIF,,Manuel Vargas,,10.126389,-84.116667,Sendero Cerro Guarari.,1989.0,1,1,1,,WGS84,2019,Gerardo Rivera
2602,PRESERVED_SPECIMEN,Damburneya cufodontisii,1596546,GBIF,,Manuel Vargas,,8.925,-82.761111,"Las Mellizas, Cerro La Neblina, cabeceras de Rio Negro. Alrededor de la Laguna.",1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
2604,PRESERVED_SPECIMEN,Damburneya cufodontisii,1596563,GBIF,,Manuel Vargas,,9.358333,-83.233333,Sendero de Quebrada Kuisa a Rio Lori. Entre Ujarras y San Jose Cabecar.,1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
2612,PRESERVED_SPECIMEN,Damburneya cufodontisii,1596558,GBIF,,Manuel Vargas,,9.297222,-83.258333,"Ujarras. Margen izquierda de Quebrada Dorora, camino a Rio Lori.",1993.0,1,1,1,,WGS84,2019,Gerardo Herrera
3006,PRESERVED_SPECIMEN,Damburneya cufodontisii,1605480,GBIF,,Manuel Vargas,,9.529722,-83.591667,Entre las Nacientes de la quebrada Barranco y Rio Blanco. Finca San Carlos.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3073,PRESERVED_SPECIMEN,Damburneya cufodontisii,1608049,GBIF,,Manuel Vargas,,9.833333,-84.02972199999999,,1995.0,1,1,1,,WGS84,2019,Maria M. Chavarría
3385,PRESERVED_SPECIMEN,Damburneya cufodontisii,1585938,GBIF,,Manuel Vargas,,9.529722,-83.591667,Entre las Nacientes de las quebradas Barranca y Rio Blanco. Finca San Carlos.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3474,PRESERVED_SPECIMEN,Damburneya cufodontisii,2823486,GBIF,,Manuel Vargas,,8.932986,-82.75919300000001,Camino a las Tablas,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3475,PRESERVED_SPECIMEN,Damburneya cufodontisii,2823484,GBIF,,Manuel Vargas,,8.932986,-82.75919300000001,Camino a las Tablas,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3476,PRESERVED_SPECIMEN,Damburneya cufodontisii,2823485,GBIF,,Manuel Vargas,,8.932986,-82.75919300000001,Camino a las Tablas,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3477,PRESERVED_SPECIMEN,Damburneya cufodontisii,2823487,GBIF,,Manuel Vargas,,8.932986,-82.75919300000001,Camino a las Tablas,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
3486,PRESERVED_SPECIMEN,Damburneya cufodontisii,2823963,GBIF,,Manuel Vargas,,8.975062,-82.77091,Z.P. Las Tablas. Sitio Coto Brus.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro; Edgar Mora ; Allan Jiménez ; Alexander Rojas
3489,PRESERVED_SPECIMEN,Damburneya cufodontisii,2823962,GBIF,,Manuel Vargas,,8.975062,-82.77091,Z.P. Las Tablas. Sitio Coto Brus.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro; Edgar Mora ; Allan Jiménez ; Alexander Rojas
3490,PRESERVED_SPECIMEN,Damburneya cufodontisii,2823964,GBIF,,Manuel Vargas,,8.975062,-82.77091,Z.P. Las Tablas. Sitio Coto Brus.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro; Edgar Mora ; Allan Jiménez ; Alexander Rojas
3535,PRESERVED_SPECIMEN,Damburneya cufodontisii,2824713,GBIF,,Manuel Vargas,,9.833889,-84.111111,"Tarbaca, carretera al Cedral, potreros arbolados y bosque remanente cruce a Saurez,1 Km antes, cabeceras Rio Tarbaca",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
3536,PRESERVED_SPECIMEN,Damburneya cufodontisii,2824716,GBIF,,Manuel Vargas,,9.833889,-84.111111,"Tarbaca, carretera al Cedral, potreros arbolados y bosque remanente cruce a Saurez,1 Km antes, cabeceras Rio Tarbaca",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
3537,PRESERVED_SPECIMEN,Damburneya cufodontisii,2824715,GBIF,,Manuel Vargas,,9.833889,-84.111111,"Tarbaca, carretera al Cedral, potreros arbolados y bosque remanente cruce a Saurez,1 Km antes, cabeceras Rio Tarbaca",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
3538,PRESERVED_SPECIMEN,Damburneya cufodontisii,2824714,GBIF,,Manuel Vargas,,9.833889,-84.111111,"Tarbaca, carretera al Cedral, potreros arbolados y bosque remanente cruce a Saurez,1 Km antes, cabeceras Rio Tarbaca",1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
