,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
16631,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,342897,GBIF,de Nevers 5471,Manuel Vargas,,9.3,-79.266667,Cerro Brewster.,1985.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Barry E. Hammel|Susan Charnley|Heraclio Herrera
33637,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,,GBIF,3580,Manuel Vargas,,9.1667,-80.0,,1968.0,1,1,1,,WGS84,2019,R. L. Dressler
34529,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,,GBIF,836,Manuel Vargas,,8.4833,-78.5,,1998.0,1,1,1,,WGS84,2019,S. Aguilar
34618,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,,GBIF,701,Manuel Vargas,,8.4833,-78.5,,1998.0,1,1,1,,WGS84,2019,S. Aguilar
39149,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,100645128,GBIF,Valenzuela Gamarra 20741,Manuel Vargas,,-10.421944,-75.315556,Dist. Palcazú. Izcozacín. Parque Nacional Yanachaga Chemillén. Parcela permanente TEAM 06 (VGYANCh 06).,2011.0,1,1,1,,WGS84,2019,Luis Valenzuela G.|J.L. Mateo|R. Rivera|C. Mateo|Edison Ballesteros
40940,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,2347244,GBIF,Hammel 3571,Manuel Vargas,,8.666667,-80.616667,"On ridge W of Sawmill above El Copé, Pacific drainage.",1978.0,1,1,1,,WGS84,2019,Barry E. Hammel
40948,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,2348247,GBIF,Correa A. 980,Manuel Vargas,,9.31666,-79.65,Al este de la zona montañosa de Santa Rita.,1968.0,1,1,1,,WGS84,2019,Mireya D. Correa A.|Robert L. Dressler
40952,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,2349289,GBIF,Hartman 12385,Manuel Vargas,,7.7083330000000005,-77.758333,"SW ridge leading to Alturas de Nique, on border with Colombia",1980.0,1,1,1,,WGS84,2019,Ronald L. Hartman
40955,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,2350289,GBIF,Dwyer 196,Manuel Vargas,,8.536660000000001,-80.105,Cerro Pelón,1968.0,1,1,1,,WGS84,2019,John D. Dwyer|B. R. Lallathin
40959,PRESERVED_SPECIMEN,Dendropanax alberti-smithii,2351121,GBIF,Mori 4706,Manuel Vargas,,9.277222,-78.931389,"El Llano-Cartí Road, 12.7 km from Inter-American Highway.",1975.0,1,1,1,,WGS84,2019,Scott A. Mori|Jacquelyn A. Kallunki|Alwyn H. Gentry
