,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1074,PRESERVED_SPECIMEN,Dendropanax ravenii,1513671,GBIF,,Manuel Vargas,,8.766667,-83.25,"Esquinas, orilla de potrero donde Emilio.",1993.0,1,1,1,,WGS84,2019,Javier Quesada
1383,PRESERVED_SPECIMEN,Dendropanax ravenii,1558898,GBIF,,Manuel Vargas,,8.716667,-83.533333,"Rincon, Fila Casa Loma.",1990.0,1,1,1,,WGS84,2019,Abelardo Chacon
2430,PRESERVED_SPECIMEN,Dendropanax ravenii,1594259,GBIF,,Manuel Vargas,,8.7,-83.55,"Ridge between Quebrada Aguabuena and Quebrada Banegas, ca. 5 km W of Rincon de Osa.",1984.0,1,1,1,,WGS84,2019,Michael H. Grayum
2465,PRESERVED_SPECIMEN,Dendropanax ravenii,1595388,GBIF,,Manuel Vargas,,8.684722,-83.570833,"Rancho Quemado, Fila Guerra, Rincon.",1992.0,1,1,1,,WGS84,2019,Marianella Segura
2469,PRESERVED_SPECIMEN,Dendropanax ravenii,1595459,GBIF,,Manuel Vargas,,8.666667,-83.56666700000001,Rancho Quemado; en el Sur del valle por las cabeceras de Quebrada Quebradon.,1991.0,1,1,1,,WGS84,2019,Barry Hammel
2470,PRESERVED_SPECIMEN,Dendropanax ravenii,1595456,GBIF,,Manuel Vargas,,8.772222,-83.377778,Los Mogos. Bahia Chal. Entrada Chocuaco.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2471,PRESERVED_SPECIMEN,Dendropanax ravenii,1595462,GBIF,,Manuel Vargas,,8.705556,-83.527778,"Aguabuena, cuenca superior de Quebrada El Campo.",1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
2474,PRESERVED_SPECIMEN,Dendropanax ravenii,1595477,GBIF,,Manuel Vargas,,8.7,-83.56666700000001,Rancho Quemado. Finca de Ruben Urena. Bosque primario. Rincon.,1991.0,1,1,1,,WGS84,2019,Javier Quesada
2479,PRESERVED_SPECIMEN,Dendropanax ravenii,1595478,GBIF,,Manuel Vargas,,8.7,-83.56666700000001,Camino a la toma de agua. Rancho Quemado Rincon. Bosque primario.,1990.0,1,1,1,,WGS84,2019,Javier Quesada
2768,PRESERVED_SPECIMEN,Dendropanax ravenii,1599357,GBIF,,Manuel Vargas,,8.716667,-83.516667,"Aguabuena, 3.5 km W of Rincon. Four hectare permanent sample plot 1 km N of Boscosa station in well drained.",1992.0,1,1,1,,WGS84,2019,Karsten Thomsen
