,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
805,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1531899,GBIF,,Manuel Vargas,,8.70505,-83.210487,Est. Rio Bonito. Sendero Zelandia,1996.0,1,1,1,,WGS84,2019,Eida Fletes
807,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1531898,GBIF,,Manuel Vargas,,8.70505,-83.210487,Est. Rio Bonito. Sendero Zelandia,1996.0,1,1,1,,WGS84,2019,Eida Fletes
809,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1531900,GBIF,,Manuel Vargas,,8.70505,-83.210487,Est. Rio Bonito. Sendero Zelandia,1996.0,1,1,1,,WGS84,2019,Eida Fletes
811,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1533383,GBIF,,Manuel Vargas,,9.031184,-83.014528,"1 Km SW del Cerro Biolley, Sector Altamira",1996.0,1,1,1,,WGS84,2019,Javier Quesada
812,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1533381,GBIF,,Manuel Vargas,,9.031184,-83.014528,"1 Km SW del Cerro Biolley, Sector Altamira",1996.0,1,1,1,,WGS84,2019,Javier Quesada
813,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1533384,GBIF,,Manuel Vargas,,9.031184,-83.014528,"1 Km SW del Cerro Biolley, Sector Altamira",1996.0,1,1,1,,WGS84,2019,Javier Quesada
814,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1533382,GBIF,,Manuel Vargas,,9.031184,-83.014528,"1 Km SW del Cerro Biolley, Sector Altamira",1996.0,1,1,1,,WGS84,2019,Javier Quesada
877,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1535317,GBIF,,Manuel Vargas,,9.39344,-83.589279,Estacion Santa Elena,1997.0,1,1,1,,WGS84,2019,Evelio Alfaro; Billen Gamboa R. ; Marianella Segura
878,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1535377,GBIF,,Manuel Vargas,,9.39344,-83.589279,Estacion Santa Elena,1997.0,1,1,1,,WGS84,2019,Evelio Alfaro
880,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1535378,GBIF,,Manuel Vargas,,9.39344,-83.589279,Estacion Santa Elena,1997.0,1,1,1,,WGS84,2019,Evelio Alfaro
882,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1535379,GBIF,,Manuel Vargas,,9.39344,-83.589279,Estacion Santa Elena,1997.0,1,1,1,,WGS84,2019,Evelio Alfaro
1073,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1513674,GBIF,,Manuel Vargas,,9.675,-84.197222,Entre Escuadra y Zoncuano por Hacienda Tiquires.,1995.0,1,1,1,,WGS84,2019,Barry Hammel
1185,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1516934,GBIF,,Manuel Vargas,,9.311944,-83.77194399999999,Fila Tinamastes; por la carretera entre Dominical y San Isidro; bosque humedo por una quebrada.,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1187,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1516932,GBIF,,Manuel Vargas,,9.311944,-83.77194399999999,Fila Tinamastes; por la carretera entre Dominical y San Isidro; bosque humedo por una quebrada.,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1188,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1516933,GBIF,,Manuel Vargas,,9.311944,-83.77194399999999,Fila Tinamastes; por la carretera entre Dominical y San Isidro; bosque humedo por una quebrada.,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1190,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1516931,GBIF,,Manuel Vargas,,9.311944,-83.77194399999999,Fila Tinamastes; por la carretera entre Dominical y San Isidro; bosque humedo por una quebrada.,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1284,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1556462,GBIF,,Manuel Vargas,,8.466667,-83.583333,"Sendero Ollas, de inicios del sendero hasta 20 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
1343,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1557824,GBIF,,Manuel Vargas,,9.766667,-84.533333,Mature moist forest Rio Carara near Carara Guard Post. INBio parataxonomy course.,1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
2463,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1595401,GBIF,,Manuel Vargas,,8.825,-83.195833,"Rio Piedras Blancas, 2 Km al Norte, alrededores de Cerro Anguciana.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2464,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1595394,GBIF,,Manuel Vargas,,9.430556,-83.05555600000001,"Alto Lari, siguiendo fila entre Rios Dapari y Lari, bajando hasta su cauce.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2476,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1595471,GBIF,,Manuel Vargas,,8.575,-83.575,Fila Estero Guerra. Sierpe.,1991.0,1,1,1,,WGS84,2019,Juan Marin
2949,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1604281,GBIF,,Manuel Vargas,,8.726526,-83.463101,Playa Isidora,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2951,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1604328,GBIF,,Manuel Vargas,,8.766667,-83.250001,Estacion Esquinas; Seccion Esquinas. Bosque primario.,1993.0,1,1,1,,WGS84,2019,Marianella Segura
2952,PRESERVED_SPECIMEN,Dendropanax sessiliflorus,1604308,GBIF,,Manuel Vargas,,9.391667,-83.597222,"Las Nubes, Santa Elena.",1995.0,1,1,1,,WGS84,2019,Evelio Alfaro
