,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1758,PRESERVED_SPECIMEN,Dichapetalum brenesii,1564774,GBIF,,Manuel Vargas,,10.25,-84.8,"Refugio Veracruz, Finca Los Salazar. Rio Veracruz, Vertiente Pacifica.",1990.0,1,1,1,,WGS84,2019,Erick Bello
2442,PRESERVED_SPECIMEN,Dichapetalum brenesii,1594480,GBIF,,Manuel Vargas,,10.094444000000001,-84.113889,"Porrosati, Finca alrededores de Rio Ciruelas.",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
2989,PRESERVED_SPECIMEN,Dichapetalum brenesii,1604904,GBIF,,Manuel Vargas,,10.075,-84.108333,Rio Porrosati. 50 m Norte de Parada de Buses de Paso Llano.,1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
3179,PRESERVED_SPECIMEN,Dichapetalum brenesii,1581042,GBIF,,Manuel Vargas,,10.3,-84.80000799999999,"Road to TV Towers on Cerro Amigos, lower montane rain forest.",1993.0,1,1,1,,WGS84,2019,William Haber
3664,PRESERVED_SPECIMEN,Dichapetalum brenesii,2816865,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
3665,PRESERVED_SPECIMEN,Dichapetalum brenesii,2816867,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
3667,PRESERVED_SPECIMEN,Dichapetalum brenesii,2816866,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
3668,PRESERVED_SPECIMEN,Dichapetalum brenesii,2816863,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
3669,PRESERVED_SPECIMEN,Dichapetalum brenesii,2816864,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
3720,PRESERVED_SPECIMEN,Dichapetalum brenesii,2818343,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
3721,PRESERVED_SPECIMEN,Dichapetalum brenesii,2818340,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
3722,PRESERVED_SPECIMEN,Dichapetalum brenesii,2818341,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
3723,PRESERVED_SPECIMEN,Dichapetalum brenesii,2818342,GBIF,,Manuel Vargas,,10.108364,-84.12257199999999,"Sacramento, San José de la Montaña",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
5324,PRESERVED_SPECIMEN,Dichapetalum brenesii,2909600,GBIF,,Manuel Vargas,,10.061111,-84.016667,"Zurqui Station. Just above Los Guarumos trail, nearly at high point. Primary wet montane forest.",1993.0,1,1,1,,WGS84,2019,Brad Boyle
5325,PRESERVED_SPECIMEN,Dichapetalum brenesii,2909604,GBIF,,Manuel Vargas,,10.061111,-84.016667,"Zurqui Station. Just above Los Guarumos trail, nearly at high point. Primary wet montane forest.",1993.0,1,1,1,,WGS84,2019,Brad Boyle
5334,PRESERVED_SPECIMEN,Dichapetalum brenesii,2909709,GBIF,,Manuel Vargas,,10.213056,-84.101389,Sendero del Transecto. 0.5 km South of junction at 1730 m with trail to La Legua de Barva. Primary Pluvial Montane Forest.,1994.0,1,1,1,,WGS84,2019,Brad Boyle
5502,PRESERVED_SPECIMEN,Dichapetalum brenesii,2916285,GBIF,,Manuel Vargas,,10.266667,-84.766667,"Monteverde. Rio Ojo de Agua, Division Continental.",1987.0,1,1,1,,WGS84,2019,William Haber
5512,PRESERVED_SPECIMEN,Dichapetalum brenesii,2916766,GBIF,,Manuel Vargas,,10.25,-84.766667,"Ojo de Agua, Finca de Alvarado. Lado pacifico.",1987.0,1,1,1,,WGS84,2019,William Haber
6138,PRESERVED_SPECIMEN,Dichapetalum brenesii,3372829,GBIF,,Manuel Vargas,,9.731829,-83.78018,"Paraíso, P.N. Tapantí-Macizo de la Muerte, Mirador",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6139,PRESERVED_SPECIMEN,Dichapetalum brenesii,3372828,GBIF,,Manuel Vargas,,9.731829,-83.78018,"Paraíso, P.N. Tapantí-Macizo de la Muerte, Mirador",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6140,PRESERVED_SPECIMEN,Dichapetalum brenesii,3372831,GBIF,,Manuel Vargas,,9.731829,-83.78018,"Paraíso, P.N. Tapantí-Macizo de la Muerte, Mirador",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6141,PRESERVED_SPECIMEN,Dichapetalum brenesii,3372830,GBIF,,Manuel Vargas,,9.731829,-83.78018,"Paraíso, P.N. Tapantí-Macizo de la Muerte, Mirador",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6557,PRESERVED_SPECIMEN,Dichapetalum brenesii,3425809,GBIF,,Manuel Vargas,,10.066667,-83.986111,Zurqui Station. Above (NE of) Rio Hondura.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
6558,PRESERVED_SPECIMEN,Dichapetalum brenesii,3425806,GBIF,,Manuel Vargas,,10.066667,-83.986111,Zurqui Station. Above (NE of) Rio Hondura.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
6559,PRESERVED_SPECIMEN,Dichapetalum brenesii,3425808,GBIF,,Manuel Vargas,,10.066667,-83.986111,Zurqui Station. Above (NE of) Rio Hondura.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
