,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2807,PRESERVED_SPECIMEN,Erythrina globocalyx,1601663,GBIF,,Manuel Vargas,,10.054167,-83.988889,"San Jeronimo, Alto de La Palma.",1995.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
6106,PRESERVED_SPECIMEN,Erythrina globocalyx,3368390,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6107,PRESERVED_SPECIMEN,Erythrina globocalyx,3368389,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
6108,PRESERVED_SPECIMEN,Erythrina globocalyx,3368391,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
11327,PRESERVED_SPECIMEN,Erythrina globocalyx,4181911,GBIF,,Manuel Vargas,,9.738272,-84.387333,Vara Blanca --,2001.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Claudia Aragón
11328,PRESERVED_SPECIMEN,Erythrina globocalyx,4181910,GBIF,,Manuel Vargas,,9.738272,-84.387333,Vara Blanca --,2001.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Claudia Aragón
11329,PRESERVED_SPECIMEN,Erythrina globocalyx,4181912,GBIF,,Manuel Vargas,,9.738272,-84.387333,Vara Blanca --,2001.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Claudia Aragón
23194,PRESERVED_SPECIMEN,Erythrina globocalyx,42194,GBIF,,Manuel Vargas,,10.03,-84.0,"Pasture land and wooded areas near the escarpment with frequent wind and rain from the Caribbean. La Palma area, northeast of San Jerónimo, above the La Hondura valley.",1968.0,1,1,1,,WGS84,2019,"Burger, William"
23196,PRESERVED_SPECIMEN,Erythrina globocalyx,91157,GBIF,,Manuel Vargas,,9.82,-84.11,"About 0.7 km N of tarbaca on road to Aserrí, ridge E of road, essentially at divide.",1979.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
23240,PRESERVED_SPECIMEN,Erythrina globocalyx,230651,GBIF,,Manuel Vargas,,10.06,-83.98,P.N. Braulio Carrillo Cuenca del Sarapiquí. Bajo de la Hondura.,2002.0,1,1,1,,WGS84,2019,"Acosta, Luis"
34361,PRESERVED_SPECIMEN,Erythrina globocalyx,,GBIF,141,Manuel Vargas,,10.0114,-83.9519,,,1,1,1,,WGS84,2019,B. A. Krukoff
35873,PRESERVED_SPECIMEN,Erythrina globocalyx,97456,GBIF,Neill 5090,Manuel Vargas,,10.21,-84.16,"8 km north of Vara Blanca along Highway 9, Lower Montane Rain Forest - Caribbean watershed",1981.0,1,1,1,,WGS84,2019,David A. Neill
35875,PRESERVED_SPECIMEN,Erythrina globocalyx,97464,GBIF,Krukoff 1969-239,Manuel Vargas,,10.22916,-84.42777,Zapote de Alfaro Ruiz,,1,1,1,,WGS84,2019,Boris A. Krukoff
39151,PRESERVED_SPECIMEN,Erythrina globocalyx,100649805,GBIF,Zamora Villalobos 2230,Manuel Vargas,,10.054167,-83.988889,"Cordillera Central. San Jerónimo, Alto de La Palma.",1995.0,1,1,1,,WGS84,2019,Nelson Zamora|Richard T. Pennington
49899,PRESERVED_SPECIMEN,Erythrina globocalyx,1328651,GBIF,Neill 5011,Manuel Vargas,,9.98,-83.96,"Las Nubes de Coronado, 7 km northwest of San Isidro, Lower Montane wet forest life zone, principal land use is dairy pasture",1981.0,1,1,1,,WGS84,2019,David A. Neill
50107,PRESERVED_SPECIMEN,Erythrina globocalyx,1352852,GBIF,Stevens 13666,Manuel Vargas,,9.983333,-84.1,"Ca. 0.7 km N of Tarbaca on road to Aserrí, ridge E of road, essentially at divide; on steep slopes.",1979.0,1,1,1,,WGS84,2019,W. D. Stevens
53872,PRESERVED_SPECIMEN,Erythrina globocalyx,2142048,GBIF,Neill 5008,Manuel Vargas,,9.98583,-83.98944,San Rafael de Coronado between San Isidro and Las Nubes,1981.0,1,1,1,,WGS84,2019,David A. Neill
