,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
895,PRESERVED_SPECIMEN,Erythrina thyrsiflora,1509220,GBIF,,Manuel Vargas,,10.531389,-84.177778,"La Virgen de Sarapiqui, San Rafael de Pangola, Finca La Montura.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1009,PRESERVED_SPECIMEN,Erythrina thyrsiflora,1512898,GBIF,,Manuel Vargas,,10.830556,-84.968889,"Colonia Puntarenas, de plaza de futbol 300 m hacia el Rio Chimurria, margen izquierda.",1991.0,1,1,1,,WGS84,2019,Gerardo Herrera
1011,PRESERVED_SPECIMEN,Erythrina thyrsiflora,1513003,GBIF,,Manuel Vargas,,10.283333,-84.033334,"Rara Avis, ca. 15 km al suroeste de Horquetas.",1989.0,1,1,1,,WGS84,2019,Orlando Vargas
1015,PRESERVED_SPECIMEN,Erythrina thyrsiflora,1513004,GBIF,,Manuel Vargas,,11.016667,-85.416667,"On the N-NE slopes of Volcan Orosi, from the road leading to the park station Pitilla. Along the branch road that separates ca. 1/2 way up the hill.",1989.0,1,1,1,,WGS84,2019,Charlotte M. Taylor
1157,PRESERVED_SPECIMEN,Erythrina thyrsiflora,1516757,GBIF,,Manuel Vargas,,10.45,-84.06666700000001,"Cerros Sardinales, N of Rio Sarapiqui, Chilamate, Finca Bejuco.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Reinaldo Aguilar ; Michael H. Grayum ; Henk van der Werff
1168,PRESERVED_SPECIMEN,Erythrina thyrsiflora,1516756,GBIF,,Manuel Vargas,,10.45,-84.06666700000001,"Cerros Sardinales, N of Rio Sarapiqui, Chilamate, Finca Bejuco.",1996.0,1,1,1,,WGS84,2019,Barry Hammel; Reinaldo Aguilar ; Michael H. Grayum ; Henk van der Werff
2973,PRESERVED_SPECIMEN,Erythrina thyrsiflora,1604549,GBIF,,Manuel Vargas,,10.35,-84.616667,"3-4 km W of La Tigra, ridges between Rio Penas Blancas and Rio La Esperanza.",1993.0,1,1,1,,WGS84,2019,William Haber
3183,PRESERVED_SPECIMEN,Erythrina thyrsiflora,1581062,GBIF,,Manuel Vargas,,11.033333,-85.408334,"Estacion Pitilla. Sendero El Mismo, Finca La Pasmompa.",1990.0,1,1,1,,WGS84,2019,Petrona Ríos Castro
3990,PRESERVED_SPECIMEN,Erythrina thyrsiflora,2849160,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
3991,PRESERVED_SPECIMEN,Erythrina thyrsiflora,2849162,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
3992,PRESERVED_SPECIMEN,Erythrina thyrsiflora,2849161,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4128,PRESERVED_SPECIMEN,Erythrina thyrsiflora,2852124,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4129,PRESERVED_SPECIMEN,Erythrina thyrsiflora,2852121,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4130,PRESERVED_SPECIMEN,Erythrina thyrsiflora,2852123,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4131,PRESERVED_SPECIMEN,Erythrina thyrsiflora,2852125,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
