,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1647,PRESERVED_SPECIMEN,Eschweilera biflava,1561761,GBIF,,Manuel Vargas,,8.516667,-83.466667,"Cerro Rincon. Alrededores, camino de ascenso por la Fila Matahambre desde Dos Brazos",1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
1785,PRESERVED_SPECIMEN,Eschweilera biflava,1565702,GBIF,,Manuel Vargas,,8.516667,-83.466667,"Cerro Rincon. Alrededores, camino de ascenso por la Fila Matahambre desde Dos Brazos",1990.0,1,1,1,,WGS84,2019,Abelardo Chacon
3163,PRESERVED_SPECIMEN,Eschweilera biflava,1580807,GBIF,,Manuel Vargas,,8.513889,-83.472222,"Cerro Rincon, Puerto Jimenez. Cabeceras de los Rios Tigre y Rincon.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3165,PRESERVED_SPECIMEN,Eschweilera biflava,1580806,GBIF,,Manuel Vargas,,8.513889,-83.472222,"Cerro Rincon, Puerto Jimenez. Cabeceras de los Rios Tigre y Rincon.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4319,PRESERVED_SPECIMEN,Eschweilera biflava,2828983,GBIF,,Manuel Vargas,,8.518104,-83.469575,P.N. Corcovado. Cerro Rincon. Quebraditas.,1998.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Alexander Rojas ; Alejandro Azofeifa Zúñiga ; Eida Fletes
4320,PRESERVED_SPECIMEN,Eschweilera biflava,2828982,GBIF,,Manuel Vargas,,8.518104,-83.469575,P.N. Corcovado. Cerro Rincon. Quebraditas.,1998.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Alexander Rojas ; Alejandro Azofeifa Zúñiga ; Eida Fletes
5223,PRESERVED_SPECIMEN,Eschweilera biflava,2905858,GBIF,,Manuel Vargas,,8.722222,-83.44166700000001,Los Mogos; Bahia Chal.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
6671,PRESERVED_SPECIMEN,Eschweilera biflava,3434234,GBIF,,Manuel Vargas,,9.697222,-84.38194399999999,Mastatal. Camino a Alto Concepci.Ribera Quebrada Grande.on,2000.0,1,1,1,,WGS84,2019,L. Acosta
6673,PRESERVED_SPECIMEN,Eschweilera biflava,3434236,GBIF,,Manuel Vargas,,9.697222,-84.38194399999999,Mastatal. Camino a Alto Concepci.Ribera Quebrada Grande.on,2000.0,1,1,1,,WGS84,2019,L. Acosta
6675,PRESERVED_SPECIMEN,Eschweilera biflava,3434235,GBIF,,Manuel Vargas,,9.697222,-84.38194399999999,Mastatal. Camino a Alto Concepci.Ribera Quebrada Grande.on,2000.0,1,1,1,,WGS84,2019,L. Acosta
