,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
95,PRESERVED_SPECIMEN,Eschweilera calyculata,440154,GBIF,130,Manuel Vargas,,5.566667,-77.516667,"SUR AMÉRICA COLOMBIA CHOCÓ NUQUÍ, Corregimiento de Arusí,Estación Biológica El Amargal.",1998.0,1,1,1,,WGS84,2019,J. Jacome
1652,PRESERVED_SPECIMEN,Eschweilera calyculata,1561757,GBIF,,Manuel Vargas,,8.4,-83.283333,Bosque Carbonera. Finca La Jilva Al Sur de Puerto Jimenez.,1990.0,1,1,1,,WGS84,2019,Abelardo Chacon
2624,PRESERVED_SPECIMEN,Eschweilera calyculata,1596712,GBIF,,Manuel Vargas,,8.616667,-83.733334,Estacion San Pedrillo. Sendero a la catarata.,1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4943,PRESERVED_SPECIMEN,Eschweilera calyculata,2920815,GBIF,,Manuel Vargas,,10.816667,-84.95,El Pilon. Cabeceras del Rio Celeste Bijagua.,1988.0,1,1,1,,WGS84,2019,Gerardo Herrera
5021,PRESERVED_SPECIMEN,Eschweilera calyculata,2923530,GBIF,,Manuel Vargas,,9.769444,-84.613889,Puesto Quebrada Bonita.,1989.0,1,1,1,,WGS84,2019,Quirico Jiménez
5198,PRESERVED_SPECIMEN,Eschweilera calyculata,2930891,GBIF,,Manuel Vargas,,9.795833,-84.563889,Sector Rio Carara. Sitio Boca de Toma.,1991.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga
5351,PRESERVED_SPECIMEN,Eschweilera calyculata,2910094,GBIF,,Manuel Vargas,,10.290833000000001,-84.060556,"Est. El Ceibo. 1/4 km W of Rio Guacimo, off trail that runs due E from Transect Trail at 730 m. Primary Premontane Wet Forest.",1994.0,1,1,1,,WGS84,2019,Brad Boyle
15487,PRESERVED_SPECIMEN,Eschweilera calyculata,299778,GBIF,Brand Mesa 736,Manuel Vargas,,7.65,-76.95,"Carretera del Tapon del Darien, sector Rio Leon-Loma Aislada, km 16",1983.0,1,1,1,,WGS84,2019,Jorge Brand|Linda K. Albert de Escobar
15488,PRESERVED_SPECIMEN,Eschweilera calyculata,299786,GBIF,Brand Mesa 455,Manuel Vargas,,7.65,-76.95,"Carretera Tapon del Darien, sector Rio Leon-Lomas Aisladas, km 15",1983.0,1,1,1,,WGS84,2019,Jorge Brand|Emilio Ascanio
15489,PRESERVED_SPECIMEN,Eschweilera calyculata,299794,GBIF,Brand Mesa 506,Manuel Vargas,,7.65,-76.95,"Carretera Tapon del Darien, sector Rio Leon-Lomas Aisladas, km 11",1983.0,1,1,1,,WGS84,2019,Jorge Brand|Manuel González
15491,PRESERVED_SPECIMEN,Eschweilera calyculata,299801,GBIF,Brand Mesa 1279,Manuel Vargas,,7.65,-76.95,"Carretera Tapon del Darien, sector Rio Leon-Lomas Aisladas, km 11",1985.0,1,1,1,,WGS84,2019,Jorge Brand
19058,PRESERVED_SPECIMEN,Eschweilera calyculata,00682491,GBIF,6196,Manuel Vargas,,9.42,-79.87,Coco Solo,1972.0,1,1,1,,WGS84,2019,A. H. Gentry
19079,PRESERVED_SPECIMEN,Eschweilera calyculata,00682489,GBIF,5691,Manuel Vargas,,9.56,-79.53,"Forest along Portobelo-Nombre de Dios road, 10 km W of Nombre de Dios.",1982.0,1,1,1,,WGS84,2019,S. D. Knapp
19090,PRESERVED_SPECIMEN,Eschweilera calyculata,02859496,GBIF,1149,Manuel Vargas,,8.830810000000001,-80.63046999999999,Río Bonito hacia san Benito.,2016.0,1,1,1,,WGS84,2019,I. Vergara-Pérez
19113,PRESERVED_SPECIMEN,Eschweilera calyculata,00682497,GBIF,541,Manuel Vargas,,9.3,-82.4,"Region of Almirante, Cricamola Valley",1928.0,1,1,1,,WGS84,2019,G. P. Cooper
19316,PRESERVED_SPECIMEN,Eschweilera calyculata,MG148766,GBIF,,Manuel Vargas,,9.2,-78.266667,Panamá,1992.0,1,1,1,,WGS84,2019,"Herrera,  H.; Mojica,  J."
19485,PRESERVED_SPECIMEN,Eschweilera calyculata,331063,GBIF,,Manuel Vargas,,7.21095,-76.4243,Carretera a Dabeiba.,1983.0,1,1,1,,WGS84,2019,"Bernal, R."
19744,PRESERVED_SPECIMEN,Eschweilera calyculata,331063,GBIF,609,Manuel Vargas,,7.210951,-76.4243,Carretera a Dabeiba.,1983.0,1,1,1,,WGS84,2019,R. Bernal | J. I. Del Valle
23195,PRESERVED_SPECIMEN,Eschweilera calyculata,64263,GBIF,,Manuel Vargas,,10.21,-83.53,"Bandeco Farm nº 4, El Carmen.",,1,1,1,,WGS84,2019,"Lent, Roy W."
23215,PRESERVED_SPECIMEN,Eschweilera calyculata,176956,GBIF,,Manuel Vargas,,8.71,-83.51,"Aguabuena, 3 km W of Rincón. Four-hectare permanent plot 1km N of BOSCOSA station in well-drained undulating terrain with slopes of 15-35º. Tall primary forest with many palms and large lianas. Characteristic species: Symphonia, Carapa, Brosimun utile,",1993.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
23217,PRESERVED_SPECIMEN,Eschweilera calyculata,178681,GBIF,,Manuel Vargas,,10.33,-83.6,"Pueblo Nuevo, 17 km NE of Guácimo. On the farm of Bernardo Herrera M.",1994.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
23218,PRESERVED_SPECIMEN,Eschweilera calyculata,178724,GBIF,,Manuel Vargas,,10.33,-83.6,"Pueblo Nuevo, 17 km NE of Guácimo, Limon Province, on the farm of Bernardo Herrera M.",1994.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
23224,PRESERVED_SPECIMEN,Eschweilera calyculata,179228,GBIF,,Manuel Vargas,,8.71,-83.51,"Aguabuena, 3 km W of Rincón. Four-hectare permanent plot 1km N of BOSCOSA station in well-drained undulating terrain with slopes of 15-35º. Tall primary forest with many palms and large lianas. Characteristic species: Symphonia, Carapa, Brosimun utile,",1993.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
23226,PRESERVED_SPECIMEN,Eschweilera calyculata,184703,GBIF,,Manuel Vargas,,10.29,-84.06,"P.N. Braulio Carrillo Puesto El Ceibo. 1/4 km W of Río Guácimo, off trail  that runs due E from Transect Trail at 730 m. Primary Premontane Wet Forest.",1994.0,1,1,1,,WGS84,2019,"Boyle, Brad"
23232,PRESERVED_SPECIMEN,Eschweilera calyculata,205002,GBIF,,Manuel Vargas,,10.63,-83.68,"Zapota Dos, ca. 20 km NW of Tortuguero village. On farm of Ronulfo Cargas. One-ha sample plot in tall forest on level ground, dominated by Pentaclethra macroloba (31% of basal area) Brosimun lactescens and Iriartea. Understorey dominated by Protium  pit",1995.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
26449,PRESERVED_SPECIMEN,Eschweilera calyculata,284336a,GBIF,1279,Manuel Vargas,,7.571217999999999,-76.709689,"Carretera Panamericana, Tapón del Darién, sector Río León - Lomas Aisladas, kilómetro 11.",1985.0,1,1,1,,WGS84,2019,Jorge Brand
26855,HUMAN_OBSERVATION,Eschweilera calyculata,IAvH:BICUB:MUTATA:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IPT024:0257,GBIF,,Manuel Vargas,,7.186944,-76.48647199999999,"Resguardo indígena Emberá, asentamiento en Chontadural. En bosques maduros con buen estado de conservación. Al interior de la parcela permanente de 1 ha, establecida por CARBONO Y BOSQUES.",2015.0,1,1,1,,WGS84,2019,R. González M; M. González; B. Salgado; A. Idárraga; D. Molina
29547,PRESERVED_SPECIMEN,Eschweilera calyculata,BM000076860,GBIF,26393,Manuel Vargas,,14.819222,-86.61914300000001,,,1,1,1,,WGS84,2019,R. Liesner
33733,PRESERVED_SPECIMEN,Eschweilera calyculata,V0090156F,GBIF,475,Manuel Vargas,,9.3,-82.4,region of Almirante. Sansan swamp,1928.0,1,1,1,,WGS84,2019,G. Proctor Cooper
33810,PRESERVED_SPECIMEN,Eschweilera calyculata,V0090158F,GBIF,493,Manuel Vargas,,9.47,-82.45,"Farm Six, Changuinola Valley",1924.0,1,1,1,,WGS84,2019,V. C. Dunlap
34408,PRESERVED_SPECIMEN,Eschweilera calyculata,V0090153F,GBIF,57,Manuel Vargas,,9.47,-82.45,Changuinolia Valley,1927.0,1,1,1,,WGS84,2019,G. Proctor Cooper
34530,PRESERVED_SPECIMEN,Eschweilera calyculata,V0090155F,GBIF,541,Manuel Vargas,,9.3,-82.4,region of Almirante. Cricamola Valley,1928.0,1,1,1,,WGS84,2019,G. Proctor Cooper
34772,PRESERVED_SPECIMEN,Eschweilera calyculata,02859488,GBIF,1569,Manuel Vargas,,8.857389999999999,-80.65156,"Presa Este, entrando por Sedimentation Pond, sendero 6.",2016.0,1,1,1,,WGS84,2019,J. Batista
35743,PRESERVED_SPECIMEN,Eschweilera calyculata,946663,GBIF,Boyle 3097,Manuel Vargas,,10.29,-84.06,"Parque Nacional Braulio Carrillo, Estación El Ceibo, 1/4 km west of Río Guácimo, off trail that runs due east from Transect Trail at 730 m, Primary Premontane Wet Forest",1994.0,1,1,1,,WGS84,2019,Brad Boyle
35941,PRESERVED_SPECIMEN,Eschweilera calyculata,982726,GBIF,Morales Quirós 4537,Manuel Vargas,,9.72,-84.39,Cerros de Puriscal. San Martín. Bosque primario en la falda W del Cerro Pelón.,1995.0,1,1,1,,WGS84,2019,J. F. Morales|José Á. González R.
37702,PRESERVED_SPECIMEN,Eschweilera calyculata,100148247,GBIF,McPherson 20630,Manuel Vargas,,8.931389,-80.66888900000001,Teck Cominco Petaquilla mining concession.,2008.0,1,1,1,,WGS84,2019,Gordon McPherson
37705,PRESERVED_SPECIMEN,Eschweilera calyculata,100148338,GBIF,McPherson 20698,Manuel Vargas,,8.831945,-80.63638900000001,Teck Cominco Petaquilla mining concession.,2008.0,1,1,1,,WGS84,2019,Gordon McPherson
37842,PRESERVED_SPECIMEN,Eschweilera calyculata,100183829,GBIF,McPherson 20802,Manuel Vargas,,8.974445,-80.706389,"Westernmost part of province, site of proposed copper mine (INMET). Along proposed road to coast. Collected with Jean-Yves Serein.",2009.0,1,1,1,,WGS84,2019,Gordon McPherson
37847,PRESERVED_SPECIMEN,Eschweilera calyculata,100183955,GBIF,McPherson 20900,Manuel Vargas,,8.884444,-80.7075,"Westernmost part of province, site of proposed copper mine (INMET). Along route of proposed road. Lowland forest. Collected with Jean-Yves Serein.",2009.0,1,1,1,,WGS84,2019,Gordon McPherson
37855,PRESERVED_SPECIMEN,Eschweilera calyculata,100185516,GBIF,Dressler 3502,Manuel Vargas,,9.4,-79.866667,Galeta Island,1976.0,1,1,1,,WGS84,2019,Robert L. Dressler
37928,PRESERVED_SPECIMEN,Eschweilera calyculata,100239593,GBIF,McPherson 21043,Manuel Vargas,,8.965278,-80.699722,Site of proposed copper mine (MPSA). Forested slopes. Collected with Mary Merello.,2009.0,1,1,1,,WGS84,2019,Gordon McPherson
37930,PRESERVED_SPECIMEN,Eschweilera calyculata,100239632,GBIF,McPherson 21073,Manuel Vargas,,8.928611,-80.68,Site of proposed copper mine (MPSA). Forested slopes. Collected with Mary Merello.,2009.0,1,1,1,,WGS84,2019,Gordon McPherson
