,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2632,PRESERVED_SPECIMEN,Eschweilera hondurensis,1596705,GBIF,,Manuel Vargas,,10.327778,-84.080556,"Estacion El Ceibo. Sendero a la toma de agua, desde el desvio del sendero principal hasta la primera quebrada, ca. 300 m desde el trayecto.",1992.0,1,1,1,,WGS84,2019,Alvaro Fernandez
15408,PRESERVED_SPECIMEN,Eschweilera hondurensis,298720,GBIF,Jiménez Madrigal 776,Manuel Vargas,,9.711110000000001,-84.38611,"Zona Protectora La Cangreja, Santa Rosa de Puriscal",1989.0,1,1,1,,WGS84,2019,Quírico Jiménez|Charlotte M. Taylor|Roy E. Gereau|Abelardo Chacón
15428,PRESERVED_SPECIMEN,Eschweilera hondurensis,298949,GBIF,Liesner 26050,Manuel Vargas,,15.7,-86.85,"Campamento Quebrada Grande ca. 10 km south west of La Ceiba.  At base of north slope of Pico Bonito, from camp to 1 km east of camp.",1993.0,1,1,1,,WGS84,2019,Ronald L. Liesner|Darío Mejía
15431,PRESERVED_SPECIMEN,Eschweilera hondurensis,298964,GBIF,Marín Alpízar 225,Manuel Vargas,,8.68,-83.58,Tierras del Grupo de Conservación de Rancho Quemado. Sierpe.,1991.0,1,1,1,,WGS84,2019,Juan Marín
15511,PRESERVED_SPECIMEN,Eschweilera hondurensis,300067,GBIF,Aguilar Fernández 313,Manuel Vargas,,8.73,-83.44,Reserva Forestal Golfo Dulce Entrada a Chocuaco. Rincón.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
15514,PRESERVED_SPECIMEN,Eschweilera hondurensis,300076,GBIF,Aguilar Fernández 570,Manuel Vargas,,8.7,-83.59,Reserva Forestal Golfo Dulce Rancho Quemado. Tierra de los conservacionistas de Rancho.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
15532,PRESERVED_SPECIMEN,Eschweilera hondurensis,300192,GBIF,Gentry 78715,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemada, near Rincon, Osa Peninsula. Transect 4.",1993.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Rosa Ortiz|Irene Shonle|Jason C. Bradford|P. Anderson
15545,PRESERVED_SPECIMEN,Eschweilera hondurensis,300356,GBIF,Boyle 1360,Manuel Vargas,,10.332778,-84.078889,"Parque Nacional Braulio Carrillo, Puesto El Ceibo, gently sloping area just above the steep rim of the Río Peje gorge on the west side, along side path that goes from guard house to water supply intake, about 15 minutes uphill.",1992.0,1,1,1,,WGS84,2019,Brad Boyle
15546,PRESERVED_SPECIMEN,Eschweilera hondurensis,300363,GBIF,Evans 1055,Manuel Vargas,,15.7,-86.83333,"Base of N slope of Pico Bonito, E of new CURLA (Centro Universitario Regional del Litoral Atlantico) camp building on the Quebrada Grande, ca. 1/3 km above its confluence with the Río Bonito, ca. 10 km southwest of La Ceiba, Parque Nacional Pico Bonito.",1993.0,1,1,1,,WGS84,2019,Randall J. Evans
15547,PRESERVED_SPECIMEN,Eschweilera hondurensis,300370,GBIF,Evans 1645,Manuel Vargas,,15.7,-86.85,"Base of N slope of Pico Bonito, E of new CURLA (Centro Universitario Regional del Litoral Atlantico) camp building on the Quebrada Grande, ca. 1/3 km above its confluence with the Río Bonito, ca. 10 km SW of La Ceiba, Parque Nacional Pico Bonito. Upland primary forest.",1993.0,1,1,1,,WGS84,2019,Randall J. Evans
15592,PRESERVED_SPECIMEN,Eschweilera hondurensis,301250,GBIF,Brant 2855,Manuel Vargas,,15.65,-87.266667,41.5 km E of Tela on the Tela-Ceiba Hwy. then 2.7 km N along old timber road.,1994.0,1,1,1,,WGS84,2019,Alan E. Brant|Donald L. Hazlett
16788,PRESERVED_SPECIMEN,Eschweilera hondurensis,3463688,GBIF,Acosta Vargas 2624,Manuel Vargas,,9.69722,-84.38194,"Zona Protectora La Cangreja, Cuenca del Tulín, colecta sobre sendero principal después de la Quebrada Grande",2000.0,1,1,1,,WGS84,2019,Luis Acosta
19159,PRESERVED_SPECIMEN,Eschweilera hondurensis,02840667,GBIF,1559,Manuel Vargas,,7.234610000000001,-80.89575,"Sendero luminoso Reina del Barú, Restingue, PN Cerro Hoya",2016.0,1,1,1,,WGS84,2019,J. Batista
19318,PRESERVED_SPECIMEN,Eschweilera hondurensis,MG148876,GBIF,,Manuel Vargas,,15.483332999999998,-87.616667,Honduras,1991.0,1,1,1,,WGS84,2019,"Davidse,  G.; Zuniga,  R."
23223,PRESERVED_SPECIMEN,Eschweilera hondurensis,179154,GBIF,,Manuel Vargas,,8.7,-83.5,"Aguabuena, 3 km W of Rincón. One-hectare permanent sample plot 800 m N of the house of Henry Monge in well-drained, moderately sloping terrain. Tall forest along timber road, leaf after selective logging March 1992. Characteristic species:  Iriartea, Sy",1993.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
34200,PRESERVED_SPECIMEN,Eschweilera hondurensis,V0061860F,GBIF,8829,Manuel Vargas,,14.8364,-86.4556,,1938.0,1,1,1,,WGS84,2019,T. G. Yuncker
34784,PRESERVED_SPECIMEN,Eschweilera hondurensis,766,GBIF,8829,Manuel Vargas,,15.69989,-86.87100000000001,Lower slopes of Mt. Cangrejal,1938.0,1,1,1,,WGS84,2019,T. G. Yuncker
34801,PRESERVED_SPECIMEN,Eschweilera hondurensis,690264,GBIF,492,Manuel Vargas,,10.3278,-84.0806,"Parque Nac. Braulio Carrillo. Estación El Ceibo. Sendero a la toma de agua, desde el desvío de sendero principal hasta la primera quebrada, ca. 300 m desde el trayecto.",1992.0,1,1,1,,WGS84,2019,A. Fernández
34815,PRESERVED_SPECIMEN,Eschweilera hondurensis,728925,GBIF,776,Manuel Vargas,,9.711111,-84.386111,Zona Protectora La Cangreja.Santa Rosa de Puriscal.,1989.0,1,1,1,,WGS84,2019,Q. Jiménez Madrigal
35175,PRESERVED_SPECIMEN,Eschweilera hondurensis,BM000074841,GBIF,34523,Manuel Vargas,,14.819222,-86.61914300000001,,,1,1,1,,WGS84,2019,G. Davidse
35553,PRESERVED_SPECIMEN,Eschweilera hondurensis,906927,GBIF,Morales Quirós 1200,Manuel Vargas,,9.7,-84.39,Z.P. La Cangreja; Cerros de Puriscal. Santa Rosa de Puriscal. Bosque primario en las faldas de la Fila La Cangreja.,1993.0,1,1,1,,WGS84,2019,J. F. Morales|Y. M. Salazar
36955,PRESERVED_SPECIMEN,Eschweilera hondurensis,901446,GBIF,Zamora Villalobos 1849,Manuel Vargas,,15.66666,-86.83333,La Ceiba Area de las 2000 Has. del CURLA.,1992.0,1,1,1,,WGS84,2019,Nelson Zamora
39053,PRESERVED_SPECIMEN,Eschweilera hondurensis,100575010,GBIF,Aguilar Fernández 11752,Manuel Vargas,,8.652778,-83.57,"Sierpe, Rincón, Reserva Forestal Golfo Dulce, Rancho Quemado, camino a Chiqueron en la parte mas alta de la fila al Sur de Rancho Quemado.",2009.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
39674,PRESERVED_SPECIMEN,Eschweilera hondurensis,G-G-271535/1,GBIF,,Manuel Vargas,,14.819170000000002,-86.61917,"Honduras - Honduras: Atlántida Dept.: bank of stream, lower slopes of Mt. Cangrejal, vicinity of La Ceiba",1936.0,1,1,1,,WGS84,2019,"Yuncker, T. G., J. Koepper & K. A. Wagner (Coll. Delessert 1939)"
40129,PRESERVED_SPECIMEN,Eschweilera hondurensis,3704537,GBIF,1292,Manuel Vargas,,7.5147,-81.8686,"PN Coiba, Isla Coiba, Playa Hermosa, La Falla.",2015.0,1,1,1,,WGS84,2019,J. Batista
40430,PRESERVED_SPECIMEN,Eschweilera hondurensis,2258877,GBIF,Galdames 2881,Manuel Vargas,,7.52388,-81.84305,Isla Coiba. Desde Playa Hermosa hacia el borde superiorde la falla geologica. Sotobosque,1996.0,1,1,1,,WGS84,2019,Carmen Galdames|Blanca Araúz|José Deago|Juan Cuadras|Santiago Castroviejo|Mauricio Velayos
42277,PRESERVED_SPECIMEN,Eschweilera hondurensis,,GBIF,2881,Manuel Vargas,,8.1667,-81.25,,1996.0,1,1,1,,WGS84,2019,C. Galdames
42823,PRESERVED_SPECIMEN,Eschweilera hondurensis,100916405,GBIF,Batista G. 1559,Manuel Vargas,,7.2347220000000005,-80.895833,"Restingue, PN Cerro Hoya, Sendero Reina del Baru, Bosque costero aledano a playa Restingue. Bosque semicaducifolio.",,1,1,1,,WGS84,2019,Juvenal Batista
43456,PRESERVED_SPECIMEN,Eschweilera hondurensis,4462031,GBIF,,Manuel Vargas,,10.322499,-84.078336,"Heredia. Sarapiquí. P.N. Braulio Carrillo. Cuenca del Sarapiquí. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Toma de Agua.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
43458,PRESERVED_SPECIMEN,Eschweilera hondurensis,4462029,GBIF,,Manuel Vargas,,10.322499,-84.078336,"Heredia. Sarapiquí. P.N. Braulio Carrillo. Cuenca del Sarapiquí. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Toma de Agua.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
43459,PRESERVED_SPECIMEN,Eschweilera hondurensis,4462030,GBIF,,Manuel Vargas,,10.322499,-84.078336,"Heredia. Sarapiquí. P.N. Braulio Carrillo. Cuenca del Sarapiquí. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Toma de Agua.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
43460,PRESERVED_SPECIMEN,Eschweilera hondurensis,4462028,GBIF,,Manuel Vargas,,10.322499,-84.078336,"Heredia. Sarapiquí. P.N. Braulio Carrillo. Cuenca del Sarapiquí. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Toma de Agua.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
