,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
61,PRESERVED_SPECIMEN,Eschweilera panamensis,386805,GBIF,47880,Manuel Vargas,,3.983333,-76.966667,"Área de Dindo, Bajo Calima.",1984.0,1,1,1,,WGS84,2019,A. Gentry | M. Monsalve | D Wolfe
2627,PRESERVED_SPECIMEN,Eschweilera panamensis,1596707,GBIF,,Manuel Vargas,,8.660833,-83.713889,Playa Campanario o San Josecito. Sierpe. Primary forest.,1993.0,1,1,1,,WGS84,2019,Patrick Harmon
4913,PRESERVED_SPECIMEN,Eschweilera panamensis,2919692,GBIF,,Manuel Vargas,,9.380556,-84.15,"Forest and adjacent beach at Manuel Antonio, west of Parque.",1991.0,1,1,1,,WGS84,2019,Patrick Harmon
4953,PRESERVED_SPECIMEN,Eschweilera panamensis,2920936,GBIF,,Manuel Vargas,,10.720833,-85.005556,"El Pilon, Cerro La Carmela, entre Rio Celeste y cabeceras del Rio Chimurria. Bijagua.",1988.0,1,1,1,,WGS84,2019,Gerardo Herrera
15414,PRESERVED_SPECIMEN,Eschweilera panamensis,298738,GBIF,Juncosa 2105,Manuel Vargas,,3.91666,-77.0,"Cartón de Colombia timber concession near Bajo Calima. 3º55'N, 77º'W. Elev. ca. 50-100 m. Primary forest.",1984.0,1,1,1,,WGS84,2019,Adrian Juncosa
15432,PRESERVED_SPECIMEN,Eschweilera panamensis,298975,GBIF,Gentry 48392,Manuel Vargas,,3.983333,-76.966667,Bajo Calima. Dindo area. Pluvial forest.,1984.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.
15449,PRESERVED_SPECIMEN,Eschweilera panamensis,299165,GBIF,Faber-Langendoen 561,Manuel Vargas,,3.83333,-77.16666,"Bajo Calima Concession. Ca 16 km NW of Buenaventura, at end of Gasolina Rd, Juanchaco area, BV-82. Wet tropical forest.",1987.0,1,1,1,,WGS84,2019,Donald Faber-Langendoen|Enrique  Rentería A.
15522,PRESERVED_SPECIMEN,Eschweilera panamensis,300112,GBIF,Gentry 41057,Manuel Vargas,,6.25,-77.41666,"Río Mecana, ca 10 km E of Mecana. Mature forest on lateritic soil on ridge top.",1983.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Adrian Juncosa
15539,PRESERVED_SPECIMEN,Eschweilera panamensis,300308,GBIF,Gentry 47936,Manuel Vargas,,3.91666,-77.03333,BAJO CALIMA: road to Juanchaco Palmeras. Mature pluvial forest. Transect # 6,1984.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|D.A. Wolfe
15540,PRESERVED_SPECIMEN,Eschweilera panamensis,300315,GBIF,Gentry 56850,Manuel Vargas,,3.93333,-77.13333,"Bajo Calima, Juanchaco Pal- meras area ca. 10 km NW of Buenaventura, transition between wet and pluvial forest.",1987.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|Donald Faber-Langendoen|M.D. Heredia
15541,PRESERVED_SPECIMEN,Eschweilera panamensis,300322,GBIF,Gentry 56895,Manuel Vargas,,3.93333,-77.13333,"Bajo Calima, Juanchaco Pal- meras area ca. 10 km NW of Buenaventura, transition between wet and pluvial forest. Tree Plot",1987.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|Donald Faber-Langendoen
15542,PRESERVED_SPECIMEN,Eschweilera panamensis,300330,GBIF,Gentry 56908,Manuel Vargas,,3.93333,-77.13333,"Bajo Calima, Juanchaco Pal- meras area ca. 10 km NW of Buenaventura, transition between wet and pluvial forest. Tree Plot",1987.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|Donald Faber-Langendoen
15543,PRESERVED_SPECIMEN,Eschweilera panamensis,300338,GBIF,Gentry 56976,Manuel Vargas,,3.93333,-77.13333,"Bajo Calima, Juanchaco Pal- meras area, ca. 10 km NW of Buenaventura, transition between wet and pluvial forest. Tree plot.",1987.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|Donald Faber-Langendoen
15544,PRESERVED_SPECIMEN,Eschweilera panamensis,300345,GBIF,Gentry 57009,Manuel Vargas,,3.93333,-77.13333,"Bajo Calima, Juanchaco Pal- meras area, ca. 10 km NW of Buenaventura, transition between wet and pluvial forest. Tree Plot.",1987.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|Donald Faber-Langendoen
15550,PRESERVED_SPECIMEN,Eschweilera panamensis,300396,GBIF,Gentry 47880,Manuel Vargas,,3.9833300000000005,-76.96666,BAJO CALIMA: Dindo area. Pluvial forest.,1984.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|D.A. Wolfe
