,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
64,PRESERVED_SPECIMEN,Eschweilera sessilis,393821,GBIF,3395,Manuel Vargas,,6.8333330000000005,-75.3,8 km S of Angostura on road to Repressa Miraflores.,1986.0,1,1,1,,WGS84,2019,"B. A. Stein | Cogollo , A."
109,PRESERVED_SPECIMEN,Eschweilera sessilis,464645,GBIF,2848,Manuel Vargas,,2.6525,-76.908611,"SUR AMÉRICA COLOMBIA CAUCA EL TAMBO, PNN Munchique, entre las cabañas de La Romelia y El Observatorio.",2001.0,1,1,1,,WGS84,2019,R. Bernal | P. Lopera
12944,PRESERVED_SPECIMEN,Eschweilera sessilis,1741,GBIF,,Manuel Vargas,,4.0480279999999995,-76.459305,PNR Páramo del Duende,2018.0,1,1,1,,WGS84,2019,Guillermo Reina
13821,PRESERVED_SPECIMEN,Eschweilera sessilis,00853326,GBIF,1263,Manuel Vargas,,-3.97,-79.07,"Area of the Estación Cientifica San Francisco, road Loja-Zamora, ca. 35 km from Loja.",2003.0,1,1,1,,WGS84,2019,J. Homeier
14623,PRESERVED_SPECIMEN,Eschweilera sessilis,2733673,GBIF,Antonio 3511,Manuel Vargas,,8.48222,-81.09805,"Vicinity of Escuela Agricultura, Alto Piedra near Santa Fe. 0.3 mi beyond the fork in the road near the School, toward Atlantic slope along trail to top of Cerro Tute",1980.0,1,1,1,,WGS84,2019,Thomas M. Antonio
15461,PRESERVED_SPECIMEN,Eschweilera sessilis,299368,GBIF,Rivera Elizondo 907,Manuel Vargas,,10.78888,-85.30555,"Parque Nacional Rincón de la Vieja Fila o Sendero a La Siembra, al SE del Volcán Santa María",1990.0,1,1,1,,WGS84,2019,Gerardo Rivera
15497,PRESERVED_SPECIMEN,Eschweilera sessilis,299953,GBIF,McPherson 12774,Manuel Vargas,,9.25,-79.5,"Vicinity of Cerro Jefe, on trail into Chagres Valley beginning near edge of Los Altos de Jefe development, along road to summit tower.",1988.0,1,1,1,,WGS84,2019,Gordon McPherson
15500,PRESERVED_SPECIMEN,Eschweilera sessilis,299985,GBIF,McPherson 10372,Manuel Vargas,,8.769722,-82.21972199999999,"Vicinity of Fortuna Dam. Trail along continental divide.[Coordinates on orginal label: 8º55'4""N, 82º10'4""W].",1987.0,1,1,1,,WGS84,2019,Gordon McPherson
15501,PRESERVED_SPECIMEN,Eschweilera sessilis,299993,GBIF,McPherson 13678,Manuel Vargas,,9.35,-78.966667,San Blas-Panamá border trail along continental divide to east of Nusagandi.,1989.0,1,1,1,,WGS84,2019,Gordon McPherson
15502,PRESERVED_SPECIMEN,Eschweilera sessilis,300001,GBIF,McPherson 11254,Manuel Vargas,,8.616660000000001,-80.11666,"Vicinity of La Mesa, beyond El Valle; on eastern ridge, along trail to summit of Cerro Gaital.",1987.0,1,1,1,,WGS84,2019,Gordon McPherson
15503,PRESERVED_SPECIMEN,Eschweilera sessilis,300040,GBIF,Stein 3395,Manuel Vargas,,6.8333330000000005,-75.3,"8 km S of Angostura on road to Repressa Miraflores. c. 6º50'N, 75º18'W. Elev. 2000 m.",1986.0,1,1,1,,WGS84,2019,Bruce A. Stein|Álvaro Cogollo P.
15504,PRESERVED_SPECIMEN,Eschweilera sessilis,300041,GBIF,McPherson 7839,Manuel Vargas,,8.776389,-82.195,"Fortuna Dam region, along pipeline service road. [Coordinates on orginal label: c. 8º45'N, 82º15'W].",1985.0,1,1,1,,WGS84,2019,Gordon McPherson
15507,PRESERVED_SPECIMEN,Eschweilera sessilis,300049,GBIF,McPherson 8704,Manuel Vargas,,8.778611,-82.193611,Along pipeline road in area of Fortuna Dam.,1986.0,1,1,1,,WGS84,2019,Gordon McPherson
15510,PRESERVED_SPECIMEN,Eschweilera sessilis,300065,GBIF,McPherson 7101,Manuel Vargas,,9.25,-79.5,Cerro Jefe (or Cerro Azul). Near radio tower.,1985.0,1,1,1,,WGS84,2019,Gordon McPherson
15513,PRESERVED_SPECIMEN,Eschweilera sessilis,300074,GBIF,McPherson 10672,Manuel Vargas,,8.5,-81.116667,Vicinity of Cerro Tute; forested slopes along trail to summit.,1987.0,1,1,1,,WGS84,2019,Gordon McPherson
15523,PRESERVED_SPECIMEN,Eschweilera sessilis,300118,GBIF,McPherson 9666,Manuel Vargas,,8.778333,-82.192778,"Vicinity of Fortuna Dam. Along pipeline road leaving road to Chiriquí Grande at continental divide, 2.8 road-miles from divide.",1986.0,1,1,1,,WGS84,2019,Gordon McPherson
15526,PRESERVED_SPECIMEN,Eschweilera sessilis,300136,GBIF,McPherson 7277,Manuel Vargas,,8.75,-82.25,"Near Fortuna Dam, along trail near forestry station towards river.",1985.0,1,1,1,,WGS84,2019,Gordon McPherson
15531,PRESERVED_SPECIMEN,Eschweilera sessilis,300176,GBIF,McPherson 9041,Manuel Vargas,,8.766389,-82.212222,"Along trail on continental divide. Vicinity of Fortuna Dam. [Coordinates on orginal label: 08º45'N, 82º15'W.]",1986.0,1,1,1,,WGS84,2019,Gordon McPherson
15895,PRESERVED_SPECIMEN,Eschweilera sessilis,3156359,GBIF,Ramírez Arango 1613,Manuel Vargas,,6.0,-74.75,"Quebrada La Cristalina, Bh-T/Bmh-T. Sector SE",1987.0,1,1,1,,WGS84,2019,Juan Guillermo Ramírez|Dairon Cárdenas L.
15897,PRESERVED_SPECIMEN,Eschweilera sessilis,3156176,GBIF,Ramírez Arango 1542,Manuel Vargas,,6.0,-74.75,"Quebrada ""La Cristalina"" Sector South East",1987.0,1,1,1,,WGS84,2019,Juan Guillermo Ramírez|Dairon Cárdenas L.
15989,PRESERVED_SPECIMEN,Eschweilera sessilis,3178804,GBIF,Roldán 878,Manuel Vargas,,6.28333,-75.56666,"Municipio Guatape; Vereda Santa Rita, Finca Montepinar.",1987.0,1,1,1,,WGS84,2019,Francisco J. Roldán|Julio C. Betancur B.
16307,PRESERVED_SPECIMEN,Eschweilera sessilis,3301116,GBIF,Daly 5843,Manuel Vargas,,6.01666,-75.01666,"Piedra de Castrillon, 3-4 hours on foot S of town. Slower montane forest on mild to steep slopes, dense where undisturbed. Canopy @ 12 m, dominated near summit by Melastomatac, Rubiac, Myrsinac, Clusiac, and Protium.",1989.0,1,1,1,,WGS84,2019,Douglas C. Daly|Julio C. Betancur B.
16482,PRESERVED_SPECIMEN,Eschweilera sessilis,3358229,GBIF,McPherson 19802,Manuel Vargas,,8.82305,-80.65972,Teck Cominco Petaquilla mining concession. Ridgetop forest along road.,2007.0,1,1,1,,WGS84,2019,Gordon McPherson
16646,PRESERVED_SPECIMEN,Eschweilera sessilis,3431335,GBIF,Chacón Gamboa 2247,Manuel Vargas,,10.24,-84.63,Reserva de San Ramón; Río San Lorencito; Fila Pavas,1986.0,1,1,1,,WGS84,2019,Isidro A. Chacón G.|Abelardo Chacón|Víctor Mora
16649,PRESERVED_SPECIMEN,Eschweilera sessilis,3431388,GBIF,Quesada Quesada 23,Manuel Vargas,,10.21527,-84.60694000000001,R.F. San Ramón. Cordillera de Tilarán. Estación Río San Lorenzo; sendero al volcán Muerto.,1993.0,1,1,1,,WGS84,2019,Freddy A. Quesada
16949,PRESERVED_SPECIMEN,Eschweilera sessilis,3578569,GBIF,Homeier 1263,Manuel Vargas,,-3.96666,-79.06666,"Reserva San Francisco, road Loja-Zamora, ca. 35 km from Loja, montane tropical forest",2003.0,1,1,1,,WGS84,2019,Jürgen Homeier|Wilson Quizhpe
16955,PRESERVED_SPECIMEN,Eschweilera sessilis,3579235,GBIF,Homeier 971,Manuel Vargas,,-3.96666,-79.06666,"Reserva San Francisco, road Loja-Zamora, ca. 35 km from Loja, montane tropical forest",2001.0,1,1,1,,WGS84,2019,Jürgen Homeier
16956,PRESERVED_SPECIMEN,Eschweilera sessilis,3579555,GBIF,Homeier 88,Manuel Vargas,,-3.96666,-79.06666,"area of the Estación Cientifica San Francisco, road Loja-Zamora, ca. 35 km from Loja, montane tropical forest",1999.0,1,1,1,,WGS84,2019,Jürgen Homeier
16957,PRESERVED_SPECIMEN,Eschweilera sessilis,3579817,GBIF,Homeier 337,Manuel Vargas,,-3.96666,-79.06666,"Reserva San Francisco, road Loja-Zamora, ca. 35 km from Loja, montane tropical forest",2000.0,1,1,1,,WGS84,2019,Jürgen Homeier
17835,PRESERVED_SPECIMEN,Eschweilera sessilis,56050,GBIF,McPherson 7291,Manuel Vargas,,8.801667,-82.223333,"Along road to Chiriquí Grande. [Coordinates on orginal label: c. 8º45'N, 82º15'W].",1985.0,1,1,1,,WGS84,2019,Gordon McPherson
18574,PRESERVED_SPECIMEN,Eschweilera sessilis,FMB-38274,GBIF,CB 8580,Manuel Vargas,,2.627369,-76.90605,"Vereda La Romelia, La Gallera",1993.0,1,1,1,,WGS84,2019,"Barbosa, César"
18747,PRESERVED_SPECIMEN,Eschweilera sessilis,FMB-97232,GBIF,201,Manuel Vargas,,6.0833330000000005,-73.133333,Las Lajas,2008.0,1,1,1,,WGS84,2019,"Ángel, Sonia | Cortés-B., Rocío | Reina, Miriam | Ávila, Andrés | Martinez, José"
19298,PRESERVED_SPECIMEN,Eschweilera sessilis,MG190912,GBIF,,Manuel Vargas,,9.233889,-79.375,Panama,1972.0,1,1,1,,WGS84,2019,"Gentry, A.H."
19302,PRESERVED_SPECIMEN,Eschweilera sessilis,MG203538,GBIF,,Manuel Vargas,,10.720833,-85.005556,Costa Rica,1988.0,1,1,1,,WGS84,2019,"Herrera,  H."
