,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
26,PRESERVED_SPECIMEN,Ficus caldasiana,3810,GBIF,198,Manuel Vargas,,5.034413,-75.700688,Rio Campoalegre. Hacienda La Plata.,1942.0,1,1,1,,WGS84,2019,Roberto Jaramillo-Mejía
27,PRESERVED_SPECIMEN,Ficus caldasiana,3808,GBIF,198,Manuel Vargas,,5.034413,-75.700688,Rio Campoalegre. Hacienda La Plata.,1942.0,1,1,1,,WGS84,2019,Roberto Jaramillo-Mejía
28,PRESERVED_SPECIMEN,Ficus caldasiana,3809,GBIF,198,Manuel Vargas,,5.034413,-75.700688,Rio Campoalegre. Hacienda La Plata.,1942.0,1,1,1,,WGS84,2019,Roberto Jaramillo-Mejía
1078,PRESERVED_SPECIMEN,Ficus caldasiana,1513802,GBIF,,Manuel Vargas,,9.025,-82.961113,"Potrero Grande, Estacion Altamira.",1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2365,PRESERVED_SPECIMEN,Ficus caldasiana,1590981,GBIF,,Manuel Vargas,,9.391667,-83.597222,"Las Nubes, Santa Elena. Colecta en bosque secundario y potrero.",1995.0,1,1,1,,WGS84,2019,Evelio Alfaro
2440,PRESERVED_SPECIMEN,Ficus caldasiana,1594468,GBIF,,Manuel Vargas,,8.947222,-82.926389,"Rio Coton, aguas termales cerca de Agua Caliente.",1995.0,1,1,1,,WGS84,2019,Marcos Moraga
3275,PRESERVED_SPECIMEN,Ficus caldasiana,1583138,GBIF,,Manuel Vargas,,8.961111,-82.938889,Camino entre Aguas Calientes y la Escuadra.,1995.0,1,1,1,,WGS84,2019,Jose González
8286,PRESERVED_SPECIMEN,Ficus caldasiana,3911130,GBIF,,Manuel Vargas,,9.672222,-84.195833,"Quebrada Laja, ca. 2.5 km al noroeste de Altos El Aguacate",2003.0,1,1,1,,WGS84,2019,Barry Hammel; Ricardo Kriebel ; Juan Francisco Morales Quirós
8293,PRESERVED_SPECIMEN,Ficus caldasiana,3911129,GBIF,,Manuel Vargas,,9.672222,-84.195833,"Quebrada Laja, ca. 2.5 km al noroeste de Altos El Aguacate",2003.0,1,1,1,,WGS84,2019,Barry Hammel; Ricardo Kriebel ; Juan Francisco Morales Quirós
9015,PRESERVED_SPECIMEN,Ficus caldasiana,3991789,GBIF,,Manuel Vargas,,10.483333,-84.788889,Hotel Arenal Lodge (finca Macadamia).,2003.0,1,1,1,,WGS84,2019,Carlos E. Valerio
9016,PRESERVED_SPECIMEN,Ficus caldasiana,3991788,GBIF,,Manuel Vargas,,10.483333,-84.788889,Hotel Arenal Lodge (finca Macadamia).,2003.0,1,1,1,,WGS84,2019,Carlos E. Valerio
13092,UNKNOWN,Ficus caldasiana,2417691,GBIF,1118807,Manuel Vargas,,3.8811,-72.8667,,1942.0,1,1,1,,WGS84,2019,R. Jaramillo-Meja
13093,UNKNOWN,Ficus caldasiana,2417692,GBIF,2165709,Manuel Vargas,,-0.1667,-78.6667,,1993.0,1,1,1,,WGS84,2019,G. Webster
13094,UNKNOWN,Ficus caldasiana,2417693,GBIF,1724587,Manuel Vargas,,9.8333,-83.75,,1972.0,1,1,1,,WGS84,2019,L. R. Holdridge
13095,UNKNOWN,Ficus caldasiana,2417694,GBIF,1724474,Manuel Vargas,,9.6667,-84.0,,1973.0,1,1,1,,WGS84,2019,W. C. Burger
18122,PRESERVED_SPECIMEN,Ficus caldasiana,705877,GBIF,Haber 6175,Manuel Vargas,,10.333333,-84.716667,"Monteverde Reserve, Peñas Blancas river valley, Atlantic slope, Eladio Cruz farm",1986.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
18128,PRESERVED_SPECIMEN,Ficus caldasiana,706176,GBIF,Haber 7945,Manuel Vargas,,10.31666,-84.71666,Reserva Biológica Monteverde Río Peñas Blancas,1987.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
18132,PRESERVED_SPECIMEN,Ficus caldasiana,706685,GBIF,Boyle 2001,Manuel Vargas,,1.0333299999999999,-78.25,"Río San Juan valley, 4 hour walk below Chical, at Ortiz ranch between Peñas Blancas and El Pailón.  Known locally as Goaltal.  North-facing slope below ridge crest above Río San Juan.  Primary Wet to Pluvial Premontane Forest, heavily laden with epiphytes.",1993.0,1,1,1,,WGS84,2019,"Brad Boyle|A. Butler|Lloyd, E."
18151,PRESERVED_SPECIMEN,Ficus caldasiana,708287,GBIF,Kvist 40096,Manuel Vargas,,-0.35,-79.36666,"In the Colorado community Congoma Grande at km. 23 on the Santa Domingo - Puerto Limón road. Ravine with forest remnants, some tall trees cut.",1982.0,1,1,1,,WGS84,2019,Lars P. Kvist|L.B. Holm-Nielsen
18168,PRESERVED_SPECIMEN,Ficus caldasiana,709970,GBIF,McPherson 12938,Manuel Vargas,,6.66666,-76.33333,"Area called Murrí in western central part de department, c. km 15 from Nutibara; collected with J.L. Zarucchi, F.J. Roldán, and O. Escobar.",1988.0,1,1,1,,WGS84,2019,Gordon McPherson
18169,PRESERVED_SPECIMEN,Ficus caldasiana,709990,GBIF,Cerón Martínez 1599,Manuel Vargas,,-1.4,-78.16666,Cantón Baños. Parroquia Río Negro. Bosque muy húmedo Premontano.,1987.0,1,1,1,,WGS84,2019,Carlos E. Cerón
18175,PRESERVED_SPECIMEN,Ficus caldasiana,710781,GBIF,Gentry 55036,Manuel Vargas,,1.166667,-77.966667,"La Planada. S of Ricaurte, 7 km from Tumaco-Pasto road. TRANSECT 7",1986.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Olga Salazar de Benavides
18180,PRESERVED_SPECIMEN,Ficus caldasiana,711527,GBIF,Boyle 2205,Manuel Vargas,,0.8333299999999999,-78.21666,"Cerro Golondrinas.  Upper Río Gualpí headwaters,  north-facing  slope  beyond  (to  north  of)  ridge  crest  at  2300  m  which  rises  above  the  settlements  of  El  Carmen  and  La  Primavera.    Primary  Upper  Montane  Pluvial  Forest.",1993.0,1,1,1,,WGS84,2019,"Brad Boyle|Chamorro, P.|M. Fleury|Peter Hibbs|Quer, M."
18209,PRESERVED_SPECIMEN,Ficus caldasiana,713605,GBIF,Boyle 1581,Manuel Vargas,,0.86666,-78.18333,Cerro Golondrinas.  North-facing slope on south side of upper Río Blanco valley.  Very wet cloud forest; even the thinnest twigs are thickly covered with moss.,1993.0,1,1,1,,WGS84,2019,"Brad Boyle|P. O'Hara|Tynberg, A."
18210,PRESERVED_SPECIMEN,Ficus caldasiana,713679,GBIF,Boyle 1683,Manuel Vargas,,0.86666,-78.16666,"Cerro Golondrinas.  Upper Río Pablo drainage, north side of valley, just above river on steep slope.  Very wet, primary cloud forest.",1993.0,1,1,1,,WGS84,2019,"Brad Boyle|Riley, S.|Way, S."
18221,PRESERVED_SPECIMEN,Ficus caldasiana,714210,GBIF,Núñez Vargas 14132,Manuel Vargas,,-13.216660000000001,-70.75,Hills around Río Araza between Pande Azucar and Quince Mil Airport. Forests 292 km from Cusco.,1991.0,1,1,1,,WGS84,2019,Percy Núñez V.
18226,PRESERVED_SPECIMEN,Ficus caldasiana,714359,GBIF,Grayum 8490,Manuel Vargas,,10.28,-84.04,"Along trail from Finca El Plástico to future site of Rara Avis (at ca. 670 m along W fork of Río Sardinal), Atlantic slope of Volcán Barva.",1987.0,1,1,1,,WGS84,2019,Michael H. Grayum|Erik Eckholm
18570,PRESERVED_SPECIMEN,Ficus caldasiana,FMB-33811,GBIF,7899 (129),Manuel Vargas,,5.526667,-75.04055600000001,"Quebrada Las Mercedes, dirección E",1992.0,1,1,1,,WGS84,2019,"Barbosa, César"
