,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
102,PRESERVED_SPECIMEN,Geonoma congesta,455179,GBIF,2142,Manuel Vargas,,7.159167,-77.803611,Punta Ardita.,1995.0,1,1,1,,WGS84,2019,R. Bernal | W. Devia
1387,PRESERVED_SPECIMEN,Geonoma congesta,1558978,GBIF,,Manuel Vargas,,9.697222,-84.38194399999999,Santa Rosa de Puriscal. Bosque primario en las faldas de Fila La Cangreja.,1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2113,PRESERVED_SPECIMEN,Geonoma congesta,1576926,GBIF,,Manuel Vargas,,10.377778,-83.525,"Estacion Sierpe, Sendero a la laguna.",1990.0,1,1,1,,WGS84,2019,Jose Solano
2121,PRESERVED_SPECIMEN,Geonoma congesta,1577289,GBIF,,Manuel Vargas,,10.643889,-83.736111,Sardinas.,1992.0,1,1,1,,WGS84,2019,F. Araya
3029,PRESERVED_SPECIMEN,Geonoma congesta,1606675,GBIF,,Manuel Vargas,,10.990556,-85.427779,"Estacion Pitilla, Sta. Cecilia 9 km S.",1993.0,1,1,1,,WGS84,2019,Calixto Moraga
3284,PRESERVED_SPECIMEN,Geonoma congesta,1583328,GBIF,,Manuel Vargas,,10.766667,-84.18333299999999,Pital Finca Hiloba. 18 Km N. Boca Tapada,1995.0,1,1,1,,WGS84,2019,Quirico Jiménez
3365,PRESERVED_SPECIMEN,Geonoma congesta,1585604,GBIF,,Manuel Vargas,,8.566667,-83.516667,"Estacion Los Patos, alrededores.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3607,PRESERVED_SPECIMEN,Geonoma congesta,2826815,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón ; Erick Salazar
3608,PRESERVED_SPECIMEN,Geonoma congesta,2826814,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón ; Erick Salazar
3609,PRESERVED_SPECIMEN,Geonoma congesta,2826816,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón ; Erick Salazar
3610,PRESERVED_SPECIMEN,Geonoma congesta,2826817,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón ; Erick Salazar
3611,PRESERVED_SPECIMEN,Geonoma congesta,2826813,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón ; Erick Salazar
3751,PRESERVED_SPECIMEN,Geonoma congesta,2821496,GBIF,,Manuel Vargas,,10.901667999999999,-85.325008,"Upala, Estación Caribe",2003.0,1,1,1,,WGS84,2019,Jose González; Evelio Alfaro ; Catalina Benavides ; Roberto Espinoza ; Jorge Hernández ; Wendy Porras Vega
4416,PRESERVED_SPECIMEN,Geonoma congesta,2831967,GBIF,,Manuel Vargas,,8.780555999999999,-83.333333,Laguna Sierpe.,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Jose González
4424,PRESERVED_SPECIMEN,Geonoma congesta,2831968,GBIF,,Manuel Vargas,,8.780555999999999,-83.333333,Laguna Sierpe.,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Jose González
4425,PRESERVED_SPECIMEN,Geonoma congesta,2831969,GBIF,,Manuel Vargas,,8.780555999999999,-83.333333,Laguna Sierpe.,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Jose González
4426,PRESERVED_SPECIMEN,Geonoma congesta,2831970,GBIF,,Manuel Vargas,,8.780555999999999,-83.333333,Laguna Sierpe.,1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Jose González
4468,PRESERVED_SPECIMEN,Geonoma congesta,2833506,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1999.0,1,1,1,,WGS84,2019,Edgar Mora
4469,PRESERVED_SPECIMEN,Geonoma congesta,2833513,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1999.0,1,1,1,,WGS84,2019,Edgar Mora
4470,PRESERVED_SPECIMEN,Geonoma congesta,2833511,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1999.0,1,1,1,,WGS84,2019,Edgar Mora
4471,PRESERVED_SPECIMEN,Geonoma congesta,2833507,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1999.0,1,1,1,,WGS84,2019,Edgar Mora
4472,PRESERVED_SPECIMEN,Geonoma congesta,2833508,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1999.0,1,1,1,,WGS84,2019,Edgar Mora
4473,PRESERVED_SPECIMEN,Geonoma congesta,2833509,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1999.0,1,1,1,,WGS84,2019,Edgar Mora
4474,PRESERVED_SPECIMEN,Geonoma congesta,2833510,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1999.0,1,1,1,,WGS84,2019,Edgar Mora
4475,PRESERVED_SPECIMEN,Geonoma congesta,2833512,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1999.0,1,1,1,,WGS84,2019,Edgar Mora
4525,PRESERVED_SPECIMEN,Geonoma congesta,2835369,GBIF,,Manuel Vargas,,10.990357000000001,-85.427182,"La Cruz, 9 Km S. de Santa Cecilia, Estación Pitilla.",1996.0,1,1,1,,WGS84,2019,Calixto Moraga
4526,PRESERVED_SPECIMEN,Geonoma congesta,2835370,GBIF,,Manuel Vargas,,10.990357000000001,-85.427182,"La Cruz, 9 Km S. de Santa Cecilia, Estación Pitilla.",1996.0,1,1,1,,WGS84,2019,Calixto Moraga
4529,PRESERVED_SPECIMEN,Geonoma congesta,2835368,GBIF,,Manuel Vargas,,10.990357000000001,-85.427182,"La Cruz, 9 Km S. de Santa Cecilia, Estación Pitilla.",1996.0,1,1,1,,WGS84,2019,Calixto Moraga
4925,PRESERVED_SPECIMEN,Geonoma congesta,2920153,GBIF,,Manuel Vargas,,10.916667,-85.333333,"Dos Rios. 5 Km al Sur de Brasilia, margen derecha del Rio Pizote.",1987.0,1,1,1,,WGS84,2019,Gerardo Herrera
5000,PRESERVED_SPECIMEN,Geonoma congesta,2922535,GBIF,,Manuel Vargas,,9.6,-82.958333,Shiroles.,1990.0,1,1,1,,WGS84,2019,Donald R. Hodel
5001,PRESERVED_SPECIMEN,Geonoma congesta,2922678,GBIF,,Manuel Vargas,,11.033333,-85.4,"Estacion Pitilla. Finca La Pasmompa. Bosque Primario y Secundario. - M.M. Chavarria, B. Hammel & Q. Jimenez",1989.0,1,1,1,,WGS84,2019,I INBio
5012,PRESERVED_SPECIMEN,Geonoma congesta,2923047,GBIF,,Manuel Vargas,,8.625,-83.68055600000001,"Los Planes. Bosque comunal, La Gloria.",1991.0,1,1,1,,WGS84,2019,Gustavo Induni
5050,PRESERVED_SPECIMEN,Geonoma congesta,2924624,GBIF,,Manuel Vargas,,8.5,-83.591667,"Sirena. Sendero Pavo, sector a 30 msnm",1989.0,1,1,1,,WGS84,2019,C. Kernan
5122,PRESERVED_SPECIMEN,Geonoma congesta,2927755,GBIF,,Manuel Vargas,,10.416667,-83.56666700000001,"Estacion Agua Fria, a 5 Km de la casa- estacion, sobre el sendero Las Lomas. Vegetacion primaria.",1987.0,1,1,1,,WGS84,2019,Rafael Robles
5125,PRESERVED_SPECIMEN,Geonoma congesta,2927840,GBIF,,Manuel Vargas,,10.416667,-83.56666700000001,"Estacion Agua Fria, de la casa-estacion 500 m al Sur, sobre el Sendero Real y 2 Km al Sureste, aproximadamente. Bosque primario.",1987.0,1,1,1,,WGS84,2019,Rafael Robles
5127,PRESERVED_SPECIMEN,Geonoma congesta,2927978,GBIF,,Manuel Vargas,,10.516667,-83.5,"600 m al Suroeste de Tortuguero sobre el Rio Tortuguero, se toma al Oeste sobre tierra. Zona cenagosa. Arboles mas abun- dantes: Pentaclethra, Prioria, Dypterix.",1987.0,1,1,1,,WGS84,2019,Rafael Robles
5128,PRESERVED_SPECIMEN,Geonoma congesta,2928027,GBIF,,Manuel Vargas,,10.516667,-83.500001,"Cerro Tortuguero, 5 Km al Norte del pueblo.",1987.0,1,1,1,,WGS84,2019,Rafael Robles
5153,PRESERVED_SPECIMEN,Geonoma congesta,2928826,GBIF,,Manuel Vargas,,9.794444,-83.108334,"Cerro Muchilla, Fila Matama. Entrando por pueblo El Progreso. Bosque nuboso de Vochysia, con sotobosque de Chamaedorea, Geonoma y otras.",1989.0,1,1,1,,WGS84,2019,Rafael Robles
5157,PRESERVED_SPECIMEN,Geonoma congesta,2929228,GBIF,,Manuel Vargas,,10.444444,-83.57777800000001,"Estacion Agua Fria. Sendero El Aguacate, a 500 m de la entrada.",1990.0,1,1,1,,WGS84,2019,Jose Solano
5163,PRESERVED_SPECIMEN,Geonoma congesta,2929244,GBIF,,Manuel Vargas,,10.533889,-83.507222,Estacion Cuatro Esquinas.,1990.0,1,1,1,,WGS84,2019,Jose Solano
