,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
515,PRESERVED_SPECIMEN,Guarea aguilarii,1526596,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
517,PRESERVED_SPECIMEN,Guarea aguilarii,1526595,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
544,PRESERVED_SPECIMEN,Guarea aguilarii,1526799,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
545,PRESERVED_SPECIMEN,Guarea aguilarii,1526798,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2151,PRESERVED_SPECIMEN,Guarea aguilarii,1578428,GBIF,,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemado, near Rincon.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
2670,PRESERVED_SPECIMEN,Guarea aguilarii,1597688,GBIF,,Manuel Vargas,,8.6,-83.733333,Llorona to Los Planes.,1989.0,1,1,1,,WGS84,2019,C. Kernan
2674,PRESERVED_SPECIMEN,Guarea aguilarii,1597693,GBIF,,Manuel Vargas,,8.575,-83.575,Fila Estero Guerra. Sierpe.,1991.0,1,1,1,,WGS84,2019,Juan Marin
2684,PRESERVED_SPECIMEN,Guarea aguilarii,1597734,GBIF,,Manuel Vargas,,8.675,-83.522222,Quebrada Banegas. Aguabuena.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11307,PRESERVED_SPECIMEN,Guarea aguilarii,4176102,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
11308,PRESERVED_SPECIMEN,Guarea aguilarii,4176101,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
11309,PRESERVED_SPECIMEN,Guarea aguilarii,4176104,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
11310,PRESERVED_SPECIMEN,Guarea aguilarii,4176103,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
11314,PRESERVED_SPECIMEN,Guarea aguilarii,4176105,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
38422,PRESERVED_SPECIMEN,Guarea aguilarii,100487884,GBIF,Rodríguez González 8016,Manuel Vargas,,8.770556,-83.50667,Camino a Bajo San Juan. Bosque aleda?os al camino.,2003.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
38677,PRESERVED_SPECIMEN,Guarea aguilarii,100499705,GBIF,Rodríguez González 8016,Manuel Vargas,,8.770556,-83.50667,R.F. Golfo Dulce. Cuenca Térraba-Sierpe. Camino a Bajo San Juan. Bosque aledaños al camino.,2003.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|H. H. C. Raaijmakers
49211,PRESERVED_SPECIMEN,Guarea aguilarii,126016,GBIF,Aguilar Fernández 476,Manuel Vargas,,8.67,-83.52,Reserva Forestal Golfo Dulce Rincón de Osa. Quebrada Banegas.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
49260,PRESERVED_SPECIMEN,Guarea aguilarii,126197,GBIF,Gentry 78671,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemada, near Rincon, Osa Peninsula. Transect 2.",1993.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Rosa Ortiz|Irene Shonle|Jason C. Bradford|P. Anderson
49602,PRESERVED_SPECIMEN,Guarea aguilarii,129418,GBIF,Kernan 1020,Manuel Vargas,,8.6,-83.73,Parque Nacional Corcovado Llorona to Los Planes.,1989.0,1,1,1,,WGS84,2019,Christopher Kernan|Pamela Phillips
49659,PRESERVED_SPECIMEN,Guarea aguilarii,129812,GBIF,Marín Alpízar 217,Manuel Vargas,,8.57,-83.57,Fila Estero Guerra. Sierpe.,1991.0,1,1,1,,WGS84,2019,Juan Marín
