,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4537,PRESERVED_SPECIMEN,Guarea pyriformis,2836064,GBIF,,Manuel Vargas,,9.384103,-84.139174,Manuel Antonio Nat. Pk. Quepos,1984.0,1,1,1,,WGS84,2019,Terence Dale Pennington; Luis J. Poveda ; Nelson A. Zamora Villalobos
4899,PRESERVED_SPECIMEN,Guarea pyriformis,2919583,GBIF,,Manuel Vargas,,9.4,-84.166667,"Woods near ANEP road, Punta Catedral, Puerto Escondido, and Lotz Road.",1990.0,1,1,1,,WGS84,2019,Patrick Harmon
11576,PRESERVED_SPECIMEN,Guarea pyriformis,4232133,GBIF,,Manuel Vargas,,9.381889,-84.142778,"P. N. Manuel Antonio, alrededor de la estación.",2006.0,1,1,1,,WGS84,2019,L. Acosta; Guillermo Villalobos ; Frank  Alonso González Brenes
11577,PRESERVED_SPECIMEN,Guarea pyriformis,4232131,GBIF,,Manuel Vargas,,9.381889,-84.142778,"P. N. Manuel Antonio, alrededor de la estación.",2006.0,1,1,1,,WGS84,2019,L. Acosta; Guillermo Villalobos ; Frank  Alonso González Brenes
11578,PRESERVED_SPECIMEN,Guarea pyriformis,4232132,GBIF,,Manuel Vargas,,9.381889,-84.142778,"P. N. Manuel Antonio, alrededor de la estación.",2006.0,1,1,1,,WGS84,2019,L. Acosta; Guillermo Villalobos ; Frank  Alonso González Brenes
14423,PRESERVED_SPECIMEN,Guarea pyriformis,0084077,GBIF,,Manuel Vargas,,8.48333,-83.58333,"Puntarenas/Golfito; P.N. Corcovado, Estacion Sirena, Sendero Las Hollas. Altitude 50 m, Coordinates 8°28'N - 83°36'W.",1999.0,1,1,1,,WGS84,2019,"Huber,W. & Weissenhofer,A."
14426,PRESERVED_SPECIMEN,Guarea pyriformis,0084076,GBIF,,Manuel Vargas,,8.48333,-83.58333,"Puntarenas/Golfito; P.N. Corcovado, Estacion Sirena, Sendero Las Hollas. Altitude 50 m, Coordinates 8°28'N - 83°36'W.",1999.0,1,1,1,,WGS84,2019,"Huber,W. & Weissenhofer,A."
14848,PRESERVED_SPECIMEN,Guarea pyriformis,2830961,GBIF,Ramírez Arango 1018,Manuel Vargas,,6.00045,-74.0002,"Quebrada ""La Cristalina"". Sector SW.",1987.0,1,1,1,,WGS84,2019,Juan Guillermo Ramírez|Dairon Cárdenas L.
14853,PRESERVED_SPECIMEN,Guarea pyriformis,2831358,GBIF,Betancur B. 5029,Manuel Vargas,,1.2,-76.63333,"Corregimiento de San Antonio, vereda Alto Campucana, finca La Mariposa, bosque primario dominado por Lauráceas y Meliáceas. Vertiente amazónica de Colombia.",1994.0,1,1,1,,WGS84,2019,Julio C. Betancur B.|P. Galvis|Z. Marín
19816,PRESERVED_SPECIMEN,Guarea pyriformis,369979,GBIF,5286,Manuel Vargas,,1.134722,-76.63472,"San Antonio, Vereda Alto Campunaca,finca La Mariposa,Quebrada.",,1,1,1,,WGS84,2019,P. Franco R.
23416,PRESERVED_SPECIMEN,Guarea pyriformis,130824,GBIF,,Manuel Vargas,,9.38,-84.15,P.N. Manuel Antonio Forest on steep slopes above the sea.,1984.0,1,1,1,,WGS84,2019,"Pennington, Terence D."
23434,PRESERVED_SPECIMEN,Guarea pyriformis,153897,GBIF,,Manuel Vargas,,9.38,-84.14,"P.N. Manuel Antonio Woods near ANEP road, Punta Catedral, Puerto Escondido, and Lotz Road.",1990.0,1,1,1,,WGS84,2019,"Harmon, Patrick"
34455,PRESERVED_SPECIMEN,Guarea pyriformis,V0155809F,GBIF,5029,Manuel Vargas,,3.0,-76.0,,1994.0,1,1,1,,WGS84,2019,J. Betancur B. et al.
40398,PRESERVED_SPECIMEN,Guarea pyriformis,2256766,GBIF,Soejarto 4134,Manuel Vargas,,7.0,-75.0,"Corregimiento de Providencia. Valle del Río Anorí, entre Dos Bocas y Anorí. Zona transicional entre bosque húmedo y muy húmedo tropical montañoso.",1973.0,1,1,1,,WGS84,2019,Djaja D. Soejarto|et al.
44855,PRESERVED_SPECIMEN,Guarea pyriformis,101757,GBIF,5029,Manuel Vargas,,1.2,-76.633333,"Corregimiento San Antonio, vereda Alto Campucana, finca La Mariposa",1994.0,1,1,1,,WGS84,2019,Betancur J. | Galvis P. | Marín Z.
44870,PRESERVED_SPECIMEN,Guarea pyriformis,11898,GBIF,23803,Manuel Vargas,,5.515379,-76.617149,"Road to Lloró, 1-2 km SE of Yuto, 30 km S of Quibdó",1979.0,1,1,1,,WGS84,2019,Gentry A. | Rentería E.
45025,PRESERVED_SPECIMEN,Guarea pyriformis,52484,GBIF,5505,Manuel Vargas,,7.444985000000001,-75.31278,Corregimiento El Doce,1987.0,1,1,1,,WGS84,2019,Callejas R. | Roldán F. | Arbeláez A. | Echeverry D.
45031,PRESERVED_SPECIMEN,Guarea pyriformis,59958,GBIF,13319,Manuel Vargas,,6.238454,-74.827137,Along creeks leading into ISA hydroelectric dam reservoir,1988.0,1,1,1,,WGS84,2019,McPherson G. | Velásquez P. | Ayala A. | Restrepo J.
47734,PRESERVED_SPECIMEN,Guarea pyriformis,100666697,GBIF,Pennington 11366,Manuel Vargas,,9.401944,-84.13805500000001,"NW0984, Quepos, Parque Nacional Manuel Antonio.",1984.0,1,1,1,,WGS84,2019,T. D. Pennington|Luis J. Poveda Álvarez|Patricia Sánchez|Nelson Zamora
48429,PRESERVED_SPECIMEN,Guarea pyriformis,1159877,GBIF,Vásquez Martínez 21770,Manuel Vargas,,-5.05555,-78.33972,"Distrito Imaza, Yamayakat. Bosque primario, colinas con pendientes 20-30 %, transecto 2 x 500 m.",1996.0,1,1,1,,WGS84,2019,Rodolfo Vásquez|et al.
48989,PRESERVED_SPECIMEN,Guarea pyriformis,125178,GBIF,Harmon 33,Manuel Vargas,,9.376667,-84.146389,"Parque Nac. Manuel Antonio.  Woods near ANEP road, Punta Catedral, Puerto Escondido, and Lotz Road.",1990.0,1,1,1,,WGS84,2019,Patrick K. Harmon
49007,PRESERVED_SPECIMEN,Guarea pyriformis,125442,GBIF,Gentry 48283,Manuel Vargas,,3.91666,-77.2,BAJO CALIMA: road to Juanchaco Palmeras. Pluvial forest.,1984.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|W. Ladrach|H. Mazuera
