,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
912,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1509854,GBIF,,Manuel Vargas,,9.391667,-83.608333,"Las Nubes, Estacion Santa Elena. Potrero y bosque secundario.",1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
933,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1510559,GBIF,,Manuel Vargas,,10.880556,-85.40139,"Finca Nueva Zelandia, bosque secundario camino a la estacion.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1123,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1515565,GBIF,,Manuel Vargas,,10.363889,-84.481944,"Florencia, Penjamo, 3 km E del puente sobre el  Rio Penjamo. Finca de Antonio Rigioni.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1135,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1516168,GBIF,,Manuel Vargas,,9.465278,-83.70277800000001,La Hortensia.,1996.0,1,1,1,,WGS84,2019,Evelio Alfaro
1203,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1517209,GBIF,,Manuel Vargas,,10.297222,-84.073611,Puesto El Ceibo. On ridge crest 250 m E of Transect Trail. Primary premontane wet forest.,1994.0,1,1,1,,WGS84,2019,Brad Boyle
1204,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1517214,GBIF,,Manuel Vargas,,10.297222,-84.073611,Puesto El Ceibo. On ridge crest 250 m E of Transect Trail. Primary premontane wet forest.,1994.0,1,1,1,,WGS84,2019,Brad Boyle
2144,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1578290,GBIF,,Manuel Vargas,,10.333333,-84.7,Rio Penas Blancas. Division Bosque Eterno de Los Ninos y Finca I.Q.P.S.A.,1990.0,1,1,1,,WGS84,2019,Erick Bello
2145,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1578282,GBIF,,Manuel Vargas,,10.3,-84.733333,Rio Penas Blancas. Finca de Jesus Rojas.,1989.0,1,1,1,,WGS84,2019,Erick Bello
2615,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1596658,GBIF,,Manuel Vargas,,10.990556,-85.427778,Estacion Pitilla.,1990.0,1,1,1,,WGS84,2019,Calixto Moraga
2672,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1597740,GBIF,,Manuel Vargas,,10.405,-84.05833299999999,Estacion Magsasay. Rio Peje.,1990.0,1,1,1,,WGS84,2019,Daniel Acevedo
2673,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1597722,GBIF,,Manuel Vargas,,10.433333,-84.01666999999999,"Rio Sarapiqui near Puerto Viejo, tropical wet forest, junction SSO and LOC Trails.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
2675,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1597712,GBIF,,Manuel Vargas,,9.420833,-82.983333,"Quebrada Crori, Crorina.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacon
2676,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1597731,GBIF,,Manuel Vargas,,9.404167,-82.969444,"Sukut, desembocadura del Rio Sukut en el Rio Uren. Camino al sureste, hacia Purisqui.",1989.0,1,1,1,,WGS84,2019,Barry Hammel
2681,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1597728,GBIF,,Manuel Vargas,,10.35,-84.666667,"Atlantic slope, Rio Penas Blancas valley Laguna Poco Sol.",1992.0,1,1,1,,WGS84,2019,William Haber
2688,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1597711,GBIF,,Manuel Vargas,,9.408333,-82.969445,"Sobre la Fila entre el Rio Sukut y el Rio Uren, camino a Purisqui",1989.0,1,1,1,,WGS84,2019,Abelardo Chacon
2689,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1597742,GBIF,,Manuel Vargas,,10.35,-84.666667,"Poco Sol, Laguna Azul.",1989.0,1,1,1,,WGS84,2019,Erick Bello
2918,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1603767,GBIF,,Manuel Vargas,,10.311111,-84.833889,"San Gerardo Abajo, Rio Cano Negro. Fincas Quesada y Arce.",1991.0,1,1,1,,WGS84,2019,Erick Bello
2919,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1603762,GBIF,,Manuel Vargas,,10.311111,-84.833889,"San Gerardo Abajo, Rio Cano Negro. Fincas Quesada y Arce.",1991.0,1,1,1,,WGS84,2019,Erick Bello
2920,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1603768,GBIF,,Manuel Vargas,,10.294444,-84.75,Estacion Aleman s.,1991.0,1,1,1,,WGS84,2019,Erick Bello
2921,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1603781,GBIF,,Manuel Vargas,,10.990556,-85.427778,Estacion Pitilla.,1991.0,1,1,1,,WGS84,2019,Calixto Moraga
2922,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1603801,GBIF,,Manuel Vargas,,10.333333,-84.7,"Rio Penas Blancas, Campo 3.",1989.0,1,1,1,,WGS84,2019,Erick Bello
2924,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1603786,GBIF,,Manuel Vargas,,9.419444,-83.051389,"Alto Lari, trail down to the river Secundary Forest",1992.0,1,1,1,,WGS84,2019,Jens Bittner
2926,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1603821,GBIF,,Manuel Vargas,,8.533333,-83.466667,"El Tigre, cabecera del Rio Agujas. Finca Azofeifa.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2927,PRESERVED_SPECIMEN,Guarea rhopalocarpa,1603826,GBIF,,Manuel Vargas,,10.643889,-83.736111,Sardinas.,1992.0,1,1,1,,WGS84,2019,F. Araya
