,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2679,PRESERVED_SPECIMEN,Guarea subsessilifolia,1597709,GBIF,,Manuel Vargas,,9.791667,-84.475,Faldas del Cerro Bares.,1990.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga
2923,PRESERVED_SPECIMEN,Guarea subsessilifolia,1603802,GBIF,,Manuel Vargas,,9.783333,-84.483333,"SW spur of Cerro Turrubares, ridge bet. N and S forks of Rio Carara.",1993.0,1,1,1,,WGS84,2019,Michael H. Grayum
2934,PRESERVED_SPECIMEN,Guarea subsessilifolia,1603907,GBIF,,Manuel Vargas,,10.304167,-84.811111,"Monteverde. 3 km west on road from Santa Elena to Lagarto, Pacific slope, headwaters of Rio Lagarto.",1993.0,1,1,1,,WGS84,2019,William Haber
5641,PRESERVED_SPECIMEN,Guarea subsessilifolia,3095672,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1996.0,1,1,1,,WGS84,2019,William Haber
5642,PRESERVED_SPECIMEN,Guarea subsessilifolia,3095673,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1996.0,1,1,1,,WGS84,2019,William Haber
5643,PRESERVED_SPECIMEN,Guarea subsessilifolia,3095675,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1996.0,1,1,1,,WGS84,2019,William Haber
5644,PRESERVED_SPECIMEN,Guarea subsessilifolia,3095671,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1996.0,1,1,1,,WGS84,2019,William Haber
5645,PRESERVED_SPECIMEN,Guarea subsessilifolia,3095670,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1996.0,1,1,1,,WGS84,2019,William Haber
5646,PRESERVED_SPECIMEN,Guarea subsessilifolia,3095674,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1996.0,1,1,1,,WGS84,2019,William Haber
5647,PRESERVED_SPECIMEN,Guarea subsessilifolia,3095676,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1996.0,1,1,1,,WGS84,2019,William Haber
5658,PRESERVED_SPECIMEN,Guarea subsessilifolia,3097235,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1997.0,1,1,1,,WGS84,2019,William Haber
5659,PRESERVED_SPECIMEN,Guarea subsessilifolia,3097241,GBIF,,Manuel Vargas,,10.3,-84.833333,"Bajos de La Lindora, lado pacifico, Rio Guacimal. Monteverde.",1997.0,1,1,1,,WGS84,2019,William Haber
