,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1057,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513598,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Monteverde, Pacific slope, lower montane wet forest, upper community, Campbell farm.",1991.0,1,1,1,,WGS84,2019,William Haber
1058,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513589,GBIF,,Manuel Vargas,,10.3,-84.800003,"Monteverde community, Pacific slope wet/moist forest.",1990.0,1,1,1,,WGS84,2019,William Haber
1059,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513590,GBIF,,Manuel Vargas,,10.763889,-85.313889,"Sendero al Volcan, 4 Km al O de la casa de la Administracion.",1991.0,1,1,1,,WGS84,2019,Gerardo Rivera
1061,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513600,GBIF,,Manuel Vargas,,10.3,-84.783333,Vertiente Pacifica.,1988.0,1,1,1,,WGS84,2019,William Haber
1062,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513602,GBIF,,Manuel Vargas,,10.928611,-85.46944599999999,Estacion Cacao; Cerro Cacao.,1995.0,1,1,1,,WGS84,2019,Rodolfo Quiros
1065,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513597,GBIF,,Manuel Vargas,,10.797222,-85.305278,"Sendero La Siembra, aprox. a 7 Km de la casa de Administracion.",1991.0,1,1,1,,WGS84,2019,Gerardo Rivera
1066,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513588,GBIF,,Manuel Vargas,,10.3,-84.800004,"Monteverde. Pacific slope wet forest, Tract X, and community.",1992.0,1,1,1,,WGS84,2019,William Haber
1067,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513571,GBIF,,Manuel Vargas,,10.93,-85.47166700000001,"Estacion Mengo, Volcan Cacao; sendero a Fila Cacao.",1989.0,1,1,1,,WGS84,2019,Barry Hammel
1068,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513599,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Rio Guacimal, Comunidad- Reserva.",1990.0,1,1,1,,WGS84,2019,Erick Bello
1069,PRESERVED_SPECIMEN,Haydenoxylon haberianum,1513601,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1990.0,1,1,1,,WGS84,2019,Carlos Chavez
