,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1121,PRESERVED_SPECIMEN,Hirtella lemsii,1515551,GBIF,,Manuel Vargas,,10.409722,-84.1125,"La Virgen, Finca La Tirimbina.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
1189,PRESERVED_SPECIMEN,Hirtella lemsii,1516964,GBIF,,Manuel Vargas,,8.8,-83.283333,2-3 km NW de Chacarita. Bosques ppoco o nada alterados a la orilla de la Carretera Interamericana,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1192,PRESERVED_SPECIMEN,Hirtella lemsii,1516963,GBIF,,Manuel Vargas,,8.8,-83.283333,2-3 km NW de Chacarita. Bosques ppoco o nada alterados a la orilla de la Carretera Interamericana,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1193,PRESERVED_SPECIMEN,Hirtella lemsii,1516961,GBIF,,Manuel Vargas,,8.8,-83.283333,2-3 km NW de Chacarita. Bosques ppoco o nada alterados a la orilla de la Carretera Interamericana,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1194,PRESERVED_SPECIMEN,Hirtella lemsii,1516960,GBIF,,Manuel Vargas,,8.8,-83.283333,2-3 km NW de Chacarita. Bosques ppoco o nada alterados a la orilla de la Carretera Interamericana,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1196,PRESERVED_SPECIMEN,Hirtella lemsii,1516962,GBIF,,Manuel Vargas,,8.8,-83.283333,2-3 km NW de Chacarita. Bosques ppoco o nada alterados a la orilla de la Carretera Interamericana,1996.0,1,1,1,,WGS84,2019,Barry Hammel; Thomas Bernard Croat ; Dylan Hannon
1432,PRESERVED_SPECIMEN,Hirtella lemsii,1559783,GBIF,,Manuel Vargas,,8.759722,-83.398611,Los Mogos. Bosque entre la carretera y el mar.,1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
1441,PRESERVED_SPECIMEN,Hirtella lemsii,1559785,GBIF,,Manuel Vargas,,8.694444,-83.54722199999999,"Camino a Rancho Quemado sitio conocido como Baneguitas, en la cuenca de la Quebrada Banegas.",1993.0,1,1,1,,WGS84,2019,Barry Hammel
1446,PRESERVED_SPECIMEN,Hirtella lemsii,1559786,GBIF,,Manuel Vargas,,8.7,-83.525,"Aguabuena, sector Este.",1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1447,PRESERVED_SPECIMEN,Hirtella lemsii,1559787,GBIF,,Manuel Vargas,,8.7,-83.525,"Aguabuena, sector este.",1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1840,PRESERVED_SPECIMEN,Hirtella lemsii,1567188,GBIF,,Manuel Vargas,,8.697222,-83.594444,Rancho Quemado. Siguiendo el camino nuevo a Drake. Cabeceras del Rio Drake.,1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
2653,PRESERVED_SPECIMEN,Hirtella lemsii,1597263,GBIF,,Manuel Vargas,,8.566667,-83.516667,"Estacion Los Patos, Cerro de Oro.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2660,PRESERVED_SPECIMEN,Hirtella lemsii,1597427,GBIF,,Manuel Vargas,,8.533333,-83.466667,"El Tigre, cabecera del Rio Agujas. Finca Azofeifa.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
