,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
281,PRESERVED_SPECIMEN,Hirtella tubiflora,1518648,GBIF,,Manuel Vargas,,9.556944,-84.08,"Bosques remanentes en el camino a Quepos Fila San Isidro, luego del cruce a San Isidro.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
282,PRESERVED_SPECIMEN,Hirtella tubiflora,1518649,GBIF,,Manuel Vargas,,9.556944,-84.08,"Bosques remanentes en el camino a Quepos Fila San Isidro, luego del cruce a San Isidro.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
283,PRESERVED_SPECIMEN,Hirtella tubiflora,1518650,GBIF,,Manuel Vargas,,9.556944,-84.08,"Bosques remanentes en el camino a Quepos Fila San Isidro, luego del cruce a San Isidro.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; R. J. Abarca
1434,PRESERVED_SPECIMEN,Hirtella tubiflora,1559797,GBIF,,Manuel Vargas,,8.648611,-83.597222,Cerro Brujo. Al oeste de Rancho Quemado.,1991.0,1,1,1,,WGS84,2019,Juan Marin
2047,PRESERVED_SPECIMEN,Hirtella tubiflora,1573630,GBIF,,Manuel Vargas,,8.513889,-83.472222,"Cerro Rincon, Puerto Jimenez. Cabeceras de los Rios Tigre y Rincon.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2324,PRESERVED_SPECIMEN,Hirtella tubiflora,1588838,GBIF,,Manuel Vargas,,10.283333,-84.033334,"Camino a Rara Avis, Horquetas. Reserva Privada. El Plastico.",1994.0,1,1,1,,WGS84,2019,Alvaro Fernandez
4365,PRESERVED_SPECIMEN,Hirtella tubiflora,2830651,GBIF,,Manuel Vargas,,9.573611,-84.013889,"Fila Chonetera, cabeceras Quebrada Azul, 3 km SW de San Joaquin.",1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
4367,PRESERVED_SPECIMEN,Hirtella tubiflora,2830650,GBIF,,Manuel Vargas,,9.573611,-84.013889,"Fila Chonetera, cabeceras Quebrada Azul, 3 km SW de San Joaquin.",1998.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
4856,PRESERVED_SPECIMEN,Hirtella tubiflora,2918815,GBIF,,Manuel Vargas,,9.404167,-82.969444,"Sukut, desembocadura del Rio Sukut en el Rio Uren. Camino al sureste, hacia Purisqui.",1989.0,1,1,1,,WGS84,2019,Barry Hammel
4993,PRESERVED_SPECIMEN,Hirtella tubiflora,2922230,GBIF,,Manuel Vargas,,8.516667,-83.466667,"Cerro Rincon. Alrededores, camino de ascenso por la Fila Matahambre desde Dos Brazos",1990.0,1,1,1,,WGS84,2019,Gerardo Herrera
5369,PRESERVED_SPECIMEN,Hirtella tubiflora,2910886,GBIF,,Manuel Vargas,,9.420833,-82.983333,"Sunidii (Agua de Venado), Crorina.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacon
