,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
518,PRESERVED_SPECIMEN,Huberodendron allenii,1526609,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
524,PRESERVED_SPECIMEN,Huberodendron allenii,1526610,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1404,PRESERVED_SPECIMEN,Huberodendron allenii,1559313,GBIF,,Manuel Vargas,,8.726526,-83.463101,Playa Isidora,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1406,PRESERVED_SPECIMEN,Huberodendron allenii,1559314,GBIF,,Manuel Vargas,,8.616667,-83.525,Ca. 2 km al Oeste de donde el Rio Pavon se junta con Rio Rincon.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1411,PRESERVED_SPECIMEN,Huberodendron allenii,1559312,GBIF,,Manuel Vargas,,8.726526,-83.463101,Playa Isidora,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2298,PRESERVED_SPECIMEN,Huberodendron allenii,1587718,GBIF,,Manuel Vargas,,8.722222,-83.444445,"Los Mogos, Santa Cecilia Centro.",1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2352,PRESERVED_SPECIMEN,Huberodendron allenii,1590785,GBIF,,Manuel Vargas,,8.772222,-83.377779,"Los Mogos, Bahia Chal.",1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
2941,PRESERVED_SPECIMEN,Huberodendron allenii,1604125,GBIF,,Manuel Vargas,,8.716667,-83.580557,"Bahia Chal, entrada Chocuaco.",1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3238,PRESERVED_SPECIMEN,Huberodendron allenii,1582414,GBIF,,Manuel Vargas,,8.566667,-83.516667,Estacion Los Patos.,1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3770,PRESERVED_SPECIMEN,Huberodendron allenii,2845137,GBIF,,Manuel Vargas,,8.729167,-83.45611099999999,Entrada a Chocuaco. Los Mogos.,1997.0,1,1,1,,WGS84,2019,Sandy Salas; Alexánder Francisco Rodríguez González
3771,PRESERVED_SPECIMEN,Huberodendron allenii,2845136,GBIF,,Manuel Vargas,,8.729167,-83.45611099999999,Entrada a Chocuaco. Los Mogos.,1997.0,1,1,1,,WGS84,2019,Sandy Salas; Alexánder Francisco Rodríguez González
3772,PRESERVED_SPECIMEN,Huberodendron allenii,2845135,GBIF,,Manuel Vargas,,8.729167,-83.45611099999999,Entrada a Chocuaco. Los Mogos.,1997.0,1,1,1,,WGS84,2019,Sandy Salas; Alexánder Francisco Rodríguez González
3774,PRESERVED_SPECIMEN,Huberodendron allenii,2845134,GBIF,,Manuel Vargas,,8.729167,-83.45611099999999,Entrada a Chocuaco. Los Mogos.,1997.0,1,1,1,,WGS84,2019,Sandy Salas; Alexánder Francisco Rodríguez González
3776,PRESERVED_SPECIMEN,Huberodendron allenii,2845139,GBIF,,Manuel Vargas,,8.729167,-83.45611099999999,Entrada a Chocuaco. Los Mogos.,1997.0,1,1,1,,WGS84,2019,Sandy Salas; Alexánder Francisco Rodríguez González
