,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
161,HUMAN_OBSERVATION,Hypericum irazuense,5645592,GBIF,,Manuel Vargas,,9.583594,-83.75515,,2017.0,1,1,1,,WGS84,2019,Lena Struwe
13405,PRESERVED_SPECIMEN,Hypericum irazuense,V0412554F,GBIF,26520,Manuel Vargas,,9.8333,-83.75,,1961.0,1,1,1,,WGS84,2019,J. Cuatrecasas & J. León A.
13408,PRESERVED_SPECIMEN,Hypericum irazuense,V0412851F,GBIF,26556,Manuel Vargas,,9.8333,-83.75,,1961.0,1,1,1,,WGS84,2019,J. Cuatrecasas & J. León A.
16885,PRESERVED_SPECIMEN,Hypericum irazuense,3477852,GBIF,Alfaro Vindas 3306,Manuel Vargas,,9.27083,-83.03472,P.N. La Amistad. Cuenca del Sixaola. Cerro Kamuk. Colectado en páramo.,2000.0,1,1,1,,WGS84,2019,Evelio Alfaro
18382,PRESERVED_SPECIMEN,Hypericum irazuense,776227,GBIF,Jiménez Madrigal 1041,Manuel Vargas,,9.55555,-83.74166,"Cerro Buena Vista, cerca de las torres",1991.0,1,1,1,,WGS84,2019,Quírico Jiménez|Óscar Castro|Luis J. Poveda Álvarez
18436,PRESERVED_SPECIMEN,Hypericum irazuense,791754,GBIF,Delprete 5075,Manuel Vargas,,9.55,-83.733333,"Flora of Cerro de la Muerte, alpine climate, often with fog. [Elev. as 3300-3700 m on the original label]",1991.0,1,1,1,,WGS84,2019,Piero G. Delprete
19643,HUMAN_OBSERVATION,Hypericum irazuense,20378705,GBIF,,Manuel Vargas,,9.557683,-83.725902,,2016.0,1,1,1,,WGS84,2019,Nate Hartley
23692,PRESERVED_SPECIMEN,Hypericum irazuense,38061,GBIF,,Manuel Vargas,,9.56,-83.75,Páramo. Cerro de la Muerte.,1963.0,1,1,1,,WGS84,2019,"Williams, Louis O."
23693,PRESERVED_SPECIMEN,Hypericum irazuense,54798,GBIF,,Manuel Vargas,,9.57,-83.75,R.F. Los Santos Cerro de la Muerte.,1971.0,1,1,1,,WGS84,2019,"Kuhbier, Heinrich"
23694,PRESERVED_SPECIMEN,Hypericum irazuense,55945,GBIF,,Manuel Vargas,,9.66,-83.85,"Carretera Interamerica Sur (km 72-73). Ciénaga ""3 de Junio"".",1965.0,1,1,1,,WGS84,2019,"Jiménez, Alfonso"
