,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
411,PRESERVED_SPECIMEN,Ilex costaricensis,1523717,GBIF,,Manuel Vargas,,9.161935,-83.067066,"Puesto Tres Colinas, Sendero a Casa Tipo A",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
412,PRESERVED_SPECIMEN,Ilex costaricensis,1523715,GBIF,,Manuel Vargas,,9.161935,-83.067066,"Puesto Tres Colinas, Sendero a Casa Tipo A",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
414,PRESERVED_SPECIMEN,Ilex costaricensis,1523714,GBIF,,Manuel Vargas,,9.161935,-83.067066,"Puesto Tres Colinas, Sendero a Casa Tipo A",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
415,PRESERVED_SPECIMEN,Ilex costaricensis,1523716,GBIF,,Manuel Vargas,,9.161935,-83.067066,"Puesto Tres Colinas, Sendero a Casa Tipo A",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
1380,PRESERVED_SPECIMEN,Ilex costaricensis,1558709,GBIF,,Manuel Vargas,,10.3,-84.80000799999999,"Road to TV Towers, narrow ridge.",1992.0,1,1,1,,WGS84,2019,William Haber
1888,PRESERVED_SPECIMEN,Ilex costaricensis,1568379,GBIF,,Manuel Vargas,,10.25,-84.766667,"Arancibia, division de aguas de Rios Peñas Blancas-Aranjuez, Pac.-Atl.",1989.0,1,1,1,,WGS84,2019,Erick Bello
1889,PRESERVED_SPECIMEN,Ilex costaricensis,1568380,GBIF,,Manuel Vargas,,10.25,-84.8,"Quebrada Veracruz, Finca Pablo Morales. Vertiente Pacifica.",1990.0,1,1,1,,WGS84,2019,Erick Bello
2088,PRESERVED_SPECIMEN,Ilex costaricensis,1575159,GBIF,,Manuel Vargas,,10.355556,-84.830556,Reserva Biologica del Colegio de Monteverde,1992.0,1,1,1,,WGS84,2019,Erick Bello
3125,PRESERVED_SPECIMEN,Ilex costaricensis,1579891,GBIF,,Manuel Vargas,,10.3,-84.80000799999999,Monteverde. Slope of Cerro Chomogo above Canadian Biological Station. Pacific slope cloud forest.,1993.0,1,1,1,,WGS84,2019,William Haber
4816,PRESERVED_SPECIMEN,Ilex costaricensis,2918145,GBIF,,Manuel Vargas,,10.283333,-84.833333,"Monteverde. Road to TV Towers, lower montane wet forest transition to rain forest.",1991.0,1,1,1,,WGS84,2019,W. J. Hahn
4817,PRESERVED_SPECIMEN,Ilex costaricensis,2918146,GBIF,,Manuel Vargas,,10.283333,-84.833333,"Monteverde. Road to TV Towers, lower montane wet forest transition to rain forest.",1991.0,1,1,1,,WGS84,2019,W. J. Hahn
5505,PRESERVED_SPECIMEN,Ilex costaricensis,2916505,GBIF,,Manuel Vargas,,10.25,-84.783333,"Guacimal, Rio Veracruz. Zona Monteverde, Finca Hermanos Morales. Vertiente Pacifica.",1987.0,1,1,1,,WGS84,2019,William Haber
5517,PRESERVED_SPECIMEN,Ilex costaricensis,2916937,GBIF,,Manuel Vargas,,10.35,-84.8,"Trayecto de  La Torre a Rio Negro, division entre Alajuela-Puntarenas y Guanacaste, entre las vertientes Pacifica y Norte.",1988.0,1,1,1,,WGS84,2019,William Haber
6443,PRESERVED_SPECIMEN,Ilex costaricensis,3407429,GBIF,,Manuel Vargas,,9.547222,-83.830556,"San Gerardo, finca Familia Viquez.",2001.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada ; Jose González ; Rónald Chaves ; Joaquín Sánchez González ; Rafael Chacón ; Jose Solano
6447,PRESERVED_SPECIMEN,Ilex costaricensis,3407428,GBIF,,Manuel Vargas,,9.547222,-83.830556,"San Gerardo, finca Familia Viquez.",2001.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada ; Jose González ; Rónald Chaves ; Joaquín Sánchez González ; Rafael Chacón ; Jose Solano
6449,PRESERVED_SPECIMEN,Ilex costaricensis,3407427,GBIF,,Manuel Vargas,,9.547222,-83.830556,"San Gerardo, finca Familia Viquez.",2001.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada ; Jose González ; Rónald Chaves ; Joaquín Sánchez González ; Rafael Chacón ; Jose Solano
6700,PRESERVED_SPECIMEN,Ilex costaricensis,3436625,GBIF,,Manuel Vargas,,9.601084,-84.35220799999999,Chirraca Abajo De Chirraca Abajo 1km SO,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Vanessa Ramirez
6701,PRESERVED_SPECIMEN,Ilex costaricensis,3436624,GBIF,,Manuel Vargas,,9.601084,-84.35220799999999,Chirraca Abajo De Chirraca Abajo 1km SO,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Vanessa Ramirez
6702,PRESERVED_SPECIMEN,Ilex costaricensis,3436622,GBIF,,Manuel Vargas,,9.601084,-84.35220799999999,Chirraca Abajo De Chirraca Abajo 1km SO,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Vanessa Ramirez
6703,PRESERVED_SPECIMEN,Ilex costaricensis,3436623,GBIF,,Manuel Vargas,,9.601084,-84.35220799999999,Chirraca Abajo De Chirraca Abajo 1km SO,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Vanessa Ramirez
6885,PRESERVED_SPECIMEN,Ilex costaricensis,3456348,GBIF,,Manuel Vargas,,8.924021,-82.791039,"Coto Brus, Zona Prot Las Tablas, Cerro Pelón",2000.0,1,1,1,,WGS84,2019,Evelio Alfaro
6887,PRESERVED_SPECIMEN,Ilex costaricensis,3456349,GBIF,,Manuel Vargas,,8.924021,-82.791039,"Coto Brus, Zona Prot Las Tablas, Cerro Pelón",2000.0,1,1,1,,WGS84,2019,Evelio Alfaro
6889,PRESERVED_SPECIMEN,Ilex costaricensis,3456347,GBIF,,Manuel Vargas,,8.924021,-82.791039,"Coto Brus, Zona Prot Las Tablas, Cerro Pelón",2000.0,1,1,1,,WGS84,2019,Evelio Alfaro
8146,PRESERVED_SPECIMEN,Ilex costaricensis,3907833,GBIF,,Manuel Vargas,,10.072719000000001,-84.307333,Grecia,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jimena Larraguivel
8148,PRESERVED_SPECIMEN,Ilex costaricensis,3907832,GBIF,,Manuel Vargas,,10.072719000000001,-84.307333,Grecia,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jimena Larraguivel
8149,PRESERVED_SPECIMEN,Ilex costaricensis,3907834,GBIF,,Manuel Vargas,,10.072719000000001,-84.307333,Grecia,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jimena Larraguivel
8371,PRESERVED_SPECIMEN,Ilex costaricensis,3912527,GBIF,,Manuel Vargas,,8.906347,-82.77380699999999,"A.C.L.A.P, Coto Brus, Sabalito, Finca Cafrosa.",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Daniel Solano
8372,PRESERVED_SPECIMEN,Ilex costaricensis,3912528,GBIF,,Manuel Vargas,,8.906347,-82.77380699999999,"A.C.L.A.P, Coto Brus, Sabalito, Finca Cafrosa.",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Daniel Solano
8373,PRESERVED_SPECIMEN,Ilex costaricensis,3912529,GBIF,,Manuel Vargas,,8.906347,-82.77380699999999,"A.C.L.A.P, Coto Brus, Sabalito, Finca Cafrosa.",2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Daniel Solano
9132,PRESERVED_SPECIMEN,Ilex costaricensis,4000192,GBIF,,Manuel Vargas,,9.079133,-83.028082,Sabanas Esperanza.,2006.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Juan Francisco Morales Quirós ; Armando Soto
9133,PRESERVED_SPECIMEN,Ilex costaricensis,4000190,GBIF,,Manuel Vargas,,9.079133,-83.028082,Sabanas Esperanza.,2006.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Juan Francisco Morales Quirós ; Armando Soto
9134,PRESERVED_SPECIMEN,Ilex costaricensis,4000191,GBIF,,Manuel Vargas,,9.079133,-83.028082,Sabanas Esperanza.,2006.0,1,1,1,,WGS84,2019,Frank  Alonso González Brenes; Juan Francisco Morales Quirós ; Armando Soto
