,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2095,PRESERVED_SPECIMEN,Ilex hemiepiphytica,1575678,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Monteverde, upper community near Reserve, Bullpen on Campbell farm, Pacific slope.",1990.0,1,1,1,,WGS84,2019,William Haber
2297,PRESERVED_SPECIMEN,Ilex hemiepiphytica,1587704,GBIF,,Manuel Vargas,,10.25,-84.766667,"Ojo de Agua, Finca de Alvarado. Lado pacifico.",1987.0,1,1,1,,WGS84,2019,William Haber
2796,PRESERVED_SPECIMEN,Ilex hemiepiphytica,1601492,GBIF,,Manuel Vargas,,10.244444,-84.572222,Sector Colonia Palmarena. Sendero El Tajo.,1995.0,1,1,1,,WGS84,2019,Eida Fletes
3255,PRESERVED_SPECIMEN,Ilex hemiepiphytica,1582755,GBIF,,Manuel Vargas,,10.246111,-84.766667,"Cerro Ojo de Agua, Estacion Leonel Hernandez.",1993.0,1,1,1,,WGS84,2019,Erick Bello
3423,PRESERVED_SPECIMEN,Ilex hemiepiphytica,1587074,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Dos Rios. Sendero La Tepescuintle.,1993.0,1,1,1,,WGS84,2019,Roberto Espinoza
3424,PRESERVED_SPECIMEN,Ilex hemiepiphytica,1587064,GBIF,,Manuel Vargas,,10.275833,-84.795834,San Luis; Finca Buen Amigo. Monteverde.,1993.0,1,1,1,,WGS84,2019,Zobeida Fuentes
6855,PRESERVED_SPECIMEN,Ilex hemiepiphytica,3444219,GBIF,,Manuel Vargas,,10.722937,-85.036806,"Albergue Helinonias,sendero Heliconias. Área de Conservación Arenal",2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
6856,PRESERVED_SPECIMEN,Ilex hemiepiphytica,3444216,GBIF,,Manuel Vargas,,10.722937,-85.036806,"Albergue Helinonias,sendero Heliconias. Área de Conservación Arenal",2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
6858,PRESERVED_SPECIMEN,Ilex hemiepiphytica,3444217,GBIF,,Manuel Vargas,,10.722937,-85.036806,"Albergue Helinonias,sendero Heliconias. Área de Conservación Arenal",2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
6859,PRESERVED_SPECIMEN,Ilex hemiepiphytica,3444218,GBIF,,Manuel Vargas,,10.722937,-85.036806,"Albergue Helinonias,sendero Heliconias. Área de Conservación Arenal",2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
7248,PRESERVED_SPECIMEN,Ilex hemiepiphytica,3533048,GBIF,,Manuel Vargas,,10.255556,-84.085,"Sendero del Transecto. 10 minute walking below refugio at 1070 m. Treefall gap on ridge, before crossing first creek below house. Transect 1000-1",2002.0,1,1,1,,WGS84,2019,Alice Boyle; Laura Cholodenko ; Heather Reider
7249,PRESERVED_SPECIMEN,Ilex hemiepiphytica,3533049,GBIF,,Manuel Vargas,,10.255556,-84.085,"Sendero del Transecto. 10 minute walking below refugio at 1070 m. Treefall gap on ridge, before crossing first creek below house. Transect 1000-1",2002.0,1,1,1,,WGS84,2019,Alice Boyle; Laura Cholodenko ; Heather Reider
7250,PRESERVED_SPECIMEN,Ilex hemiepiphytica,3533050,GBIF,,Manuel Vargas,,10.255556,-84.085,"Sendero del Transecto. 10 minute walking below refugio at 1070 m. Treefall gap on ridge, before crossing first creek below house. Transect 1000-1",2002.0,1,1,1,,WGS84,2019,Alice Boyle; Laura Cholodenko ; Heather Reider
7254,PRESERVED_SPECIMEN,Ilex hemiepiphytica,3533047,GBIF,,Manuel Vargas,,10.255556,-84.085,"Sendero del Transecto. 10 minute walking below refugio at 1070 m. Treefall gap on ridge, before crossing first creek below house. Transect 1000-1",2002.0,1,1,1,,WGS84,2019,Alice Boyle; Laura Cholodenko ; Heather Reider
9631,PRESERVED_SPECIMEN,Ilex hemiepiphytica,4083302,GBIF,,Manuel Vargas,,10.686111,-84.18055600000001,"ca. 7 km NE de Boca Tapada, Laguna del Lagarto Lodge.",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel
9632,PRESERVED_SPECIMEN,Ilex hemiepiphytica,4083305,GBIF,,Manuel Vargas,,10.686111,-84.18055600000001,"ca. 7 km NE de Boca Tapada, Laguna del Lagarto Lodge.",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel
9634,PRESERVED_SPECIMEN,Ilex hemiepiphytica,4083304,GBIF,,Manuel Vargas,,10.686111,-84.18055600000001,"ca. 7 km NE de Boca Tapada, Laguna del Lagarto Lodge.",2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel
