,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8,PRESERVED_SPECIMEN,Indigofera thibaudiana,DES00017147,GBIF,8344,Manuel Vargas,,16.433195,-97.063637,"A 21 km. al SW de Sola de Vega, o sea a 15 km. al NE de Ojo de Agua, Distr. de Sola de Vega.",1977.0,1,1,1,,WGS84,2019,"Mario Sousa; O. Tellez, A. S. Magallanes, y R. Grether"
15399,PRESERVED_SPECIMEN,Indigofera thibaudiana,2986378,GBIF,Vázquez V. 1320,Manuel Vargas,,19.45,-103.720556,"Volcán de Colima: Rancho El Jabalí, 22 km (airline) N of Colima in the SW foothills of the Volcán, Colima/Jalisco line passes through the ranch; at the edge of the river near Hacienda San Antonio.",1991.0,1,1,1,,WGS84,2019,Lucia Vázquez V.
17019,PRESERVED_SPECIMEN,Indigofera thibaudiana,3599922,GBIF,Hinton 15627,Manuel Vargas,,19.3,-102.35,Tancítaro,1940.0,1,1,1,,WGS84,2019,George B. Hinton|James C. Hinton
17022,PRESERVED_SPECIMEN,Indigofera thibaudiana,3601280,GBIF,Hinton 1698,Manuel Vargas,,19.04,-100.04,Temascaltepec,1932.0,1,1,1,,WGS84,2019,George B. Hinton
17026,PRESERVED_SPECIMEN,Indigofera thibaudiana,3604730,GBIF,Hinton 2018,Manuel Vargas,,18.77,-100.42,Bejucos,1932.0,1,1,1,,WGS84,2019,George B. Hinton
17057,PRESERVED_SPECIMEN,Indigofera thibaudiana,3618257,GBIF,Hinton 7441,Manuel Vargas,,18.9,-100.15,Tejupilco,1935.0,1,1,1,,WGS84,2019,George B. Hinton
18442,PRESERVED_SPECIMEN,Indigofera thibaudiana,228122,GBIF,327,Manuel Vargas,,16.3267,-96.3667,San Cristóbal Amatlan.,1995.0,1,1,1,,WGS84,2019,J. S. Martínez
20467,PRESERVED_SPECIMEN,Indigofera thibaudiana,76697,GBIF,,Manuel Vargas,,21.255833,-100.07777800000001,LLANO GRANDE,1987.0,1,1,1,,WGS84,2019,R. Santillán I.
20468,PRESERVED_SPECIMEN,Indigofera thibaudiana,158693,GBIF,,Manuel Vargas,,17.308332999999998,-98.108333,"10 KM DE SAN SEBASTIAN TECOMAXTLAHUACA, CAMINO A SAN MARTIN DE DURAZNOS, MPIO. SAN SEBASTIAN TECOMAXTLAHUACA, DTO. JUXTLAHUACA, OAX.",1995.0,1,1,1,,WGS84,2019,J. I. Calzada; C. Clevinger
20469,PRESERVED_SPECIMEN,Indigofera thibaudiana,76694,GBIF,,Manuel Vargas,,19.566667000000002,-100.461667,OCHO KM AL S DE TUXPAN,1985.0,1,1,1,,WGS84,2019,J.C. Soto
