,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
900,PRESERVED_SPECIMEN,Inga exalata,1509254,GBIF,,Manuel Vargas,,10.866667,-85.402778,"Quebrada Grande, 1 km despues de Nueva Zelandia.",1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
968,PRESERVED_SPECIMEN,Inga exalata,1511893,GBIF,,Manuel Vargas,,8.675,-83.5875,Rancho Quemado; fila (en la parte mas alta).,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
977,PRESERVED_SPECIMEN,Inga exalata,1512170,GBIF,,Manuel Vargas,,10.880556,-85.40139,Estacion San Ramon. Dos Rios. Sendero Argentina.,1996.0,1,1,1,,WGS84,2019,Freddy A. Quesada
979,PRESERVED_SPECIMEN,Inga exalata,1512171,GBIF,,Manuel Vargas,,10.880556,-85.40139,Estacion San Ramon. Dos Rios. Sendero Argentina.,1996.0,1,1,1,,WGS84,2019,Freddy A. Quesada
1522,PRESERVED_SPECIMEN,Inga exalata,1560856,GBIF,,Manuel Vargas,,9.430556,-83.05555600000001,"Alto Lari, siguiendo fila entre Rios Dapari y Lari, bajando hasta su cauce.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1525,PRESERVED_SPECIMEN,Inga exalata,1560855,GBIF,,Manuel Vargas,,10.219444000000001,-84.593056,"Bosque primario y secundario en el sendero Saino, por la fila al Volcan Viejo; Estacion Rio San Lorencito.",1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
1526,PRESERVED_SPECIMEN,Inga exalata,1560857,GBIF,,Manuel Vargas,,9.788333,-83.145833,"El Progreso, siguiendo el sendero de la avioneta, por la fila entre 1000 m y los 1300 m. Fila Matama.",1989.0,1,1,1,,WGS84,2019,Gerardo Herrera
1799,PRESERVED_SPECIMEN,Inga exalata,1566010,GBIF,,Manuel Vargas,,10.580556,-84.991667,Tierras Morenas. Finca El Sabalo,1993.0,1,1,1,,WGS84,2019,Gladys Rodriguez
1841,PRESERVED_SPECIMEN,Inga exalata,1567246,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1991.0,1,1,1,,WGS84,2019,Carlos Chavez
1958,PRESERVED_SPECIMEN,Inga exalata,1570589,GBIF,,Manuel Vargas,,11.033333,-85.408334,"Finca La Pasmompa, 5 Km al Sur de Santa Cecilia, camino a Cerro Orosilito.",1993.0,1,1,1,,WGS84,2019,Roberto Espinoza
1968,PRESERVED_SPECIMEN,Inga exalata,1570907,GBIF,,Manuel Vargas,,10.7875,-85.264444,"Aguas Claras. Camino a Colonia Blanca, Finca los Mora y limite del Parque.",1991.0,1,1,1,,WGS84,2019,Gerardo Rivera
2258,PRESERVED_SPECIMEN,Inga exalata,1537690,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2259,PRESERVED_SPECIMEN,Inga exalata,1537692,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2261,PRESERVED_SPECIMEN,Inga exalata,1537691,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1997.0,1,1,1,,WGS84,2019,Francisco Alvarado; Ulises Chavarría ; Jose González
2655,PRESERVED_SPECIMEN,Inga exalata,1597286,GBIF,,Manuel Vargas,,10.325,-84.825,2 km NW of La Florida on road from Santa Elena to Tilaran.,1993.0,1,1,1,,WGS84,2019,William Haber
2857,PRESERVED_SPECIMEN,Inga exalata,1602044,GBIF,,Manuel Vargas,,8.722222,-83.538889,"San Juan, fila Casaloma, siguiendo la trocha a Sierpe, estribaciones Cerros Chocuaco.",1991.0,1,1,1,,WGS84,2019,Gerardo Herrera
2861,PRESERVED_SPECIMEN,Inga exalata,1602042,GBIF,,Manuel Vargas,,9.700556,-84.22694399999999,"Zoncuano. Bosque primario y secundario en la falda Sur de Fila Zoncuano, cerca del Rio Parritilla, cerca camino.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
2863,PRESERVED_SPECIMEN,Inga exalata,1602046,GBIF,,Manuel Vargas,,8.7,-83.594445,"Rancho Quemado, en fila directamente al Oeste del pueblo; tierra del grupo de conservacionistas de Rancho Quemado.",1993.0,1,1,1,,WGS84,2019,Barry Hammel
2865,PRESERVED_SPECIMEN,Inga exalata,1602043,GBIF,,Manuel Vargas,,8.7,-83.594445,"Rancho Quemado, fila al Oeste, Tierra Grupo Conservacion. A tanques de agua.",1993.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
2867,PRESERVED_SPECIMEN,Inga exalata,1602045,GBIF,,Manuel Vargas,,8.716667,-83.580556,"Rancho Quemado. Tierra de Conservacion, Fila, cruce de camino al tanque de agua.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
3093,PRESERVED_SPECIMEN,Inga exalata,1579064,GBIF,,Manuel Vargas,,10.408333,-84.775,"Palmital, Quebrada Malanga, Rio Cano Negro.",1993.0,1,1,1,,WGS84,2019,Erick Bello
3170,PRESERVED_SPECIMEN,Inga exalata,1580964,GBIF,,Manuel Vargas,,10.990556,-85.427779,Estacion Pitilla. Fila Orosilito y Sendero El Mismo.,1991.0,1,1,1,,WGS84,2019,Petrona Ríos Castro
3181,PRESERVED_SPECIMEN,Inga exalata,1581058,GBIF,,Manuel Vargas,,11.033333,-85.408334,"Estacion Pitilla. Sendero El Mismo, Finca La Pasmompa.",1990.0,1,1,1,,WGS84,2019,Petrona Ríos Castro
3252,PRESERVED_SPECIMEN,Inga exalata,1582694,GBIF,,Manuel Vargas,,10.216667,-84.606944,Estacion Rio San Lorenzo. Sendero El Saino. Curso de Botanica.,1993.0,1,1,1,,WGS84,2019,Marielos Reyes
3277,PRESERVED_SPECIMEN,Inga exalata,1583166,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Dos Rios. Bosque alrededor de la casa.,1993.0,1,1,1,,WGS84,2019,Roberto Espinoza
3289,PRESERVED_SPECIMEN,Inga exalata,1583478,GBIF,,Manuel Vargas,,10.3,-84.783333,"La Chiripa, 16 km NW of Monteverde on road from Sta. Elena to Tilaran.",1993.0,1,1,1,,WGS84,2019,William Haber
3561,PRESERVED_SPECIMEN,Inga exalata,2825181,GBIF,,Manuel Vargas,,8.785556,-82.958056,"Jungle loop trail, Las Cruces Biological Station, Wilson Botanical Garden, San Vito de Java.",1998.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Reinaldo Aguilar
3562,PRESERVED_SPECIMEN,Inga exalata,2825183,GBIF,,Manuel Vargas,,8.785556,-82.958056,"Jungle loop trail, Las Cruces Biological Station, Wilson Botanical Garden, San Vito de Java.",1998.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Reinaldo Aguilar
3564,PRESERVED_SPECIMEN,Inga exalata,2825180,GBIF,,Manuel Vargas,,8.785556,-82.958056,"Jungle loop trail, Las Cruces Biological Station, Wilson Botanical Garden, San Vito de Java.",1998.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Reinaldo Aguilar
3565,PRESERVED_SPECIMEN,Inga exalata,2825182,GBIF,,Manuel Vargas,,8.785556,-82.958056,"Jungle loop trail, Las Cruces Biological Station, Wilson Botanical Garden, San Vito de Java.",1998.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Reinaldo Aguilar
3993,PRESERVED_SPECIMEN,Inga exalata,2849173,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
3994,PRESERVED_SPECIMEN,Inga exalata,2849176,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
3995,PRESERVED_SPECIMEN,Inga exalata,2849172,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
3996,PRESERVED_SPECIMEN,Inga exalata,2849175,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
3997,PRESERVED_SPECIMEN,Inga exalata,2849174,GBIF,,Manuel Vargas,,10.709184,-85.117671,Rio Naranjo,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
4138,PRESERVED_SPECIMEN,Inga exalata,2852575,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4139,PRESERVED_SPECIMEN,Inga exalata,2852576,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4140,PRESERVED_SPECIMEN,Inga exalata,2852580,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4141,PRESERVED_SPECIMEN,Inga exalata,2852584,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4142,PRESERVED_SPECIMEN,Inga exalata,2852581,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4143,PRESERVED_SPECIMEN,Inga exalata,2852574,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4144,PRESERVED_SPECIMEN,Inga exalata,2852582,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4145,PRESERVED_SPECIMEN,Inga exalata,2852578,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4146,PRESERVED_SPECIMEN,Inga exalata,2852579,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4147,PRESERVED_SPECIMEN,Inga exalata,2852583,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4148,PRESERVED_SPECIMEN,Inga exalata,2852577,GBIF,,Manuel Vargas,,10.882909,-85.401652,"Upala, Dos Ríos, San Cristobal.",1997.0,1,1,1,,WGS84,2019,Freddy A. Quesada
4428,PRESERVED_SPECIMEN,Inga exalata,2832038,GBIF,,Manuel Vargas,,8.694441000000001,-83.494014,"Rincón de Osa, Fila Casa Loma, 1400 m SW de la escuela",1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4429,PRESERVED_SPECIMEN,Inga exalata,2832039,GBIF,,Manuel Vargas,,8.694441000000001,-83.494014,"Rincón de Osa, Fila Casa Loma, 1400 m SW de la escuela",1998.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
4937,PRESERVED_SPECIMEN,Inga exalata,2920522,GBIF,,Manuel Vargas,,10.766667,-85.266667,Siguiendo el canal hasta Quebrada Provision y de ahi por el canal - secundario hasta la quebrada siguiente.,1988.0,1,1,1,,WGS84,2019,Gerardo Herrera
5414,PRESERVED_SPECIMEN,Inga exalata,2913027,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Sendero El Argentino Dos Rios.,1994.0,1,1,1,,WGS84,2019,Dunia Garcia
