,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1308,PRESERVED_SPECIMEN,Inga latipes,1556943,GBIF,,Manuel Vargas,,9.396944,-83.081944,Alto Lari. Kivut a fila a Rio Lari.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1518,PRESERVED_SPECIMEN,Inga latipes,1560867,GBIF,,Manuel Vargas,,9.430556,-83.05555600000001,"Alto Lari, siguiendo fila entre Rios Dapari y Lari, bajando hasta su cauce.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
1523,PRESERVED_SPECIMEN,Inga latipes,1560868,GBIF,,Manuel Vargas,,10.333333,-84.85,"Quebrada Can~ita, Rio Can~as.  3 km NW de Santa Elena",1989.0,1,1,1,,WGS84,2019,Erick Bello
18875,PRESERVED_SPECIMEN,Inga latipes,U.1307281,GBIF,,Manuel Vargas,,10.033333,-83.55,"Flora of Costa Rica. Cartago, Buena Vista to Siquirres, 8km before Siquirres.",1992.0,1,1,1,,WGS84,2019,Pennington TD; Owen PE
23857,PRESERVED_SPECIMEN,Inga latipes,162447,GBIF,,Manuel Vargas,,10.33,-84.85,"Cañitas. Río Cañas, Lado Pacífico.",1989.0,1,1,1,,WGS84,2019,"Bello, Erick"
23864,PRESERVED_SPECIMEN,Inga latipes,174119,GBIF,,Manuel Vargas,,9.43,-83.05,"Alto Lari. Siguiendo la fila entre Río Dapari y Río Lari, bajando hasta el cauce del mismo.",1992.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
23868,PRESERVED_SPECIMEN,Inga latipes,175736,GBIF,,Manuel Vargas,,9.39,-83.08,Alto Lari. Kivut  a fila a Río Lari.,1992.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
29619,PRESERVED_SPECIMEN,Inga latipes,M-0217937 / 639319 / 296103,GBIF,,Manuel Vargas,,10.0,-84.0,Forêts de las Vueltas. Tucurrique.,1899.0,1,1,1,,WGS84,2019,"Tonduz, A. (no. 13056)"
35844,PRESERVED_SPECIMEN,Inga latipes,96444,GBIF,Aguilar Fernández 1139,Manuel Vargas,,9.396944,-83.081944,Alto Lari. Kivut a fila a Río Lari.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar|Heidi H. Schmidt
35848,PRESERVED_SPECIMEN,Inga latipes,96522,GBIF,Aguilar Fernández 1040,Manuel Vargas,,9.430556,-83.05555600000001,"Bratsi. Alto Lari. Siguiendo la fila entre Río Dapari y Río Lari, bajando hasta el cauce del mismo.",1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar|Heidi H. Schmidt
39689,PRESERVED_SPECIMEN,Inga latipes,G-G-276385/2,GBIF,,Manuel Vargas,,9.78611,-83.68,"Cartago - Forêt de Las Vueltas, Tucurrique/Provincia de Cartago",,1,1,1,,WGS84,2019,"Tonduz, A. (Coll. De Candolle)"
39690,PRESERVED_SPECIMEN,Inga latipes,G-G-276385/1,GBIF,,Manuel Vargas,,9.78611,-83.68,"Cartago - Forêt de Las Vueltas, Tucurrique/Provincia de Cartago",,1,1,1,,WGS84,2019,"Tonduz, A."
40574,PRESERVED_SPECIMEN,Inga latipes,2268265,GBIF,Pennington 13611,Manuel Vargas,,10.03333,-83.55,"Buena Vista to Siquirres, 8 km before Siquirres, roadside",1992.0,1,1,1,,WGS84,2019,T. D. Pennington|Peter E. Owen
40619,PRESERVED_SPECIMEN,Inga latipes,2269672,GBIF,Stone 3299,Manuel Vargas,,9.77,-83.9,"2-3 km above and to the southeast of El Muñeco, new logging road departing from vicinity of soccer field, premontane rainforest with Alfaroa costaricensis, Oreomunnea mexicana",1972.0,1,1,1,,WGS84,2019,Donald E. Stone
44866,PRESERVED_SPECIMEN,Inga latipes,115732,GBIF,3115,Manuel Vargas,,7.112985000000001,-74.75139,"Sitio La Calera, desviación de la carretera Remedios - Zaragoza hacia Segovia, cerro Cabeza, Oleoducto Central S.A.",1997.0,1,1,1,,WGS84,2019,Roldán F. | Marulanda O. | Flórez M. | Osorio L.
49969,PRESERVED_SPECIMEN,Inga latipes,1334633,GBIF,Lent 2111,Manuel Vargas,,9.82,-83.79,Beside pasture on hilltop 0.5 km south of Peñas Blancas de Cachí,1971.0,1,1,1,,WGS84,2019,Roy W. Lent
52780,PRESERVED_SPECIMEN,Inga latipes,1961469,GBIF,Roldán 3115,Manuel Vargas,,7.1,-74.75,Sitio La Calera,1997.0,1,1,1,,WGS84,2019,Francisco J. Roldán|et al.
