,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3112,PRESERVED_SPECIMEN,Inga stenophylla,1579562,GBIF,,Manuel Vargas,,9.747778,-84.110833,"La Legua, bosque secundario y charrales en la cuenca de la Quebrada Salvaje.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
3280,PRESERVED_SPECIMEN,Inga stenophylla,1583269,GBIF,,Manuel Vargas,,9.747778,-84.110833,"La Legua, bosque secundario y charrales en la cuenca de la Quebrada Salvaje.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
5258,PRESERVED_SPECIMEN,Inga stenophylla,2907386,GBIF,,Manuel Vargas,,10.3,-84.750001,Rio Penas Blancas. Estacion Aleman.,1990.0,1,1,1,,WGS84,2019,Erick Bello
7049,PRESERVED_SPECIMEN,Inga stenophylla,3513476,GBIF,,Manuel Vargas,,9.788889,-84.19166700000001,"Acosta, Bajo Arias, Pena Negra, Penascos rocosos.",1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
7050,PRESERVED_SPECIMEN,Inga stenophylla,3513475,GBIF,,Manuel Vargas,,9.788889,-84.19166700000001,"Acosta, Bajo Arias, Pena Negra, Penascos rocosos.",1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
8580,PRESERVED_SPECIMEN,Inga stenophylla,3940042,GBIF,,Manuel Vargas,,9.802222,-84.46722199999999,Falda NW de Cerro Turrubares.,2004.0,1,1,1,,WGS84,2019,Armando Soto; Daniel Solano ; Daniel Santamaría
9097,PRESERVED_SPECIMEN,Inga stenophylla,4027263,GBIF,,Manuel Vargas,,9.893208,-84.189502,Pabellón.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
9458,PRESERVED_SPECIMEN,Inga stenophylla,4031859,GBIF,,Manuel Vargas,,9.890278,-84.186111,Pabellón.  Camino que lleva a la laguna.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
9459,PRESERVED_SPECIMEN,Inga stenophylla,4031860,GBIF,,Manuel Vargas,,9.890278,-84.186111,Pabellón.  Camino que lleva a la laguna.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
9460,PRESERVED_SPECIMEN,Inga stenophylla,4031861,GBIF,,Manuel Vargas,,9.890278,-84.186111,Pabellón.  Camino que lleva a la laguna.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría
